PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300f,,,,4h5c6d9c,-100|100,DeepStack,sturc.martin.1 
r300c,k,k,r600f,AdTsAh3cQd5dQh9sTc,300|-300,DeepStack,sturc.martin.4 
r300f,,,,Qd5cKs4h,-100|100,DeepStack,sturc.martin.2 
cr400c,k,cr800c,cr2400f,QdAh6dTd4h4c5c3d7c,-800|800,sturc.martin.1,DeepStack 
k,k,cr300r700f,,8h7c4h9d5d5sAc6h,300|-300,sturc.martin.3,DeepStack 
r300f,,,,Jd4hKsAs,-100|100,sturc.martin.2,DeepStack 
k,k,r300f,,2c2sQc5h2d7hTd9c,100|-100,sturc.martin.4,DeepStack 
f,,,,KdTs2c3s,50|-50,DeepStack,sturc.martin.2 
r300f,,,,9h4d8h2h,-100|100,sturc.martin.2,DeepStack 
f,,,,7d4s8h5s,50|-50,DeepStack,sturc.martin.3 
f,,,,Jc6c9s7h,50|-50,DeepStack,sturc.martin.4 
k,r250f,,,Jc9h6hTh8c4dJs,100|-100,sturc.martin.3,DeepStack 
r300f,,,,Qs8h5d2d,-100|100,sturc.martin.4,DeepStack 
r300c,k,r600c,r1200f,Qs5sKsAd7h3s4s9sJh,600|-600,DeepStack,sturc.martin.2 
f,,,,5s8h2dTc,50|-50,DeepStack,sturc.martin.1 
r300f,,,,3dQc7sKd,-100|100,DeepStack,sturc.martin.4 
cr400c,k,k,cr800f,KdQc9d8s3c5h7c3h4h,-400|400,sturc.martin.1,DeepStack 
f,,,,AsAh4h6c,50|-50,DeepStack,sturc.martin.3 
r200r700c,r1500c,r3200f,,KhKsJhKcQs3c5h5c,1500|-1500,sturc.martin.3,DeepStack 
r200c,cr400r800c,k,r1700c,JsQs8h4h4s9h2sJc9s,1700|-1700,sturc.martin.4,DeepStack 
r300c,k,r600f,,9c8d7sQc5s9hAh8c,300|-300,sturc.martin.2,DeepStack 
f,,,,2hQc5h9d,50|-50,DeepStack,sturc.martin.1 
f,,,,Th2dQc3s,50|-50,DeepStack,sturc.martin.3 
r300c,cr600f,,,QhKcAcQd9s2s2h,-300|300,sturc.martin.1,DeepStack 
r300r900f,,,,9c7c6hQd,300|-300,DeepStack,sturc.martin.2 
r200c,cr400c,k,k,5d6dTsKcAd2h3sJdAc,-400|400,sturc.martin.3,DeepStack 
r300c,k,cr600f,,Qd5d2h4h8s4s9c8d,-300|300,sturc.martin.2,DeepStack 
r300c,k,k,cr900f,7sJdKc9c2dAs5c6c3c,-300|300,DeepStack,sturc.martin.1 
r300f,,,,Js5hTcAh,-100|100,DeepStack,sturc.martin.4 
r300c,k,k,k,9dJd4dJcQs7c7s2c4c,-300|300,sturc.martin.4,DeepStack 
r300f,,,,4c8hTsAs,-100|100,sturc.martin.1,DeepStack 
r300c,cr600f,,,5cTc6h9h2s6cAd,-300|300,DeepStack,sturc.martin.2 
r300c,k,cr500c,k,Kh9d4h4c6d3sQsTc3c,-500|500,DeepStack,sturc.martin.1 
f,,,,KhQcQs7c,50|-50,DeepStack,sturc.martin.3 
r200f,,,,5s9c3hTh,-100|100,sturc.martin.3,DeepStack 
r200r600f,,,,Ad4h2sTs,200|-200,sturc.martin.2,DeepStack 
r300f,,,,8h6sTcKs,-100|100,DeepStack,sturc.martin.4 
f,,,,9h6d8c2d,50|-50,DeepStack,sturc.martin.3 
r200c,k,k,cr400c,8sAc5h4s7dKh9d7s8d,400|-400,sturc.martin.4,DeepStack 
r200c,cr600f,,,9hKs3cAc5c6sQh,-200|200,sturc.martin.3,DeepStack 
r300r600f,,,,TcKd3dQc,300|-300,DeepStack,sturc.martin.2 
r300c,k,r600c,cr3000f,Qc5cKsQd9h3s2c5d4h,-600|600,sturc.martin.1,DeepStack 
f,,,,3dJs3c2d,50|-50,sturc.martin.2,DeepStack 
f,,,,6s8h4c3h,50|-50,DeepStack,sturc.martin.2 
r300c,k,r600f,,8s6h6dKdJcTc7s9c,300|-300,DeepStack,sturc.martin.3 
r200r600f,,,,9dAh7hKs,200|-200,sturc.martin.2,DeepStack 
r300c,cr600c,cr1300c,k,2dJdQdKd4d4c2hQhAh,-1300|1300,DeepStack,sturc.martin.4 
r300r900c,cr1800r3600f,,,Jh9h9dQh9s8h7c,1800|-1800,DeepStack,sturc.martin.2 
f,,,,8h8d4c9s,50|-50,DeepStack,sturc.martin.1 
