PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
f,,,,7h3h8c3s,50|-50,sturc.martin.1,DeepStack 
r300f,,,,5s4d8hKs,-100|100,DeepStack,sturc.martin.1 
cr500f,,,,4dQd9s5d,100|-100,sturc.martin.1,DeepStack 
r300f,,,,Js5h5cQs,-100|100,DeepStack,sturc.martin.1 
cr500f,,,,7d7cTd5h,100|-100,sturc.martin.1,DeepStack 
r300r900f,,,,2cAc6hQc,300|-300,DeepStack,sturc.martin.1 
cr500c,r1000f,,,JhTcAs4d8d9d5h,500|-500,sturc.martin.1,DeepStack 
r300f,,,,9d3c5hQd,-100|100,DeepStack,sturc.martin.1 
r300r900f,,,,2hAd6dQc,300|-300,sturc.martin.1,DeepStack 
f,,,,Ks8h5h8c,50|-50,DeepStack,sturc.martin.1 
r300c,cr600c,k,r1500f,KsJs6c9sAc5c4sQd2d,600|-600,sturc.martin.1,DeepStack 
f,,,,TsAd7s2h,50|-50,DeepStack,sturc.martin.1 
cr400c,r800c,cr1600c,cr3200c,AsAcJdQsJh3hJsKcTh,-3200|3200,sturc.martin.1,DeepStack 
r300c,cr600c,k,k,TdKs9d8s9s6dAsJh2h,-600|600,DeepStack,sturc.martin.1 
r300f,,,,4cThQh7s,-100|100,sturc.martin.1,DeepStack 
f,,,,Ah9c5h2s,50|-50,DeepStack,sturc.martin.1 
k,k,r200c,k,2hJs4s4h8sAsQs3cQh,-200|200,sturc.martin.1,DeepStack 
r300c,k,cr600f,,4sAcKh6s5h9hJdKs,-300|300,DeepStack,sturc.martin.1 
r300c,k,k,k,Jd8d6dTc2hAc3sTdJh,300|-300,sturc.martin.1,DeepStack 
r300f,,,,8d5s2h2d,-100|100,DeepStack,sturc.martin.1 
r300f,,,,3h2sTcQs,-100|100,sturc.martin.1,DeepStack 
r300f,,,,3c6dAsKh,-100|100,DeepStack,sturc.martin.1 
r300f,,,,2c4d4s3c,-100|100,sturc.martin.1,DeepStack 
f,,,,JcQd3h5c,50|-50,DeepStack,sturc.martin.1 
f,,,,Jh3c3s7d,50|-50,sturc.martin.1,DeepStack 
r300c,cr600r1200f,,,7c6h6s5h8dKc4c,600|-600,DeepStack,sturc.martin.1 
f,,,,8cQh2d3c,50|-50,sturc.martin.1,DeepStack 
r300r900f,,,,TsTh4hQd,300|-300,DeepStack,sturc.martin.1 
r200c,k,k,k,5d6c4c3c3d8sQsThTd,-200|200,sturc.martin.1,DeepStack 
r300r900r2400f,,,,AhJc5cKh,-900|900,DeepStack,sturc.martin.1 
cr500c,k,cr1000c,cr3000f,Ah2sQs8sJcQdQh6hKs,-1000|1000,sturc.martin.1,DeepStack 
r300c,k,k,r600c,Qh8sJcQd2cAhTd4hQs,-600|600,DeepStack,sturc.martin.1 
r200r600c,k,r1200c,r3000c,KhKc4d8d8h5s9s3d2d,3000|-3000,sturc.martin.1,DeepStack 
r300f,,,,4d7hTd9c,-100|100,DeepStack,sturc.martin.1 
r300r900c,r1800f,,,Qh4h7s8d9cAc4d,900|-900,sturc.martin.1,DeepStack 
r300c,cr600c,cr1200f,,9cQsAdQhAc7c2h8d,-600|600,DeepStack,sturc.martin.1 
k,cr200r500c,r1100c,r2750c,Tc2c3d6s3c3s4cQh9c,2750|-2750,sturc.martin.1,DeepStack 
r300f,,,,3dQcJsAh,-100|100,DeepStack,sturc.martin.1 
cr400f,,,,Qh7h3dTs,100|-100,sturc.martin.1,DeepStack 
r300r900r2400r20000f,,,,KsAhAcTh,2400|-2400,DeepStack,sturc.martin.1 
f,,,,9s7c8s3d,50|-50,sturc.martin.1,DeepStack 
r300c,cr600f,,,Ts6sJc8h5c7hJh,-300|300,DeepStack,sturc.martin.1 
cr400c,r800c,r1700c,k,9hJhAs5dKd4h5cTd9c,1700|-1700,sturc.martin.1,DeepStack 
f,,,,Td9h4c8s,50|-50,DeepStack,sturc.martin.1 
k,cr200f,,,4c2dJc6s9cKhQc,-100|100,sturc.martin.1,DeepStack 
f,,,,Ts9c2h5d,50|-50,DeepStack,sturc.martin.1 
k,k,cr200f,,4s2h5d9hQc2c9c8h,-100|100,sturc.martin.1,DeepStack 
r300c,k,k,r1500f,3d7dJhTsQh5dKs2h2c,300|-300,DeepStack,sturc.martin.1 
cr500c,r1000c,r2000c,cr4000f,7dAhQdTsTdAs8d2dJd,-2000|2000,sturc.martin.1,DeepStack 
f,,,,Kd3h4s7h,50|-50,DeepStack,sturc.martin.1 
r200c,k,cr600c,cr1200f,8h9dKsQd2dJdKd9s6h,-600|600,sturc.martin.1,DeepStack 
r300f,,,,8d6cQd7d,-100|100,DeepStack,sturc.martin.1 
cr400f,,,,QdQsJd3h,100|-100,sturc.martin.1,DeepStack 
f,,,,Qh4s2h9s,50|-50,DeepStack,sturc.martin.1 
k,cr200f,,,Th2dQc5dJd6s9c,-100|100,sturc.martin.1,DeepStack 
r300c,cr600r1200f,,,8hKd8c6hKhKcTd,600|-600,DeepStack,sturc.martin.1 
f,,,,7s4c8d2c,50|-50,sturc.martin.1,DeepStack 
r300r900r2400c,cr4800c,k,r9600r20000c,QhAh5cAdAc8h7h4c6s,-20000|20000,DeepStack,sturc.martin.1 
r300c,k,k,k,TsQh2c6c3dJhJs7d3c,300|-300,sturc.martin.1,DeepStack 
r300c,cr600c,cr1200f,,JcQd8s4s2d5s9s2h,-600|600,DeepStack,sturc.martin.1 
r300f,,,,5s8hQcAh,-100|100,sturc.martin.1,DeepStack 
r300c,k,r900f,,2d4dTh7dQs9sAs8s,300|-300,DeepStack,sturc.martin.1 
cr500c,r1000c,cr2000c,cr6000f,Ac5cQcJh9s2h8c5d7d,-2000|2000,sturc.martin.1,DeepStack 
r300f,,,,Kh3d6s5s,-100|100,DeepStack,sturc.martin.1 
r300c,cr600c,k,k,AsTc5hTs4hKcKs2sJc,600|-600,sturc.martin.1,DeepStack 
r300f,,,,9h2d2hQd,-100|100,DeepStack,sturc.martin.1 
cr500f,,,,QcJd2dTh,100|-100,sturc.martin.1,DeepStack 
r300r900c,r1800c,r3600c,k,AhJhTd8cTcJc5d7sAc,3600|-3600,DeepStack,sturc.martin.1 
cr500f,,,,Js8dQs2h,100|-100,sturc.martin.1,DeepStack 
r300c,k,k,k,9dKc8cQd5h2hTcKh3d,300|-300,DeepStack,sturc.martin.1 
cr500f,,,,Td9dKc2d,100|-100,sturc.martin.1,DeepStack 
r300f,,,,Jd2s4c4h,-100|100,DeepStack,sturc.martin.1 
r300f,,,,3c9dJdJs,-100|100,sturc.martin.1,DeepStack 
f,,,,8c7s2hTh,50|-50,DeepStack,sturc.martin.1 
r300f,,,,4s8h7s7c,-100|100,sturc.martin.1,DeepStack 
r300c,cr600f,,,7d4dAc4cAhQh3s,-300|300,DeepStack,sturc.martin.1 
r300f,,,,3d6c6hQc,-100|100,sturc.martin.1,DeepStack 
r300f,,,,5c2h9d8d,-100|100,DeepStack,sturc.martin.1 
r300c,cr600c,k,cr1800f,Ah3c2c4c2s4hTh4sJc,-600|600,sturc.martin.1,DeepStack 
f,,,,2cAc5d8h,50|-50,DeepStack,sturc.martin.1 
f,,,,QsAd8d3h,50|-50,sturc.martin.1,DeepStack 
r300c,k,k,k,Jd3dQcKs7d6s4c2s9c,-300|300,DeepStack,sturc.martin.1 
k,k,cr300f,,4sJc8h5d8d6s7hQc,-100|100,sturc.martin.1,DeepStack 
r300r900c,r1800f,,,9d6d5s7s6c3dQc,900|-900,DeepStack,sturc.martin.1 
r200f,,,,4h2d6dTh,-100|100,sturc.martin.1,DeepStack 
f,,,,6cAc5s2c,50|-50,DeepStack,sturc.martin.1 
cr500f,,,,JsAh8d6c,100|-100,sturc.martin.1,DeepStack 
r300f,,,,5h9c9hJd,-100|100,DeepStack,sturc.martin.1 
k,k,cr200c,cr600f,3s8dTd4s4c3d9h6hTc,-200|200,sturc.martin.1,DeepStack 
f,,,,5hAs3hTs,50|-50,DeepStack,sturc.martin.1 
f,,,,2s9s8s3d,50|-50,sturc.martin.1,DeepStack 
r300f,,,,5sQdQh5d,-100|100,DeepStack,sturc.martin.1 
r300f,,,,4hTh5dJc,-100|100,sturc.martin.1,DeepStack 
f,,,,3sQs9c3h,50|-50,DeepStack,sturc.martin.1 
r300c,k,k,r750c,KdQh4h4dAc5cKh5h8d,750|-750,sturc.martin.1,DeepStack 
r300c,k,cr500f,,9d3dAsKd4hTd2c2s,-300|300,DeepStack,sturc.martin.1 
r200c,k,cr600f,,3hQs6hQcKc9s7s4c,-200|200,sturc.martin.1,DeepStack 
r300r900c,r1800c,r3600c,k,JdJsAhJcKcJhKd2c8h,3600|-3600,DeepStack,sturc.martin.1 
r200f,,,,4h3c8s8c,-100|100,sturc.martin.1,DeepStack 
f,,,,7cAh3d9s,50|-50,DeepStack,sturc.martin.1 
r200f,,,,Ts5dAh4h,-100|100,sturc.martin.1,DeepStack 
r300f,,,,6s4dQh4c,-100|100,DeepStack,sturc.martin.1 
r200c,k,r400c,k,2d2cAh7hJdJhQc6s7c,-400|400,sturc.martin.1,DeepStack 
r300f,,,,4s9d7d5s,-100|100,DeepStack,sturc.martin.1 
r200c,k,r500f,,9cKs5d7cTs2hJsQs,200|-200,sturc.martin.1,DeepStack 
r300f,,,,9d4s8s8d,-100|100,DeepStack,sturc.martin.1 
r300f,,,,4d2dTd7h,-100|100,sturc.martin.1,DeepStack 
r300c,k,k,r900f,4s4cKh7d5c8cQdJcKc,300|-300,DeepStack,sturc.martin.1 
cr500f,,,,8cTc5sJc,100|-100,sturc.martin.1,DeepStack 
r300r900r2400c,cr4800c,cr8400c,k,TcJcQc7cTs6h6d3d6s,8400|-8400,DeepStack,sturc.martin.1 
r200c,cr400f,,,Kh4dJc6h4cTc8c,-200|200,sturc.martin.1,DeepStack 
r300r900r2400f,,,,Jh8hQdQh,-900|900,DeepStack,sturc.martin.1 
cr500f,,,,9d6cQd4s,100|-100,sturc.martin.1,DeepStack 
r300r900f,,,,AcQc7dJh,300|-300,DeepStack,sturc.martin.1 
r300c,k,k,k,KdTdTcKsJh3d4c2h8s,0|0,sturc.martin.1,DeepStack 
f,,,,8s2h9s5d,50|-50,DeepStack,sturc.martin.1 
k,k,r200r400c,cr1200c,Ts3s9d8sTh4d6s7s4s,1200|-1200,sturc.martin.1,DeepStack 
f,,,,8s3h2d7d,50|-50,DeepStack,sturc.martin.1 
k,k,k,r300c,Td4s5d9s2h8d9d2dAh,-300|300,sturc.martin.1,DeepStack 
f,,,,9h6c5s8h,50|-50,DeepStack,sturc.martin.1 
r300r900c,k,k,cr2700c,KdAsKhTh5c6c8c9s9h,2700|-2700,sturc.martin.1,DeepStack 
r200c,cr350f,,,2s8sTh2cJh4hKh,-200|200,DeepStack,sturc.martin.1 
r300c,cr600c,k,r1500f,Qh9dAdKhTh3dQs5s6c,600|-600,sturc.martin.3,DeepStack 
f,,,,JdQs3sTd,50|-50,DeepStack,sturc.martin.3 
r200r700f,,,,KcAh6hJc,200|-200,sturc.martin.3,DeepStack 
f,,,,3d7c4c2h,50|-50,DeepStack,sturc.martin.3 
cr500c,r1000c,k,cr2000f,Js5c4dJd6c3d2h9c6d,-1000|1000,sturc.martin.3,DeepStack 
r300f,,,,9s6h8d8c,-100|100,DeepStack,sturc.martin.3 
r200c,cr400c,cr1200f,,Jd8hTh8c9s9dQd7s,-400|400,sturc.martin.3,DeepStack 
f,,,,3hJdTs6c,50|-50,DeepStack,sturc.martin.3 
k,k,k,cr200c,3cJs2sQh4cKh7d7sQc,-200|200,sturc.martin.3,DeepStack 
f,,,,7hTc2c8h,50|-50,DeepStack,sturc.martin.3 
r200c,k,k,cr1000f,Ts6s5cJs3s3cQc8h7c,-200|200,sturc.martin.3,DeepStack 
r300r900c,k,k,k,7h7c4s7s7d9cJcAsKh,900|-900,DeepStack,sturc.martin.3 
r200f,,,,3c6s7dAc,-100|100,sturc.martin.3,DeepStack 
r300r600c,cr1200f,,,JcKs7h8d4h3dAd,-600|600,DeepStack,sturc.martin.3 
cr500c,r1000c,cr3000c,k,JdKh5dAh6h7dJh8sAs,-3000|3000,sturc.martin.3,DeepStack 
f,,,,KcQc4s9d,50|-50,DeepStack,sturc.martin.3 
r200r600f,,,,Qd2d5cQs,200|-200,sturc.martin.3,DeepStack 
r300f,,,,2dJc6c7s,-100|100,DeepStack,sturc.martin.3 
r200r600c,r1200c,k,k,AcQcKdTh3cJdTd6h6d,-1200|1200,sturc.martin.3,DeepStack 
r300f,,,,6c2c3d8d,-100|100,DeepStack,sturc.martin.3 
r300f,,,,8s2cJc8d,-100|100,sturc.martin.3,DeepStack 
r300r900c,k,k,r1800f,Ah9h2c2d8cKhJcThQs,900|-900,DeepStack,sturc.martin.3 
r300f,,,,7hTs8h6c,-100|100,sturc.martin.3,DeepStack 
r300c,cr750c,cr1500f,,TcJsAsKh5hJhQh5c,-750|750,DeepStack,sturc.martin.3 
r300c,k,r750f,,5s4d7sTd3c4c4sQs,300|-300,sturc.martin.3,DeepStack 
r300f,,,,5h9d6d7c,-100|100,DeepStack,sturc.martin.3 
k,k,r250c,r625f,QsJd7h8cKsQh7d3s6c,250|-250,sturc.martin.3,DeepStack 
r300f,,,,6h3d8sQh,-100|100,DeepStack,sturc.martin.3 
r300c,cr600c,k,k,7sAh5c7c7h8dKh3sKc,600|-600,sturc.martin.3,DeepStack 
r300r900c,r2700c,k,r8100c,5c5h6cAsAcKs5s8s7c,8100|-8100,DeepStack,sturc.martin.3 
r200c,cr400f,,,JhTc5dQc5c2c5s,-200|200,sturc.martin.3,DeepStack 
r300r900f,,,,7h9h4dQs,300|-300,DeepStack,sturc.martin.3 
r300f,,,,6sTc9s6c,-100|100,sturc.martin.3,DeepStack 
f,,,,Ts8s2d6c,50|-50,DeepStack,sturc.martin.3 
r300r900c,r1800f,,,QdJhQcTd7s4d6s,900|-900,sturc.martin.3,DeepStack 
f,,,,4c7sJh3c,50|-50,DeepStack,sturc.martin.3 
r200f,,,,7c5dTc3c,-100|100,sturc.martin.3,DeepStack 
r300r600c,r1200f,,,TcJhQs7s5hJsKc,600|-600,DeepStack,sturc.martin.3 
r300c,cr600c,k,cr1800f,TdJsKhAd9d6cKs6s5s,-600|600,sturc.martin.3,DeepStack 
f,,,,8cQd2cJh,50|-50,DeepStack,sturc.martin.3 
f,,,,5h9s2h6s,50|-50,sturc.martin.3,DeepStack 
r300r900r2250r20000f,,,,Ad5d7hJc,2250|-2250,DeepStack,sturc.martin.3 
f,,,,3sTc2d6c,50|-50,sturc.martin.3,DeepStack 
f,,,,7hQh3d2c,50|-50,DeepStack,sturc.martin.3 
r300f,,,,2d3sKs7c,-100|100,sturc.martin.3,DeepStack 
f,,,,Jc9hTd4h,50|-50,DeepStack,sturc.martin.3 
r200c,cr400c,cr800c,cr2400c,7c9dQhJcJsTh9h6h8d,-2400|2400,sturc.martin.3,DeepStack 
f,,,,6s5c9c6d,50|-50,DeepStack,sturc.martin.3 
r300r900r1800c,k,k,cr5400f,TcQsJcAc6hKh8c3h7h,-1800|1800,sturc.martin.3,DeepStack 
r300c,cr600f,,,6h9h6s4sQhQc5c,-300|300,DeepStack,sturc.martin.3 
r300f,,,,Th8d6h5c,-100|100,sturc.martin.3,DeepStack 
r200c,cr400c,k,cr800c,3h4h5h6c7h9d4s9c2c,800|-800,DeepStack,sturc.martin.3 
cr500c,k,cr1000f,,AdQdJc6c6d5c4cKs,-500|500,sturc.martin.3,DeepStack 
r300c,cr600r1800f,,,KhTc7s6h6sKd5h,600|-600,DeepStack,sturc.martin.3 
r300f,,,,4sKcTcTd,-100|100,sturc.martin.3,DeepStack 
r300c,k,k,cr600c,4s6s4hQd6dKcQc9h8s,-600|600,sturc.martin.3,DeepStack 
r300f,,,,Kh4s8dAd,-100|100,DeepStack,sturc.martin.3 
cr500f,,,,AsTs7c2c,100|-100,sturc.martin.3,DeepStack 
r300c,k,r600f,,Qd2dAs3sKh2s6h6d,300|-300,DeepStack,sturc.martin.3 
k,cr300f,,,3d8sThKh7dQhAs,-100|100,sturc.martin.3,DeepStack 
r300r900f,,,,TsJsKd5s,300|-300,DeepStack,sturc.martin.3 
f,,,,AcTs5c2h,50|-50,sturc.martin.3,DeepStack 
r300f,,,,4c6d5cKd,-100|100,DeepStack,sturc.martin.3 
r200f,,,,3hJc3sJs,-100|100,sturc.martin.3,DeepStack 
r300f,,,,2cKdJdKc,-100|100,DeepStack,sturc.martin.3 
r300f,,,,2dTs6hKh,-100|100,sturc.martin.3,DeepStack 
r300r900c,r1800f,,,5c6cJs5s7hTc8c,900|-900,DeepStack,sturc.martin.3 
r300f,,,,7c5hAc9c,-100|100,sturc.martin.3,DeepStack 
r300c,cr600f,,,Qc8s6cJc5d9s2s,-300|300,DeepStack,sturc.martin.3 
k,k,k,cr300f,6d9d9s4d4c4h3dQc7h,-100|100,sturc.martin.3,DeepStack 
r300r900r2400c,k,k,r4800f,8s8c8dAdTh7c4h8h6c,2400|-2400,DeepStack,sturc.martin.3 
k,k,k,k,Td8c2hQh6h3c7s3s4s,-100|100,sturc.martin.3,DeepStack 
k,k,k,k,2cAhKh4s8s9h3d5d6h,100|-100,DeepStack,sturc.martin.3 
r300f,,,,2c7h9sAd,-100|100,sturc.martin.3,DeepStack 
f,,,,2s7c5h8s,50|-50,DeepStack,sturc.martin.3 
k,cr300f,,,QsTc7c3d2h9cKc,-100|100,sturc.martin.3,DeepStack 
r300r900c,k,cr1800c,cr3600f,KhKsAc3sQc7cAs6hJs,-1800|1800,DeepStack,sturc.martin.3 
f,,,,Td3c2h4d,50|-50,sturc.martin.3,DeepStack 
r300f,,,,5sTcTsJs,-100|100,DeepStack,sturc.martin.3 
r300c,k,k,k,Ah3cAc3d6s6h7sTcTd,0|0,sturc.martin.3,DeepStack 
f,,,,3c7s2cJh,50|-50,DeepStack,sturc.martin.3 
r200c,cr400f,,,Jh4d2dKc5c2cQd,-200|200,sturc.martin.3,DeepStack 
f,,,,Qs4c4h7d,50|-50,DeepStack,sturc.martin.3 
r200r700f,,,,7cAc6cTd,200|-200,sturc.martin.3,DeepStack 
r200r600c,r1200c,k,k,8c6c3c4s2c3hQsQh5c,-1200|1200,DeepStack,sturc.martin.3 
r300c,cr900c,cr2700c,k,QsThTdAc6cTs3dQc9s,2700|-2700,sturc.martin.1,DeepStack 
f,,,,2cJh2h6d,50|-50,sturc.martin.3,DeepStack 
r300f,,,,6d3c5dQs,-100|100,DeepStack,sturc.martin.3 
f,,,,Ts6d8c2s,50|-50,DeepStack,sturc.martin.1 
r300c,cr600c,k,r20000f,Kc5cAhQsTc6c9cJc4c,600|-600,sturc.martin.3,DeepStack 
r300f,,,,6h3dQs2s,-100|100,sturc.martin.1,DeepStack 
r300c,k,k,k,8cTdKh8s6c5s4d4cJc,-300|300,DeepStack,sturc.martin.1 
f,,,,Jh6c3c5d,50|-50,DeepStack,sturc.martin.3 
r300c,k,k,r600f,6s7sKsTh6d2hAhAc7d,300|-300,sturc.martin.3,DeepStack 
cr400f,,,,Ac4dQd4c,100|-100,sturc.martin.1,DeepStack 
r300f,,,,2cQdKd5s,-100|100,DeepStack,sturc.martin.1 
r300c,k,k,k,4d5h7dQh9c8cAcKsAd,-300|300,sturc.martin.1,DeepStack 
f,,,,Qh5c6hTh,50|-50,DeepStack,sturc.martin.3 
r300r900c,r2700c,k,cr6750c,KdQdKhJd9h4sJhQhTs,0|0,DeepStack,sturc.martin.1 
r200c,k,k,r600c,7dJd4sKhKs3d2sQs5s,-600|600,sturc.martin.1,DeepStack 
r300f,,,,2hJdQdTc,-100|100,sturc.martin.3,DeepStack 
f,,,,JsAs3s8d,50|-50,DeepStack,sturc.martin.1 
f,,,,4sTh6d3h,50|-50,DeepStack,sturc.martin.3 
r300f,,,,3s2c9cJc,-100|100,sturc.martin.1,DeepStack 
cr500c,r1000c,cr2000f,,7cJcAd9c3h3d6h6d,-1000|1000,sturc.martin.3,DeepStack 
r300r900r2400f,,,,8dKd7dAh,-900|900,DeepStack,sturc.martin.1 
r300c,k,k,k,8dAc8c8s5sQhKs9s6c,-300|300,sturc.martin.1,DeepStack 
r300c,cr600r1200c,k,k,3s7s8h8cKd3dKs2hAc,-1200|1200,DeepStack,sturc.martin.3 
r300c,k,k,cr600c,9hKc7d8c7c4sAs9s4h,600|-600,DeepStack,sturc.martin.1 
r200c,k,k,k,5c2cQdAs8h3cTcTd4s,-200|200,sturc.martin.3,DeepStack 
r300r900c,r1800c,r3600f,,QcQd9sAh9hQhTc5d,1800|-1800,DeepStack,sturc.martin.3 
r200c,k,cr600f,,5hKcQdJh7cJs3sTs,-200|200,sturc.martin.1,DeepStack 
r300f,,,,2d8c5h3s,-100|100,sturc.martin.3,DeepStack 
r300f,,,,7h2hAc2d,-100|100,DeepStack,sturc.martin.1 
r300f,,,,Td2cAcJc,-100|100,DeepStack,sturc.martin.3 
r300c,cr600c,k,r2200f,2sKc6cKsThJsQcQd8s,600|-600,sturc.martin.1,DeepStack 
r300c,k,k,cr1500f,Th9c3c5hKc9d7sQsTs,-300|300,sturc.martin.3,DeepStack 
r300f,,,,3s9hJhAd,-100|100,DeepStack,sturc.martin.1 
r300f,,,,2c8hAc7s,-100|100,DeepStack,sturc.martin.3 
cr400f,,,,Ad7s3c5h,100|-100,sturc.martin.1,DeepStack 
cr500c,r1000c,cr3000c,cr20000f,Qd9h6h7s5d8dAs9c2h,-3000|3000,sturc.martin.3,DeepStack 
r300c,cr600f,,,Kc8h8d8s2hJh5s,-300|300,DeepStack,sturc.martin.1 
cr400c,k,cr800f,,Kd9cAh3d5c3c6h6s,-400|400,sturc.martin.1,DeepStack 
r300c,cr600f,,,Js4s6h4h8sQdQh,-300|300,DeepStack,sturc.martin.1 
r300r900c,k,cr1800c,cr4500c,AcAd8h9c9s8c2sJh6c,-4500|4500,DeepStack,sturc.martin.3 
f,,,,2h3d2d7s,50|-50,sturc.martin.1,DeepStack 
f,,,,8dAh2hTs,50|-50,DeepStack,sturc.martin.1 
k,cr300f,,,2d7h4h6c6s4cKs,-100|100,sturc.martin.1,DeepStack 
k,k,k,cr500f,2h2sTc2d4cJs3cAd7d,-100|100,sturc.martin.3,DeepStack 
r300c,cr750c,cr1875c,k,Ad6h5h4s3c4d5cQdKh,-1875|1875,DeepStack,sturc.martin.1 
f,,,,QhTd9d6c,50|-50,DeepStack,sturc.martin.3 
r300f,,,,2d8h5h5d,-100|100,sturc.martin.3,DeepStack 
r300c,cr600c,k,cr3000f,JsAc7c8sQsKd6sKc3c,-600|600,sturc.martin.1,DeepStack 
r300r900r2400c,cr4800r9600f,,,QsQdKh5dQh6d4s,4800|-4800,DeepStack,sturc.martin.3 
r300f,,,,2s8h7cQd,-100|100,DeepStack,sturc.martin.1 
r200f,,,,7c4sKh7s,-100|100,sturc.martin.3,DeepStack 
r200c,cr600f,,,3dKc9hJh9s5c2d,-200|200,sturc.martin.1,DeepStack 
r300r900c,k,k,k,8dJd4sJsAhJh3h6cQs,900|-900,DeepStack,sturc.martin.3 
cr300c,r600r1200f,,,7d4d4s5h3dAs8h,-600|600,DeepStack,sturc.martin.1 
k,k,k,cr200c,8sTd5s4h9dKdQh8h2d,200|-200,sturc.martin.1,DeepStack 
f,,,,9cTs6c2s,50|-50,sturc.martin.3,DeepStack 
f,,,,9d4d7dJh,50|-50,DeepStack,sturc.martin.3 
r300f,,,,4c2sJc7s,-100|100,sturc.martin.3,DeepStack 
r300c,cr600c,k,k,As5dTsTdQsJdQh4c9c,-600|600,DeepStack,sturc.martin.3 
f,,,,5s6hTd2c,50|-50,DeepStack,sturc.martin.1 
cr400c,k,k,k,6dKs9hKcJh2h4hTs6s,400|-400,sturc.martin.1,DeepStack 
r300c,cr900c,cr2700c,cr5400c,Qs6sKc4d5c3dQhJc9c,5400|-5400,sturc.martin.3,DeepStack 
r300f,,,,Td6cQhQc,-100|100,DeepStack,sturc.martin.1 
f,,,,Ks9d3s5h,50|-50,DeepStack,sturc.martin.3 
r300c,k,k,cr900f,Ad4cJcAs9c8sKdQcTs,-300|300,sturc.martin.1,DeepStack 
r300r900c,r1800f,,,JsJcKcThQc6s5d,900|-900,sturc.martin.3,DeepStack 
r300c,k,cr600f,,8dTc9hKd4h4d4sQc,-300|300,DeepStack,sturc.martin.3 
r300f,,,,Td2s6sKd,-100|100,DeepStack,sturc.martin.1 
r200c,k,k,k,6dKs5d5c6hAcQsAdJh,200|-200,sturc.martin.1,DeepStack 
r300c,cr900f,,,2hAsJc4d9d2c3d,-300|300,sturc.martin.3,DeepStack 
r300r900c,r2700c,cr3900c,r7799c,TdAd6c7s7cTc3sTh2h,7799|-7799,DeepStack,sturc.martin.1 
r300c,k,r900f,,9sKhAd3cKsTcJh8s,300|-300,DeepStack,sturc.martin.3 
k,r300f,,,3hKhKd3c4hQh2s,100|-100,sturc.martin.3,DeepStack 
r300r900r2400c,r7200f,,,8d9dKhQc7d2dAd,2400|-2400,DeepStack,sturc.martin.3 
r300c,cr600r1200c,r2900c,r14500f,7c6dAsAd4c4d9s5sJs,2900|-2900,sturc.martin.1,DeepStack 
k,k,k,k,5d6hKs2c8hJsJhQc7s,-100|100,sturc.martin.3,DeepStack 
r300c,cr600r1800f,,,Ac3c3h7h2h2s5c,600|-600,DeepStack,sturc.martin.1 
r300r900c,k,k,k,AhAd6cAs4s8c6s5dQd,900|-900,DeepStack,sturc.martin.3 
r300c,cr600c,cr1800c,cr5400f,4sAhQdTdQh3d7c4d9d,-1800|1800,sturc.martin.1,DeepStack 
f,,,,Th9c3c7s,50|-50,sturc.martin.3,DeepStack 
f,,,,7cThTd2c,50|-50,DeepStack,sturc.martin.3 
f,,,,Qd9s9c3c,50|-50,DeepStack,sturc.martin.1 
r300f,,,,Qd5h8h7h,-100|100,sturc.martin.3,DeepStack 
r300r900c,r1800f,,,4sAs9h8c2h7dAc,900|-900,sturc.martin.1,DeepStack 
r300r900c,k,k,k,9s9d3d5dThQhAd3c2h,900|-900,DeepStack,sturc.martin.3 
k,cr200c,k,r400f,2dAh3h4hKd2sThAcJs,200|-200,DeepStack,sturc.martin.1 
r300f,,,,Ks2c2hKc,-100|100,sturc.martin.3,DeepStack 
r300f,,,,Tc5s3dJd,-100|100,sturc.martin.1,DeepStack 
f,,,,2hTh6c9h,50|-50,DeepStack,sturc.martin.3 
f,,,,6cJcTs2d,50|-50,DeepStack,sturc.martin.1 
f,,,,7c5s3s9d,50|-50,sturc.martin.3,DeepStack 
cr400f,,,,7s9s7cJd,100|-100,sturc.martin.1,DeepStack 
r300r900c,k,k,cr1800r9000f,8hAhJcTd7h4hKhJd7d,1800|-1800,DeepStack,sturc.martin.3 
r300f,,,,Kh2s4sQh,-100|100,DeepStack,sturc.martin.1 
r300c,k,r600f,,4h3h5c6h2sJh9hQs,300|-300,sturc.martin.1,DeepStack 
r300f,,,,Qs2h3hJh,-100|100,DeepStack,sturc.martin.1 
k,r300c,r900f,,Js4d5dThJcQhJh3s,300|-300,sturc.martin.1,DeepStack 
r300r900c,r1800c,k,r20000f,5dAcKsQc8sQhKcThJs,1800|-1800,sturc.martin.3,DeepStack 
r300f,,,,Td4s6hQs,-100|100,DeepStack,sturc.martin.1 
cr400c,r1000f,,,TcKd3cQcKhJd6d,400|-400,sturc.martin.1,DeepStack 
r300c,cr750f,,,6h8c4cKcKhTs4h,-300|300,DeepStack,sturc.martin.1 
f,,,,5dJc2c6d,50|-50,DeepStack,sturc.martin.3 
r200f,,,,Jh3s3dAd,-100|100,sturc.martin.3,DeepStack 
r300f,,,,4c3sJd3d,-100|100,DeepStack,sturc.martin.3 
r200f,,,,4s8dJsJc,-100|100,sturc.martin.1,DeepStack 
f,,,,Jc4h7s2s,50|-50,DeepStack,sturc.martin.1 
