PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300f,,,,8c4h7dTc,-100|100,sun.kaishi.1,DeepStack 
f,,,,Ah7c4c6d,50|-50,DeepStack,sun.kaishi.1 
f,,,,4h7d8s4s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Jh2hQc3d,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,Kc2sAcJh,-100|100,sun.kaishi.1,DeepStack 
f,,,,8c4d2d7d,50|-50,DeepStack,sun.kaishi.2 
k,k,cr200f,,2c9cJh4hJc2sQh7h,-100|100,sun.kaishi.2,DeepStack 
f,,,,8sAd3d7d,50|-50,DeepStack,sun.kaishi.1 
f,,,,TsKs2d8d,50|-50,DeepStack,sun.kaishi.2 
f,,,,6dKd3h2d,50|-50,sun.kaishi.2,DeepStack 
r200f,,,,3dQh4hKh,-100|100,sun.kaishi.1,DeepStack 
f,,,,9d2sKd4h,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,7c2sTh8d,-100|100,sun.kaishi.2,DeepStack 
f,,,,Kc9h9dJc,50|-50,DeepStack,sun.kaishi.1 
f,,,,4cQsTd9h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,4d7sKc2s,-100|100,sun.kaishi.2,DeepStack 
k,cr300f,,,6cKd5s9c8dAc9h,-100|100,sun.kaishi.1,DeepStack 
f,,,,Qh7c6d7s,50|-50,DeepStack,sun.kaishi.2 
f,,,,9sAd9d2s,50|-50,sun.kaishi.2,DeepStack 
f,,,,Jc8d2h8s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,JsThKd7c,-100|100,sun.kaishi.2,DeepStack 
f,,,,KhAc9dAh,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,5d3sTcJh,-100|100,DeepStack,sun.kaishi.2 
r300f,,,,6cTd3s5c,-100|100,sun.kaishi.2,DeepStack 
cr300c,k,r900c,r2700f,Ad6d8hJh8c7d6hAsKs,900|-900,sun.kaishi.1,DeepStack 
f,,,,8s6c9s6h,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,4dAhKs8c,-100|100,sun.kaishi.2,DeepStack 
f,,,,Kh5s2cJd,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,Th4hAs2s,-100|100,sun.kaishi.2,DeepStack 
f,,,,Qs5sTs4d,50|-50,DeepStack,sun.kaishi.2 
r200c,r600f,,,KhTc2sAdTsKd6h,200|-200,sun.kaishi.2,DeepStack 
f,,,,JhKdJc9d,50|-50,DeepStack,sun.kaishi.2 
f,,,,KhQs6cKs,50|-50,DeepStack,sun.kaishi.1 
f,,,,Ts4d6h2d,50|-50,sun.kaishi.2,DeepStack 
r300c,cr900f,,,QcThJsJc2h7c8s,-300|300,DeepStack,sun.kaishi.2 
f,,,,5h7h2h7c,50|-50,sun.kaishi.1,DeepStack 
f,,,,Qh4c7c2d,50|-50,sun.kaishi.2,DeepStack 
r300r900c,k,k,k,AhTc3s3c6s4d5sJc8d,-900|900,DeepStack,sun.kaishi.2 
f,,,,2dJd6h9d,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,2h6h8d6d,-100|100,sun.kaishi.1,DeepStack 
k,r300f,,,7h6c5sTh7c6sAh,100|-100,sun.kaishi.2,DeepStack 
f,,,,4hQh9s6c,50|-50,DeepStack,sun.kaishi.1 
f,,,,2cJs8s7c,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,2s5h6sTh,-100|100,sun.kaishi.2,DeepStack 
r300r900c,k,k,r1800f,5h5sJhKh9d2d8c9h3h,900|-900,DeepStack,sun.kaishi.2 
r300r900c,r2700c,r8100c,r20000c,QcAcJdKhQsKc3sQd7d,20000|-20000,sun.kaishi.1,DeepStack 
r300f,,,,Tc2d7h5s,-100|100,sun.kaishi.2,DeepStack 
f,,,,7s9h3cKc,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,5sTcAh8sJs6h7s,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,6d5hKhQc,-100|100,DeepStack,sun.kaishi.1 
r300c,cr900f,,,9sQdKdTs4s7dKh,-300|300,DeepStack,sun.kaishi.2 
k,r300c,r900r1800f,,4s5s7h4h9h3h6s4d,-900|900,sun.kaishi.2,DeepStack 
k,k,k,k,4h9c2hJsQh7cAcAs6c,-100|100,sun.kaishi.1,DeepStack 
f,,,,7d8h9h5s,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,9cJd5d5s,-100|100,sun.kaishi.2,DeepStack 
f,,,,Td7s6c8c,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,9d4c8d9h7s9s3s,-100|100,sun.kaishi.2,DeepStack 
f,,,,7c6hTd6c,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,Kc4s2dTs3d8cQh,-100|100,sun.kaishi.2,DeepStack 
f,,,,JcTsThJs,50|-50,DeepStack,sun.kaishi.1 
f,,,,3sJd5cJs,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Kh8sQsQd,-100|100,sun.kaishi.1,DeepStack 
r200f,,,,Qs6sJd7h,-100|100,sun.kaishi.2,DeepStack 
f,,,,9cKdQc7h,50|-50,DeepStack,sun.kaishi.1 
f,,,,TsQh6cAh,50|-50,DeepStack,sun.kaishi.2 
cr300c,r900f,,,QcAs6cJsKc9c3s,300|-300,sun.kaishi.2,DeepStack 
r200f,,,,8c7dKc3s,-100|100,sun.kaishi.1,DeepStack 
f,,,,5h7s9dJs,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,QsThAhTd,-100|100,sun.kaishi.2,DeepStack 
f,,,,4d7c8hAs,50|-50,DeepStack,sun.kaishi.1 
f,,,,4h4cAc2d,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,4cTh7s9h,-100|100,sun.kaishi.2,DeepStack 
f,,,,Js4dThQd,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Kc2cKhTd,-100|100,sun.kaishi.2,DeepStack 
r200c,cr400f,,,5sAs7cJh8h6cQs,-200|200,sun.kaishi.1,DeepStack 
f,,,,AdQd9d8c,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,6hQcAc5c,-100|100,sun.kaishi.2,DeepStack 
r300c,cr750c,k,k,JcKh7d6dAd9dTh3sJs,750|-750,DeepStack,sun.kaishi.2 
f,,,,Ah2dTs2h,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,6d3cAh6c,-100|100,sun.kaishi.2,DeepStack 
f,,,,6s8d5c9s,50|-50,DeepStack,sun.kaishi.2 
r300r900f,,,,QcJs4cJh,300|-300,sun.kaishi.1,DeepStack 
r200f,,,,Tc7c6d6c,-100|100,sun.kaishi.2,DeepStack 
f,,,,9sTs9c8s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Kh2cTd9d,-100|100,sun.kaishi.2,DeepStack 
f,,,,9s4s6c7c,50|-50,DeepStack,sun.kaishi.1 
f,,,,2d6sAc3h,50|-50,DeepStack,sun.kaishi.2 
f,,,,AsJh2h7c,50|-50,sun.kaishi.1,DeepStack 
r200f,,,,9h6sJhAd,-100|100,sun.kaishi.2,DeepStack 
f,,,,7c8c3c5s,50|-50,DeepStack,sun.kaishi.1 
f,,,,7dJh4d5c,50|-50,DeepStack,sun.kaishi.2 
r300r900c,r2700f,,,TsTcJd5dQs9hQh,900|-900,sun.kaishi.2,DeepStack 
r300f,,,,Jh6dAhQs,-100|100,sun.kaishi.1,DeepStack 
f,,,,AsAc3d9c,50|-50,DeepStack,sun.kaishi.2 
f,,,,4h8h3sQs,50|-50,DeepStack,sun.kaishi.1 
k,cr200f,,,Th8d3hAsAdAhKd,-100|100,sun.kaishi.2,DeepStack 
r200f,,,,8cKh3sAh,-100|100,sun.kaishi.1,DeepStack 
f,,,,3dAh5h4d,50|-50,DeepStack,sun.kaishi.2 
f,,,,Qs3h8hTd,50|-50,DeepStack,sun.kaishi.1 
r300f,,,,6c7d9s9h,-100|100,sun.kaishi.2,DeepStack 
f,,,,6hTs2hAs,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,5c4sJh4h,-100|100,sun.kaishi.1,DeepStack 
r200r600f,,,,5c5s4cQh,200|-200,sun.kaishi.2,DeepStack 
f,,,,3cKc8c5c,50|-50,DeepStack,sun.kaishi.1 
f,,,,2d8dJd7c,50|-50,DeepStack,sun.kaishi.2 
k,k,cr200f,,4cTdQs2hJsKd6d2s,-100|100,sun.kaishi.2,DeepStack 
k,k,k,cr300f,QdTcQs2dQcAc9h5hJh,-100|100,sun.kaishi.1,DeepStack 
r300f,,,,2s3hTcAs,-100|100,DeepStack,sun.kaishi.2 
r300c,cr600f,,,QhJs6s3s9s2c5c,-300|300,sun.kaishi.2,DeepStack 
f,,,,Tc9h2c8d,50|-50,DeepStack,sun.kaishi.1 
f,,,,Qs9s8cTd,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,As7hQd9d,-100|100,sun.kaishi.2,DeepStack 
r300r900c,k,k,cr2700f,QcKcAc7c6s8h7h3s8d,-900|900,sun.kaishi.1,DeepStack 
f,,,,Jc3h7s8d,50|-50,DeepStack,sun.kaishi.2 
k,cr200f,,,8c6hJs3d4sTc8s,-100|100,sun.kaishi.2,DeepStack 
f,,,,3d2c2s3s,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,6d8c5d8h,-100|100,sun.kaishi.2,DeepStack 
f,,,,Ac9c6cAd,50|-50,DeepStack,sun.kaishi.2 
f,,,,6hAc8cTd,50|-50,DeepStack,sun.kaishi.1 
cr300r900c,cr2700r6750c,r13500c,r20000c,3s3cAsAdTc2s3h8h8c,20000|-20000,sun.kaishi.2,DeepStack 
r200r600f,,,,KdAd3hKc,200|-200,sun.kaishi.1,DeepStack 
f,,,,6c8dTc2c,50|-50,DeepStack,sun.kaishi.1 
f,,,,3dKsQs2d,50|-50,DeepStack,sun.kaishi.2 
r300f,,,,Kd2s5cAc,-100|100,sun.kaishi.2,DeepStack 
r300f,,,,Qs7h8hAs,-100|100,sun.kaishi.1,DeepStack 
r300c,k,k,k,As4dJsTcKs8h7s2c5s,300|-300,DeepStack,sun.kaishi.1 
f,,,,QhTd6d9s,50|-50,DeepStack,sun.kaishi.2 
r200f,,,,Ks4s6h9h,-100|100,sun.kaishi.2,DeepStack 
