PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
f,,,,2dTh3h9d,50|-50,DeepStack,parlavecchio.antonio.3 
r300f,,,,6d9h4s6h,-100|100,parlavecchio.antonio.3,DeepStack 
r200f,,,,6h2c6c8d,-100|100,DeepStack,parlavecchio.antonio.3 
r200c,k,cr400f,,Kh5h5sAc6c7dAd2h,-200|200,parlavecchio.antonio.3,DeepStack 
r200c,cr600f,,,5dKsQc8h6h5s7c,-200|200,DeepStack,parlavecchio.antonio.3 
k,k,cr200c,k,4cJsJdJh8cQcKcTdKd,-200|200,parlavecchio.antonio.3,DeepStack 
r200c,cr600c,cr1800c,cr4500f,6d9cAsQs7sAc9d6s8s,-1800|1800,DeepStack,parlavecchio.antonio.3 
r300f,,,,Qd3c2h8h,-100|100,parlavecchio.antonio.3,DeepStack 
r200c,cr500c,cr1000c,k,8cAs7cKdAc2hJsKh6d,1000|-1000,DeepStack,parlavecchio.antonio.3 
k,cr200f,,,5h3hTs4d6hTdQs,-100|100,parlavecchio.antonio.4,DeepStack 
r200c,k,k,k,5hKdQc4h3s7s7c6c3h,200|-200,DeepStack,parlavecchio.antonio.4 
f,,,,2c7h2h8c,50|-50,parlavecchio.antonio.4,DeepStack 
r300r900c,r1800c,r5400c,r16200c,QcKdAhTcJdTs2s5d8h,-16200|16200,DeepStack,parlavecchio.antonio.4 
r300c,k,k,r900c,3h2d7h6d4sKs6h8hAc,-900|900,parlavecchio.antonio.4,DeepStack 
r300f,,,,Kc2s6sJh,-100|100,DeepStack,parlavecchio.antonio.4 
r200c,r600f,,,4s3s2cAs5sKsTd,200|-200,parlavecchio.antonio.4,DeepStack 
r200c,cr600f,,,Ks7h5c3dQcAh4c,-200|200,DeepStack,parlavecchio.antonio.4 
r300c,k,r900c,k,3h8sQc9hAd2hQs5cJs,-900|900,parlavecchio.antonio.4,DeepStack 
r300f,,,,3s6dAs5s,-100|100,DeepStack,parlavecchio.antonio.4 
f,,,,Qh4c2h3d,50|-50,parlavecchio.antonio.4,DeepStack 
r300f,,,,6cJd8h2h,-100|100,DeepStack,parlavecchio.antonio.4 
r300r900r2700c,cr5400r8100f,,,QcQsAhJsTh9h9c,5400|-5400,parlavecchio.antonio.4,DeepStack 
r300r900c,r1800r2700c,cr8100c,cr13500r20000c,AhQhQs6s7h6d6h5s5h,-20000|20000,DeepStack,parlavecchio.antonio.4 
r300r900c,r2250f,,,AdQcQhJd7h5c9c,900|-900,parlavecchio.antonio.4,DeepStack 
r250c,cr750c,cr1875f,,Ah4dQhTs3sQc2sTh,-750|750,DeepStack,parlavecchio.antonio.4 
k,r200f,,,3d8c3c6hKcJc8d,100|-100,parlavecchio.antonio.4,DeepStack 
r300f,,,,Qd4hKd8d,-100|100,DeepStack,parlavecchio.antonio.4 
r300c,r900c,r2700c,r6750r20000c,2cKdQhJhKs3c6hTd9s,-20000|20000,parlavecchio.antonio.4,DeepStack 
r200f,,,,2d4h8c3d,-100|100,DeepStack,parlavecchio.antonio.4 
r300r900r1800c,cr20000f,,,AdQcKcKh7sTh3s,-1800|1800,parlavecchio.antonio.4,DeepStack 
r300r900c,cr2250f,,,3d3s5dQcKc5sTc,-900|900,DeepStack,parlavecchio.antonio.4 
r200r600c,r1800c,r5400f,,QdTd7hKhQh6s5cTc,1800|-1800,parlavecchio.antonio.4,DeepStack 
r200c,k,cr600c,cr1800f,6c9d7d3cTcKh6h8d8h,-600|600,DeepStack,parlavecchio.antonio.4 
r200r600c,r1800c,cr3600c,cr20000f,Ah9sQs8s4dJs6s3cTs,-3600|3600,parlavecchio.antonio.4,DeepStack 
r300c,cr900f,,,4cAsJs9dTcTs7c,-300|300,DeepStack,parlavecchio.antonio.4 
k,r300f,,,Jc6dKh3d2h7c8s,100|-100,parlavecchio.antonio.4,DeepStack 
r200c,r400r1200c,r2400c,r12000c,Tc2c6s9h8c5s9c4c7s,12000|-12000,DeepStack,parlavecchio.antonio.4 
cr300f,,,,2dKh4s7c,100|-100,parlavecchio.antonio.4,DeepStack 
r300f,,,,Jh5cAc8h,-100|100,DeepStack,parlavecchio.antonio.4 
r200c,k,r600f,,4s8d6sKdTdQc7h4d,200|-200,parlavecchio.antonio.4,DeepStack 
r300c,k,cr900c,k,3sAc3h5h4sTcTsKs3c,900|-900,DeepStack,parlavecchio.antonio.4 
f,,,,AdQc2d6s,50|-50,parlavecchio.antonio.4,DeepStack 
r300r900c,r1800c,cr4500c,cr11250f,Ad3dKs5s8sKd8c5d3h,-4500|4500,DeepStack,parlavecchio.antonio.4 
cr300c,r900f,,,6h8hQs7sJh9d6d,300|-300,parlavecchio.antonio.4,DeepStack 
r300c,k,r600r1800c,cr5400c,8d9sKh6c4hQsTcJsAs,-5400|5400,DeepStack,parlavecchio.antonio.4 
r200r600c,r1800c,r5400f,,AdQc5c6c5d2d3hTd,1800|-1800,parlavecchio.antonio.4,DeepStack 
r200f,,,,8s3dTc2s,-100|100,DeepStack,parlavecchio.antonio.4 
r200c,r600f,,,Kh4s4dKs6sAh5s,200|-200,parlavecchio.antonio.4,DeepStack 
r300r900c,r1800c,k,cr4500f,7dTd9hJdAhQh4hQc3c,-1800|1800,DeepStack,parlavecchio.antonio.4 
r300c,k,r900f,,9c8sQd7h6h6c3c2d,300|-300,parlavecchio.antonio.4,DeepStack 
r300f,,,,3h4sJcAd,-100|100,DeepStack,parlavecchio.antonio.4 
k,r250f,,,4h9cJc5c2dThAd,100|-100,parlavecchio.antonio.4,DeepStack 
r300c,cr900c,cr2250c,cr5625f,Td2dQd8c3s6sThJh5s,-2250|2250,DeepStack,parlavecchio.antonio.4 
k,r300c,r900c,cr2700c,Qc2d4h6c6h2s6dJh8c,-2700|2700,parlavecchio.antonio.4,DeepStack 
r300r900c,r1800c,r3600c,k,AhThQs7sKsAd7c5h3s,3600|-3600,DeepStack,parlavecchio.antonio.4 
r300c,r900r1800c,r5400c,k,6h4c5d8h7s8c4s6c7d,-5400|5400,parlavecchio.antonio.4,DeepStack 
r300c,cr900f,,,Tc7sQhKhKcJd4c,-300|300,DeepStack,parlavecchio.antonio.4 
r300r900f,,,,6h8hJd5h,300|-300,parlavecchio.antonio.4,DeepStack 
r300f,,,,6c4s9h8h,-100|100,DeepStack,parlavecchio.antonio.4 
cr300c,r900c,k,r2250f,9dJh5dKdJdAsAd4h6s,900|-900,parlavecchio.antonio.4,DeepStack 
r200f,,,,8c2sTsQs,-100|100,DeepStack,parlavecchio.antonio.4 
r200c,cr600f,,,QsJsQcKsKh8c6h,-200|200,parlavecchio.antonio.4,DeepStack 
r200f,,,,4cTs6s5s,-100|100,DeepStack,parlavecchio.antonio.4 
r300f,,,,8h4c6hTs,-100|100,parlavecchio.antonio.4,DeepStack 
r200c,cr500f,,,4s3dTd9cJsAhQs,-200|200,DeepStack,parlavecchio.antonio.4 
k,cr200f,,,2sKs3h6d5s5cJd,-100|100,parlavecchio.antonio.4,DeepStack 
r300f,,,,4c8hAh3s,-100|100,DeepStack,parlavecchio.antonio.4 
r200c,r500f,,,Jc7hKc4d5s8hQd,200|-200,parlavecchio.antonio.4,DeepStack 
r300r900c,cr1800c,cr5400f,,7d7h9cAcAs9hJdKs,-1800|1800,DeepStack,parlavecchio.antonio.4 
r300c,r750f,,,2s2c9s7hJhJs5c,300|-300,parlavecchio.antonio.4,DeepStack 
r300f,,,,8s2sQs7c,-100|100,DeepStack,parlavecchio.antonio.4 
r300c,k,r750c,r2250f,4sTc9c4c8c3c2d8sAs,750|-750,parlavecchio.antonio.4,DeepStack 
r300c,cr750f,,,3cAcJdQd9s9hJs,-300|300,DeepStack,parlavecchio.antonio.4 
r200c,k,r600c,r1800c,5d7hAh4c7dAs4h5h5s,1800|-1800,parlavecchio.antonio.4,DeepStack 
r300r900c,r2700c,r5400c,k,JdJc6s9dTh4h9sQcAs,5400|-5400,DeepStack,parlavecchio.antonio.4 
r300r900f,,,,9d8hTd6h,300|-300,parlavecchio.antonio.4,DeepStack 
r300r600c,r1200f,,,4h5h9d2dTs7cKh,600|-600,DeepStack,parlavecchio.antonio.4 
f,,,,7cAc3c7s,50|-50,parlavecchio.antonio.4,DeepStack 
r300c,cr900f,,,6cAd6h7c4h2s7h,-300|300,DeepStack,parlavecchio.antonio.4 
r300c,k,k,cr900f,5d6cAd8dAsJhKh2d2h,-300|300,parlavecchio.antonio.4,DeepStack 
r300f,,,,5s6d2d3d,-100|100,DeepStack,parlavecchio.antonio.4 
r300r900f,,,,8h6c3c4s,300|-300,parlavecchio.antonio.4,DeepStack 
r300r900r2700f,,,,AhJsAs7s,-900|900,DeepStack,parlavecchio.antonio.4 
cr500c,r1500c,r4500c,k,KdTd8hAs3dAc9d9hKc,-4500|4500,parlavecchio.antonio.4,DeepStack 
r300f,,,,7dQh9c3h,-100|100,DeepStack,parlavecchio.antonio.4 
r300r900f,,,,6s6cTd7c,300|-300,parlavecchio.antonio.4,DeepStack 
r300f,,,,Ts3h4h3d,-100|100,DeepStack,parlavecchio.antonio.4 
cr500c,r1500c,r4500c,r13500c,5dQd3s5s5c2hQsTs9h,13500|-13500,parlavecchio.antonio.4,DeepStack 
r200c,cr600c,r1800f,,3h4d6hJd5sAd9s7d,600|-600,DeepStack,parlavecchio.antonio.4 
r200c,r600f,,,9c5dKd8c4s4h2h,200|-200,parlavecchio.antonio.4,DeepStack 
r300c,cr900c,cr2700f,,TsKh7dJs4sJcAh6h,-900|900,DeepStack,parlavecchio.antonio.4 
r200c,k,r600f,,9h2h6c8hAs2cQd8c,200|-200,parlavecchio.antonio.4,DeepStack 
r500f,,,,8hTsTdKd,-100|100,DeepStack,parlavecchio.antonio.4 
k,r300f,,,8hJcJh4c4d5hAd,100|-100,parlavecchio.antonio.4,DeepStack 
r300r900r2700f,,,,AcTd9s9c,-900|900,DeepStack,parlavecchio.antonio.4 
r200r600f,,,,Ac2dTh6s,200|-200,parlavecchio.antonio.4,DeepStack 
r300c,k,cr900c,k,Ac5dJcAs2s5hTd7d8d,900|-900,DeepStack,parlavecchio.antonio.4 
r300r900f,,,,9hAc3sKh,300|-300,parlavecchio.antonio.4,DeepStack 
r300r900c,r1800r2700c,k,k,As9sAd5sQc9h7h7c9c,2700|-2700,DeepStack,parlavecchio.antonio.4 
f,,,,AhTh6c2d,50|-50,parlavecchio.antonio.4,DeepStack 
r300f,,,,3s9d7s2s,-100|100,DeepStack,parlavecchio.antonio.4 
r200c,r500f,,,8h3s8sKcTc3d4s,200|-200,parlavecchio.antonio.4,DeepStack 
cr300c,r600c,k,r1200c,7c8d3c5dJc5cAd8c7s,1200|-1200,DeepStack,parlavecchio.antonio.4 
r200c,r600c,k,k,4hJs9c7h5sAs7c5c8d,-600|600,parlavecchio.antonio.4,DeepStack 
r300f,,,,Js5hAd7d,-100|100,DeepStack,parlavecchio.antonio.4 
cr300c,r900f,,,AdKh9cQh6hTh5c,300|-300,parlavecchio.antonio.4,DeepStack 
r300f,,,,6h2dKsKc,-100|100,DeepStack,parlavecchio.antonio.4 
cr300f,,,,QcTd9d3h,100|-100,parlavecchio.antonio.4,DeepStack 
r300f,,,,5cJh3sAc,-100|100,DeepStack,parlavecchio.antonio.4 
cr300c,r900c,cr2700f,,Ad8c8s6dTd5s7s4c,-900|900,parlavecchio.antonio.4,DeepStack 
cr300f,,,,AcTd3d7c,100|-100,parlavecchio.antonio.2,DeepStack 
r300c,cr900c,k,cr2700c,7s6h7c3s2c7h8s2d3d,-2700|2700,DeepStack,parlavecchio.antonio.2 
r300c,k,r900f,,4cJcJsKc3dAc8d6s,300|-300,parlavecchio.antonio.2,DeepStack 
r300c,cr900f,,,8cTs9dAh3hQs7h,-300|300,DeepStack,parlavecchio.antonio.2 
f,,,,4h6s6h2d,50|-50,parlavecchio.antonio.2,DeepStack 
r300c,r900c,r1800c,r3600f,Kd9hQsAh4s4h6d3hKs,1800|-1800,DeepStack,parlavecchio.antonio.2 
r300c,cr600c,cr1200f,,6c4sJh3hAh9c7d9s,-600|600,parlavecchio.antonio.2,DeepStack 
r200c,cr600f,,,8sAc8dJhQdTd6s,-200|200,DeepStack,parlavecchio.antonio.2 
k,r300f,,,5dQs4sJcTh6hTc,100|-100,parlavecchio.antonio.2,DeepStack 
cr300c,cr900f,,,QdAd9s3sJc8h4h,-300|300,DeepStack,parlavecchio.antonio.2 
r300r900c,k,r2250f,,QcQs9cQdKhAc6d3c,900|-900,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,cr1800c,k,Jd4c2c5cJh4h8s2h3s,1800|-1800,DeepStack,parlavecchio.antonio.2 
r200c,r600f,,,6sTcKh7c4dThQc,200|-200,parlavecchio.antonio.2,DeepStack 
r200c,cr600f,,,Ks9h7c2s7d5dTh,-200|200,DeepStack,parlavecchio.antonio.2 
r300r1500c,r3750c,k,cr7500f,9sAsKcQhKh8s3h8d2c,-3750|3750,parlavecchio.antonio.2,DeepStack 
r200r600c,cr1800f,,,7h7sJs4hJd6hTs,-600|600,DeepStack,parlavecchio.antonio.2 
f,,,,JdQs2s4h,50|-50,parlavecchio.antonio.2,DeepStack 
f,,,,Qd9s4h5d,50|-50,DeepStack,parlavecchio.antonio.2 
r200r600c,k,r1800f,,5c6h4d4hQd8s3h9s,600|-600,parlavecchio.antonio.2,DeepStack 
r300f,,,,2h7c6cQh,-100|100,DeepStack,parlavecchio.antonio.2 
r300c,r900c,k,k,9sJc8h9d8d4cAc5d6c,-900|900,parlavecchio.antonio.2,DeepStack 
r300c,cr900f,,,Jd9sKs5s5h3c8d,-300|300,DeepStack,parlavecchio.antonio.2 
cr300c,r900f,,,JdJcQd4d3s9d8s,300|-300,parlavecchio.antonio.2,DeepStack 
r300r900c,r2700c,k,cr8100c,JdTs2hAsThJs5s7d9c,8100|-8100,DeepStack,parlavecchio.antonio.2 
r300c,k,r900f,,6dQd6h8d2cAd5hJh,300|-300,parlavecchio.antonio.2,DeepStack 
r200c,k,cr600f,,7dQcJs3s8hAc2s6h,-200|200,DeepStack,parlavecchio.antonio.2 
r300c,cr600r900f,,,Qd4c6cJsKh8hKs,600|-600,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,k,k,As5cKs2dQh5s7sJsTc,600|-600,DeepStack,parlavecchio.antonio.2 
r300c,r900c,r2700c,cr13500c,3hJd4d8d6d7dJc2dTs,-13500|13500,parlavecchio.antonio.2,DeepStack 
r300c,cr900f,,,As8c8d7s5hKc3c,-300|300,DeepStack,parlavecchio.antonio.2 
r300c,cr600f,,,8d3c6s5s6cQs7h,-300|300,parlavecchio.antonio.2,DeepStack 
r300f,,,,4dKc6dTd,-100|100,DeepStack,parlavecchio.antonio.2 
r200r600c,r1800f,,,Kc9c4hAd2cTdKs,600|-600,parlavecchio.antonio.2,DeepStack 
r300f,,,,2dTh6dQd,-100|100,DeepStack,parlavecchio.antonio.2 
r200r300r600c,cr1200r1800f,,,Qh3dAs6h7cTsQd,1200|-1200,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,k,r1800c,Ac8s6c3h6h2sAsQc8c,1800|-1800,DeepStack,parlavecchio.antonio.2 
k,cr200f,,,4cTsKc2d5h8sAd,-100|100,parlavecchio.antonio.2,DeepStack 
r300f,,,,7h3dJhKd,-100|100,DeepStack,parlavecchio.antonio.2 
r300c,r400c,r1200f,,8sKdKh7cAd2c8d3c,400|-400,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,k,r1200r3600c,7hJs4dTc3c9hJd2c3h,3600|-3600,DeepStack,parlavecchio.antonio.2 
cr300c,r900f,,,4d9dKh3c5dQc2s,300|-300,parlavecchio.antonio.2,DeepStack 
r300c,cr900c,cr2700c,r5400r20000f,6c5d7s4s3d2c7h9h7d,-5400|5400,DeepStack,parlavecchio.antonio.2 
r200c,r600c,r1800c,r20000f,Th2hQcQh2cAh7c5h9h,1800|-1800,parlavecchio.antonio.2,DeepStack 
r300r900c,r1800r2700r5400r20000f,,,9dJd9hKh7h5d5h,-5400|5400,DeepStack,parlavecchio.antonio.2 
cr500f,,,,AhQd3hJc,100|-100,parlavecchio.antonio.2,DeepStack 
r300f,,,,Ts2hAc4d,-100|100,DeepStack,parlavecchio.antonio.2 
cr300c,r900f,,,8h6cQh3sKc4d9c,300|-300,parlavecchio.antonio.2,DeepStack 
r300f,,,,7s5d5sJs,-100|100,DeepStack,parlavecchio.antonio.2 
cr300c,r900c,k,k,9cTs7d5h2s5d3d8cQh,-900|900,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,k,k,Ts7dKd3s3dJs8s7cAd,600|-600,DeepStack,parlavecchio.antonio.2 
r300f,,,,9d7c6hKc,-100|100,parlavecchio.antonio.2,DeepStack 
r200r400c,k,k,r800f,7d5hKc5dTc9s3hQc2h,400|-400,DeepStack,parlavecchio.antonio.2 
k,k,k,cr200f,6hKhJc5cAdJd4d2h9c,-100|100,parlavecchio.antonio.2,DeepStack 
f,,,,8cAs5sTc,50|-50,DeepStack,parlavecchio.antonio.2 
r200c,k,k,r600f,5hJhQd7h4hJcKs5d3h,200|-200,parlavecchio.antonio.2,DeepStack 
r200r600f,,,,As9sQs4h,200|-200,DeepStack,parlavecchio.antonio.2 
r300r900c,r2250c,k,r5625c,KcAdQcAh8d6s6d9cKh,5625|-5625,parlavecchio.antonio.2,DeepStack 
r200c,k,r400f,,7hKs9cQd4h2c8s7c,200|-200,DeepStack,parlavecchio.antonio.2 
k,k,k,k,9cTc5c8c7d5dTd6d8h,100|-100,parlavecchio.antonio.2,DeepStack 
f,,,,6s3s2dJh,50|-50,DeepStack,parlavecchio.antonio.2 
k,cr200c,cr600f,,2hJd5sTd2d8sAhQd,-200|200,parlavecchio.antonio.2,DeepStack 
r200c,k,k,r400f,Qh9c2sQs5s3hKc5d9d,200|-200,DeepStack,parlavecchio.antonio.2 
r300c,cr600c,cr1200c,r3000c,4d5c6dJh7s6h6cTd8s,3000|-3000,parlavecchio.antonio.2,DeepStack 
r200c,k,r400f,,7dKs9s6s4sKh5h2c,200|-200,DeepStack,parlavecchio.antonio.2 
r300f,,,,3h8h7cJs,-100|100,parlavecchio.antonio.2,DeepStack 
r200c,k,cr500c,k,4dAc5d4c9cKh8d4h9d,500|-500,DeepStack,parlavecchio.antonio.2 
k,r300c,k,k,5d6d4cAhJc7d6sKd3h,300|-300,parlavecchio.antonio.2,DeepStack 
r200c,k,k,r600f,JdAh4c3cTh9cQs6sAs,200|-200,DeepStack,parlavecchio.antonio.2 
r300f,,,,6c9s6d6h,-100|100,parlavecchio.antonio.2,DeepStack 
r200r600c,r1200r1800c,cr4500c,cr9000c,TsTdJhJs7h2s8h9hJd,9000|-9000,DeepStack,parlavecchio.antonio.2 
r300r900c,r2250f,,,JsJd4c4dAh9d7c,900|-900,parlavecchio.antonio.2,DeepStack 
r200r600f,,,,8s9s6c4s,200|-200,DeepStack,parlavecchio.antonio.2 
f,,,,3dJd7d3c,50|-50,parlavecchio.antonio.2,DeepStack 
r300c,cr900f,,,7dAhTcTs8d4s9d,-300|300,DeepStack,parlavecchio.antonio.2 
r200f,,,,4d2s7dJs,-100|100,parlavecchio.antonio.2,DeepStack 
f,,,,2d9c7h3c,50|-50,DeepStack,parlavecchio.antonio.2 
r200c,cr400f,,,ThAcAd5d4h8dJh,-200|200,parlavecchio.antonio.2,DeepStack 
k,k,r200f,,6h4s8hKh2s3d7sTs,100|-100,DeepStack,parlavecchio.antonio.2 
r300f,,,,9c6d5d8c,-100|100,parlavecchio.antonio.2,DeepStack 
r200c,r600r1000c,cr2500f,,Qh5d7d8c4h3s7cTh,-1000|1000,DeepStack,parlavecchio.antonio.2 
r300r900c,r2700f,,,KcKdAcJc6h5sQd,900|-900,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,cr700r1400c,k,Qh2sQdKh2d7cQcTdAc,1400|-1400,DeepStack,parlavecchio.antonio.2 
r200c,cr400r1200c,r1300c,r3250f,9hJc8sJdTd7h8c5cKd,1300|-1300,parlavecchio.antonio.2,DeepStack 
r200r600c,r1200f,,,QcKh4h3d2h7sKd,600|-600,DeepStack,parlavecchio.antonio.2 
r300f,,,,5d9sTh9h,-100|100,parlavecchio.antonio.2,DeepStack 
f,,,,2sAc6s3d,50|-50,DeepStack,parlavecchio.antonio.2 
r300c,cr600f,,,Ks8d6s5sJh7cQs,-300|300,parlavecchio.antonio.2,DeepStack 
r200c,k,k,k,Ah8s5sJs9c7h4dQc3s,200|-200,DeepStack,parlavecchio.antonio.2 
r300c,cr900c,k,r1800f,Kc7h8h6hJhTcKd2hTs,900|-900,parlavecchio.antonio.2,DeepStack 
r200c,cr600c,k,k,Qd2s5h6c5sTh2dJd8s,-600|600,DeepStack,parlavecchio.antonio.2 
cr300c,r900f,,,6d6c7sAd2c3h4d,300|-300,parlavecchio.antonio.2,DeepStack 
r200c,k,k,cr600f,Jd6sQsJs8s7h6dTcQh,-200|200,DeepStack,parlavecchio.antonio.2 
f,,,,Td5s2c6d,50|-50,parlavecchio.antonio.2,DeepStack 
r200c,cr600r1200c,cr3600r7200r20000f,,3hKd8h9d7d5dAd6h,-7200|7200,DeepStack,parlavecchio.antonio.2 
r200c,r600c,r1500r3000f,,9d7hJsQc2sTh8h9c,-1500|1500,parlavecchio.antonio.2,DeepStack 
r200c,r600c,cr1200c,k,4h5dJs9hAhJd3h4d5s,1200|-1200,DeepStack,parlavecchio.antonio.2 
cr300c,r400r1200r2400f,,,AhAdQhTd8d8h3s,1200|-1200,parlavecchio.antonio.2,DeepStack 
r200c,cr500f,,,5d8s8hKdJsQcTc,-200|200,DeepStack,parlavecchio.antonio.2 
f,,,,5dJs3c8s,50|-50,parlavecchio.antonio.2,DeepStack 
r200r600c,k,k,k,8sQs5s6sAdKh3hKcKd,600|-600,DeepStack,parlavecchio.antonio.2 
r200r300c,r900f,,,9d8s5c3dJh6sKh,300|-300,parlavecchio.antonio.1,DeepStack 
r300c,cr750f,,,Ad6hQdKsJdQs5h,-300|300,DeepStack,parlavecchio.antonio.1 
r200r600f,,,,JhTcTs6h,200|-200,parlavecchio.antonio.1,DeepStack 
r300f,,,,4cTdKhAd,-100|100,DeepStack,parlavecchio.antonio.1 
cr300c,r900f,,,5hKd4sQc2dJsAc,300|-300,parlavecchio.antonio.1,DeepStack 
r250c,cr750c,cr2250f,,2cKcTcKs2s9dQdTs,-750|750,DeepStack,parlavecchio.antonio.1 
r200r600c,r1800c,k,k,Ks5dJdAc6c3dJs8s7s,-1800|1800,parlavecchio.antonio.1,DeepStack 
r300c,cr900c,cr2250f,,9sTh3d3c4h6s8h3s,-900|900,DeepStack,parlavecchio.antonio.1 
r300c,r750r1500f,,,4dTsKcJcKs6d7d,-750|750,parlavecchio.antonio.1,DeepStack 
r300f,,,,2d5s8s3s,-100|100,DeepStack,parlavecchio.antonio.1 
r300c,cr600f,,,3sQsAsQd7s2h5d,-300|300,parlavecchio.antonio.1,DeepStack 
cr300f,,,,KdTh3h7c,100|-100,DeepStack,parlavecchio.antonio.1 
r200c,cr400c,k,k,Th9sTc6s4s7h8s8d7d,0|0,parlavecchio.antonio.1,DeepStack 
cr300c,k,k,k,8d7sKs5dJh7cTd6c3h,300|-300,DeepStack,parlavecchio.antonio.1 
r200c,r500c,r1250r2500c,cr7500c,4c3c9d4d5c3dKd2c7d,-7500|7500,parlavecchio.antonio.1,DeepStack 
r200c,r400c,cr500f,,3d2d2sAsAdAcKc7s,-400|400,DeepStack,parlavecchio.antonio.1 
r300c,cr600f,,,Qh6h3dAh4c9d4d,-300|300,parlavecchio.antonio.1,DeepStack 
k,k,cr200c,k,Ts2h5cKhAd5dThAs8d,200|-200,DeepStack,parlavecchio.antonio.1 
r200r300r600c,r1200f,,,Ah2hQs7dKd2sJc,600|-600,parlavecchio.antonio.1,DeepStack 
k,cr200r400c,r800f,,4hQd4d7s3s2dAdJs,400|-400,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,JsAh8c6s,300|-300,parlavecchio.antonio.1,DeepStack 
r200c,cr500f,,,6dAs5hThJd4hKc,-200|200,DeepStack,parlavecchio.antonio.1 
r200c,cr600f,,,6s8d9cKdTd5sJd,-200|200,parlavecchio.antonio.1,DeepStack 
cr300c,cr750c,k,r1500c,8s8c8h2d7cJh2c7h5s,1500|-1500,DeepStack,parlavecchio.antonio.1 
r300f,,,,2dTc4sJd,-100|100,parlavecchio.antonio.1,DeepStack 
r200c,cr500f,,,3dQcTh4cAd6dJc,-200|200,DeepStack,parlavecchio.antonio.1 
f,,,,9s9d2d5s,50|-50,parlavecchio.antonio.1,DeepStack 
r200c,cr300c,cr900f,,Ac3c9cJd7dJhJs5d,-300|300,DeepStack,parlavecchio.antonio.1 
r300c,r600f,,,QhJh9d6cAh7cAc,300|-300,parlavecchio.antonio.1,DeepStack 
k,cr200c,k,r600f,6cKh8s2cJh4h9hKd7d,200|-200,DeepStack,parlavecchio.antonio.1 
cr250c,r625c,r1562f,,7c7sKh3h9sJd3d2c,625|-625,parlavecchio.antonio.1,DeepStack 
r300c,cr900c,k,k,4c4sKhQd2c5h7s7h2d,900|-900,DeepStack,parlavecchio.antonio.1 
f,,,,Jd6d7h3s,50|-50,parlavecchio.antonio.1,DeepStack 
r300f,,,,2h3d7c8s,-100|100,DeepStack,parlavecchio.antonio.1 
r300f,,,,2c3dKs9d,-100|100,parlavecchio.antonio.1,DeepStack 
r300f,,,,2h9h6dJs,-100|100,DeepStack,parlavecchio.antonio.1 
cr300c,r750c,cr1500f,,6sAs9h8c6dTsQdTd,-750|750,parlavecchio.antonio.1,DeepStack 
r300c,cr750c,cr1875c,r3750r11250r20000c,JcKh7hKc5hQh8cAhJh,20000|-20000,DeepStack,parlavecchio.antonio.1 
r300c,k,r750c,r1500f,Jc7sKc2d3s2h6d9hAs,750|-750,parlavecchio.antonio.1,DeepStack 
r300c,cr600c,cr1500c,k,Js2s7s9h3d8s2h3c5h,1500|-1500,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,As7d4dKh,300|-300,parlavecchio.antonio.1,DeepStack 
r300f,,,,Jh6sQc3h,-100|100,DeepStack,parlavecchio.antonio.1 
r300c,r900c,r2700c,r8100r20000c,2cJcQs8c8s5cJs8d8h,-20000|20000,parlavecchio.antonio.1,DeepStack 
r300f,,,,Tc6s9h5d,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,JcThKc2s,300|-300,parlavecchio.antonio.1,DeepStack 
f,,,,TcJhTs2d,50|-50,DeepStack,parlavecchio.antonio.1 
r200c,cr600f,,,8c2hQdTs6s3d9d,-200|200,parlavecchio.antonio.1,DeepStack 
k,k,r200c,k,4dTs3d2sAhKd4h3cTh,200|-200,DeepStack,parlavecchio.antonio.1 
k,k,r200c,cr600c,3cJsTh2c3hKhTd5sTc,-600|600,parlavecchio.antonio.1,DeepStack 
r300f,,,,6hJs5s2h,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900r2700c,r5400r10800f,,,QdTh9cJc7c3d9h,-5400|5400,parlavecchio.antonio.1,DeepStack 
r300f,,,,8h6dTh7h,-100|100,DeepStack,parlavecchio.antonio.1 
r300r900f,,,,KcQd8hQc,300|-300,parlavecchio.antonio.1,DeepStack 
k,cr200c,cr400f,,4h7d7s9c9d7cTc2h,-200|200,DeepStack,parlavecchio.antonio.1 
f,,,,3hTc3s8d,50|-50,parlavecchio.antonio.1,DeepStack 
r300c,k,cr750c,k,JhQsKdJs4h7sTsQh5h,750|-750,DeepStack,parlavecchio.antonio.1 
k,cr300c,k,k,As2c4dJs4cKc5h5cKh,300|-300,parlavecchio.antonio.1,DeepStack 
r200c,cr500c,k,k,Ah8dJh3h6s6dJd5dQc,-500|500,DeepStack,parlavecchio.antonio.1 
k,r250c,r625f,,7c5c3sJcAd5s3cTs,250|-250,parlavecchio.antonio.1,DeepStack 
