PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300r900c,r2250f,,,KsJh5c9c8s8cAh,900|-900,sethi.muskan.1,DeepStack 
f,,,,9c5c8s7h,50|-50,DeepStack,sethi.muskan.1 
cr300c,cr900r2700f,,,2cAs5cJc7d6cAh,900|-900,sethi.muskan.1,DeepStack 
k,cr300f,,,3h4dAd4hAs8dJd,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,6d7hKs2d,-100|100,sethi.muskan.1,DeepStack 
f,,,,3c7sJc9s,50|-50,DeepStack,sethi.muskan.1 
cr300f,,,,4cThTs2c,100|-100,sethi.muskan.1,DeepStack 
f,,,,6hAd6d5h,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900r2700r8100c,r20000c,,Th8h9sKh4h9d2d2h5s,-20000|20000,sethi.muskan.1,DeepStack 
r20000f,,,,8sJdJh3h,-100|100,DeepStack,sethi.muskan.1 
k,r300f,,,Jd4d2dKc8h3dJh,100|-100,sethi.muskan.1,DeepStack 
r300f,,,,7d2sJsQs,-100|100,DeepStack,sethi.muskan.1 
r200r600f,,,,3dAs3sTs,200|-200,sethi.muskan.1,DeepStack 
f,,,,4hQcQd4s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,3s2cQdTd,-100|100,sethi.muskan.1,DeepStack 
f,,,,8h2h6s7h,50|-50,DeepStack,sethi.muskan.1 
r300r600f,,,,QsJdJc6h,300|-300,sethi.muskan.1,DeepStack 
r200r600f,,,,AdTd5sQh,200|-200,DeepStack,sethi.muskan.1 
k,cr200f,,,9c5hJd7dTd4c2s,-100|100,sethi.muskan.1,DeepStack 
f,,,,7d2h3hTd,50|-50,DeepStack,sethi.muskan.1 
k,cr200f,,,Kc6s4dJcTcTd2s,-100|100,sethi.muskan.1,DeepStack 
r200c,cr500c,r1000f,,9d7s2dQh9c3d2s5h,500|-500,DeepStack,sethi.muskan.1 
r200f,,,,4d9h9c8s,-100|100,sethi.muskan.1,DeepStack 
f,,,,Qs5h5d4c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Td3sQcQd,-100|100,sethi.muskan.1,DeepStack 
r250f,,,,3sThKd5d,-100|100,DeepStack,sethi.muskan.1 
k,r250c,r625c,r1875r20000f,6d8d7sKs2s4d5sKc8s,-1875|1875,sethi.muskan.1,DeepStack 
r200c,cr500c,k,k,Ad7sAc5d3s2hJd9c2d,0|0,DeepStack,sethi.muskan.1 
r300c,cr900r2250f,,,4hTh5cKs9c8h6h,900|-900,sethi.muskan.1,DeepStack 
r200c,cr500r1500f,,,3cTc7c7hKc6hQc,500|-500,DeepStack,sethi.muskan.1 
r300r900c,r2700f,,,Qh4cJsKs5hAh7h,900|-900,sethi.muskan.1,DeepStack 
r200c,cr600f,,,9hQcTs7d3d7s2c,-200|200,DeepStack,sethi.muskan.1 
r300f,,,,3d4cAsKd,-100|100,sethi.muskan.1,DeepStack 
r250c,cr625c,cr1562f,,JcAd2cKc6c4cQhQs,-625|625,DeepStack,sethi.muskan.1 
r300c,r750c,r1875c,cr9375c,TsKd6c9cAdKs6h9s5s,-9375|9375,sethi.muskan.1,DeepStack 
r200f,,,,4h8sKhJh,-100|100,DeepStack,sethi.muskan.1 
r200r300r900r1500c,r3750c,cr7500f,,JhAhQdKs3h9cKd9d,-3750|3750,sethi.muskan.1,DeepStack 
r200c,k,k,cr400f,4s5dTcKdQh7dAs9cQc,-200|200,DeepStack,sethi.muskan.1 
r300c,k,cr900f,,6c4s7dKc9sTd2sJc,-300|300,sethi.muskan.1,DeepStack 
r250f,,,,2c5s4dQd,-100|100,DeepStack,sethi.muskan.1 
r300r500c,r1250c,r3750f,,AsKh4h6cJc3c7h7d,1250|-1250,sethi.muskan.1,DeepStack 
r200r600f,,,,QdAdKd5s,200|-200,DeepStack,sethi.muskan.1 
f,,,,Jc7h2d3s,50|-50,sethi.muskan.1,DeepStack 
f,,,,Ks8dQs9h,50|-50,DeepStack,sethi.muskan.1 
r300c,cr600r1800c,r5400f,,Ah7s5d6dKs4s3h3s,1800|-1800,sethi.muskan.1,DeepStack 
f,,,,9sJs2c7d,50|-50,DeepStack,sethi.muskan.1 
r200r600r1800r20000f,,,,5h5sAdJs,1800|-1800,sethi.muskan.1,DeepStack 
r20000c,,,,7h7dAh9s3h6c8s2d3d,20000|-20000,DeepStack,sethi.muskan.1 
f,,,,JhTs2d9c,50|-50,sethi.muskan.1,DeepStack 
r20000f,,,,3s4s9c8s,-100|100,DeepStack,sethi.muskan.1 
f,,,,8cQc4c2h,50|-50,sethi.muskan.1,DeepStack 
r20000f,,,,Jc7sQcKh,-100|100,DeepStack,sethi.muskan.1 
k,k,r300f,,2s5dJc4s5cQs3hTd,100|-100,sethi.muskan.1,DeepStack 
r250c,cr625c,cr1875c,cr9375f,5s7h3cQc8c4d6h6cKc,-1875|1875,DeepStack,sethi.muskan.1 
r300c,k,r900f,,8c7s5d4d5sQsTsAd,300|-300,sethi.muskan.1,DeepStack 
r300r900c,r1800c,cr5400c,k,Ah8hTdKcQhAd8dQs7d,5400|-5400,DeepStack,sethi.muskan.1 
r300c,k,r1500c,r7500f,9hAdJd5d2d3sAsQdKh,1500|-1500,sethi.muskan.1,DeepStack 
f,,,,7h9d7s4d,50|-50,DeepStack,sethi.muskan.1 
k,k,r500c,k,4h3dTd6s4s5dTc5cAs,-500|500,sethi.muskan.1,DeepStack 
r250f,,,,Jc5d4s7d,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,4hJcKdAs,-100|100,sethi.muskan.1,DeepStack 
r20000f,,,,9cKd7dQd,-100|100,DeepStack,sethi.muskan.1 
k,r300r600f,,,7h6d8h4d9s4hKc,-300|300,sethi.muskan.1,DeepStack 
k,cr300f,,,9dQc4s3s8h2sAc,-100|100,DeepStack,sethi.muskan.1 
k,cr200f,,,6s7cQs4c2dKh4s,-100|100,sethi.muskan.1,DeepStack 
r500f,,,,3h9d5d6d,-100|100,DeepStack,sethi.muskan.1 
r200c,cr400f,,,5c7cKc8h8s2dAh,-200|200,sethi.muskan.1,DeepStack 
r300r900c,r1800c,k,cr9000f,6s7sTs9d9sAdQdKcJd,-1800|1800,DeepStack,sethi.muskan.1 
r300c,r750f,,,2s6s4s7s2dQdKh,300|-300,sethi.muskan.1,DeepStack 
k,cr300f,,,Jd6cTh7sAhTd2c,-100|100,DeepStack,sethi.muskan.1 
f,,,,Qc8c2h7s,50|-50,sethi.muskan.1,DeepStack 
r250r750c,r2250c,r6750c,cr20000c,JsAd4h5hQdAc6d3h5s,20000|-20000,DeepStack,sethi.muskan.1 
cr200c,r500c,r1500f,,AhAdQd8d6hTdTs4c,500|-500,sethi.muskan.1,DeepStack 
cr300c,r900f,,,Ts7sTh6hAc8dJs,300|-300,DeepStack,sethi.muskan.1 
r200f,,,,2h8c6s5d,-100|100,sethi.muskan.1,DeepStack 
f,,,,As4h7d4c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,2sQh7d9c,-100|100,sethi.muskan.1,DeepStack 
r300f,,,,6s5h7h9h,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,6h3sAh5c,-100|100,sethi.muskan.1,DeepStack 
cr300c,cr900c,k,k,AcQdJd8dQhTsJsAsKh,0|0,DeepStack,sethi.muskan.1 
r200f,,,,4s6h3cAh,-100|100,sethi.muskan.1,DeepStack 
k,cr300c,k,k,4sQs7c2c7d6s4d8c5h,0|0,DeepStack,sethi.muskan.1 
k,k,k,k,4dJs2sKc7d6dQhAd3c,-100|100,sethi.muskan.1,DeepStack 
f,,,,9c6h8dQc,50|-50,DeepStack,sethi.muskan.1 
cr250c,r625c,r1875c,r20000f,AdKs3sQdJd8d4dQhTc,1875|-1875,sethi.muskan.1,DeepStack 
f,,,,2s3c7d6c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6c8hAc9d,-100|100,sethi.muskan.1,DeepStack 
f,,,,5dQd4s6h,50|-50,DeepStack,sethi.muskan.1 
r200c,cr600r1500c,cr3000c,k,TsKcKhAhKd9dAsJc7d,-3000|3000,sethi.muskan.1,DeepStack 
f,,,,QcAh9d2c,50|-50,DeepStack,sethi.muskan.1 
k,r300f,,,Kc8d2d2sTdJd9h,100|-100,sethi.muskan.1,DeepStack 
r250c,cr750c,k,k,5dKs9h8c5s7d2h4hTs,750|-750,DeepStack,sethi.muskan.1 
k,r300r600c,k,r3000f,8c4d8s6cTs4c7c8dAs,600|-600,sethi.muskan.1,DeepStack 
f,,,,8c7d3c6h,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Th4d2sTs,-100|100,sethi.muskan.1,DeepStack 
f,,,,8h7d7c3s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5dQcAd3h,-100|100,sethi.muskan.1,DeepStack 
r300c,cr900f,,,3sAh6dAc8d9d9s,-300|300,DeepStack,sethi.muskan.1 
cr300c,r900f,,,KsQcQh3s6cTd3d,300|-300,sethi.muskan.1,DeepStack 
r300c,r900r2700f,,,4h7hKcTc2cJs4c,-900|900,DeepStack,sethi.muskan.1 
f,,,,3sAh2h9c,50|-50,sethi.muskan.1,DeepStack 
k,cr250c,cr750r2250c,r6750f,2s3h9d7c5d8c4s3sQh,2250|-2250,DeepStack,sethi.muskan.1 
r200r600c,k,r1800c,cr5400c,Kd2d8s6s3cQs7sKhAs,-5400|5400,sethi.muskan.1,DeepStack 
r300c,r600c,k,k,8c5cQhJsAd6h9s6dKh,-600|600,DeepStack,sethi.muskan.1 
f,,,,Kd9c2d9s,50|-50,sethi.muskan.1,DeepStack 
f,,,,9sJh4c9d,50|-50,DeepStack,sethi.muskan.1 
r200c,r600r1200f,,,Tc5c8s8h6h8cQs,-600|600,sethi.muskan.1,DeepStack 
f,,,,QcJh3dTh,50|-50,DeepStack,sethi.muskan.1 
k,r300f,,,Qh2hTd3s2c9s9c,100|-100,sethi.muskan.1,DeepStack 
r300f,,,,Ts6h5c3c,-100|100,DeepStack,sethi.muskan.1 
k,r300c,k,cr900f,3s7c7s3d4hKc5h4dTs,-300|300,sethi.muskan.1,DeepStack 
f,,,,4cAh6h7s,50|-50,DeepStack,sethi.muskan.1 
k,r300r600c,k,r1800f,9d5c8c5s3c6cKc6h2c,600|-600,sethi.muskan.1,DeepStack 
r250c,cr625c,cr1875c,cr9375f,Jh7s2d5dJs2sAd5sKh,-1875|1875,DeepStack,sethi.muskan.1 
f,,,,5s3d7c2d,50|-50,sethi.muskan.1,DeepStack 
f,,,,Qh2d2c9d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,7hKd3d6d,-100|100,sethi.muskan.1,DeepStack 
k,k,k,k,Js2c7dTsAdKh8h3hAh,100|-100,DeepStack,sethi.muskan.1 
cr300f,,,,As6s3hJs,100|-100,sethi.muskan.1,DeepStack 
r200c,cr600f,,,7cQdKhAs2d9hTc,-200|200,DeepStack,sethi.muskan.1 
r300c,k,cr600c,k,4s6s4hQhQc5sKc3h6c,-600|600,sethi.muskan.1,DeepStack 
r250f,,,,Qc5d2cKs,-100|100,DeepStack,sethi.muskan.1 
cr250c,r750c,k,k,KdTh6sTs6hJsQh5d3s,-750|750,sethi.muskan.1,DeepStack 
r300c,cr750c,k,k,JdAc5dAdQd2d2sTc8c,750|-750,DeepStack,sethi.muskan.1 
r200r500r1500c,cr3000f,,,4sAhAs7sQc7h5d,-1500|1500,sethi.muskan.1,DeepStack 
f,,,,2c2s2dKh,50|-50,DeepStack,sethi.muskan.1 
r200c,r500c,cr1500f,,Qh2hTc7h8sJd8hKs,-500|500,sethi.muskan.1,DeepStack 
f,,,,5d6sJs2h,50|-50,DeepStack,sethi.muskan.1 
f,,,,QcKs9s3c,50|-50,sethi.muskan.1,DeepStack 
f,,,,7sAd3sQd,50|-50,DeepStack,sethi.muskan.1 
f,,,,5h4h9h2s,50|-50,sethi.muskan.1,DeepStack 
f,,,,5d2h2sQd,50|-50,DeepStack,sethi.muskan.1 
f,,,,8c9c7h2d,50|-50,sethi.muskan.1,DeepStack 
f,,,,6d7dKc8s,50|-50,DeepStack,sethi.muskan.1 
k,k,k,k,3hJcTh4s9h9cQc9d5c,100|-100,sethi.muskan.1,DeepStack 
f,,,,3s7s2d6h,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,6h9s5h8h,-100|100,sethi.muskan.1,DeepStack 
f,,,,6dAc7h8d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5d4c7s9s,-100|100,sethi.muskan.1,DeepStack 
f,,,,7s9h6d4c,50|-50,DeepStack,sethi.muskan.1 
cr250f,,,,8sAd9h3s,100|-100,sethi.muskan.1,DeepStack 
r300f,,,,Kd4h2dAh,-100|100,DeepStack,sethi.muskan.1 
r200r600f,,,,6c2c5s4c,200|-200,sethi.muskan.1,DeepStack 
f,,,,6s8c6d7s,50|-50,DeepStack,sethi.muskan.1 
r300c,r900f,,,9h8c7d3d2cTc6c,300|-300,sethi.muskan.1,DeepStack 
f,,,,4c4sJd6h,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r2250c,r6750c,r20000c,Jh9hKhAsTd3h5cAh4h,20000|-20000,sethi.muskan.1,DeepStack 
r200c,cr500f,,,3sJd4s4cQh8cKc,-200|200,DeepStack,sethi.muskan.1 
k,r250c,cr500c,r1500c,3c5d8s5cKc7cKd8cTd,-1500|1500,sethi.muskan.1,DeepStack 
f,,,,5c3dJs7h,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,k,JcKsKd6sQd6h9s8s8c,-300|300,sethi.muskan.1,DeepStack 
f,,,,QcJhJs7h,50|-50,DeepStack,sethi.muskan.1 
r200r20000f,,,,Ah4dJc6d,200|-200,sethi.muskan.1,DeepStack 
r20000f,,,,8s3h4d4s,-100|100,DeepStack,sethi.muskan.1 
r300r20000f,,,,As4c8dKh,300|-300,sethi.muskan.1,DeepStack 
r200c,r400c,r800f,,7c3c5s4hKc8h2cJh,400|-400,DeepStack,sethi.muskan.1 
cr20000f,,,,7s7cTs3h,100|-100,sethi.muskan.1,DeepStack 
r20000f,,,,Kh9c6sAh,-100|100,DeepStack,sethi.muskan.1 
k,k,r500c,r20000f,Qh6h8s9d9h7s2dKhTh,500|-500,sethi.muskan.1,DeepStack 
r20000f,,,,6hJdAd4h,-100|100,DeepStack,sethi.muskan.1 
f,,,,KsTs3h9d,50|-50,sethi.muskan.1,DeepStack 
r20000f,,,,Kh2c4h5h,-100|100,DeepStack,sethi.muskan.1 
k,r300c,r900c,k,9h3cJc6s7c3sJhQcKh,-900|900,sethi.muskan.1,DeepStack 
r500f,,,,8d4c7d8h,-100|100,DeepStack,sethi.muskan.1 
cr200c,r600c,r20000f,,9h9d2hKsAd4h5cAs,600|-600,sethi.muskan.1,DeepStack 
f,,,,3h4s5c6d,50|-50,DeepStack,sethi.muskan.1 
cr300f,,,,Qc8cQd2s,100|-100,sethi.muskan.1,DeepStack 
r200c,r400f,,,9s4s6hJs3sQd3h,200|-200,DeepStack,sethi.muskan.1 
cr300c,r900f,,,KcJhJd7d4s8s4h,300|-300,sethi.muskan.1,DeepStack 
f,,,,2d3sTd3c,50|-50,DeepStack,sethi.muskan.1 
k,k,k,k,Jd5c2cKh4s3c8s6cQs,-100|100,sethi.muskan.1,DeepStack 
f,,,,8h3c4dQh,50|-50,DeepStack,sethi.muskan.1 
k,r300r900f,,,9cQcKs2cJc6hJs,-300|300,sethi.muskan.1,DeepStack 
k,k,cr250c,k,2hAs8s4s7cKc5hKh2c,250|-250,DeepStack,sethi.muskan.1 
cr20000f,,,,3h3s4h9s,100|-100,sethi.muskan.1,DeepStack 
f,,,,Ks6s2h6h,50|-50,DeepStack,sethi.muskan.1 
r300c,r900f,,,KdAh6s7h5hQs2h,300|-300,sethi.muskan.1,DeepStack 
f,,,,QsTs4c6h,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,7dQh6sAc,-100|100,sethi.muskan.1,DeepStack 
f,,,,3h5h5s4d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,9s7c6s5h,-100|100,sethi.muskan.1,DeepStack 
k,cr300c,cr900f,,4c7sQs5sKsJs4h3h,-300|300,DeepStack,sethi.muskan.1 
k,cr300f,,,9h3s4c8sTcJd4d,-100|100,sethi.muskan.1,DeepStack 
f,,,,KhJdTc2h,50|-50,DeepStack,sethi.muskan.1 
r300r1500f,,,,AhJh8h5s,300|-300,sethi.muskan.1,DeepStack 
r200c,cr500f,,,Qs9cKhAs3d2hAd,-200|200,DeepStack,sethi.muskan.1 
k,k,k,cr300f,5s3s8c4d4hQcAcTd4s,-100|100,sethi.muskan.1,DeepStack 
f,,,,4hAh2d5h,50|-50,DeepStack,sethi.muskan.1 
r300r900c,r4500f,,,8s8dKc9c3c4sJs,900|-900,sethi.muskan.1,DeepStack 
f,,,,Qd7c7d5s,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,8h3s8cKd,-100|100,sethi.muskan.1,DeepStack 
f,,,,Jh5d3h2d,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Jh2sQc4s,-100|100,sethi.muskan.1,DeepStack 
r500f,,,,6sJc9sAc,-100|100,DeepStack,sethi.muskan.1 
k,k,r200f,,3c7c3hTcAs8d8c9d,100|-100,sethi.muskan.1,DeepStack 
f,,,,AcQh8h6c,50|-50,DeepStack,sethi.muskan.1 
k,k,k,k,9h6d3h6sAh7sJc3s5c,-100|100,sethi.muskan.1,DeepStack 
f,,,,2cJsKh3c,50|-50,DeepStack,sethi.muskan.1 
r300c,r750c,k,r3750f,6d7d4s4h3h7cQcTh7s,750|-750,sethi.muskan.1,DeepStack 
f,,,,2d7c5d8c,50|-50,DeepStack,sethi.muskan.1 
cr300r900c,cr1800f,,,KcJh9sKd5d5h2c,-900|900,sethi.muskan.1,DeepStack 
f,,,,Js8hQh2s,50|-50,DeepStack,sethi.muskan.1 
f,,,,Tc5h9c3c,50|-50,DeepStack,sethi.muskan.4 
r300f,,,,4s5d6c3c,-100|100,sethi.muskan.1,DeepStack 
r250f,,,,4c8hJsTc,-100|100,DeepStack,sethi.muskan.1 
r300c,k,k,r750c,6sAcKc8c8h7sQd5hQc,-750|750,sethi.muskan.1,DeepStack 
r250c,cr625f,,,Ad2hJdKd3hTd9h,-250|250,DeepStack,sethi.muskan.1 
k,r300c,r900f,,Kc8dQs2d5cKd9h5s,300|-300,sethi.muskan.1,DeepStack 
r500c,cr1500f,,,Tc9h8hAcAs8dKs,-500|500,DeepStack,sethi.muskan.1 
r200c,r600f,,,5dKs6d9hKhAsJh,200|-200,sethi.muskan.1,DeepStack 
r250c,k,r500f,,Qc4h5s7h4c2c9cAd,250|-250,DeepStack,sethi.muskan.1 
r200r600f,,,,2sKs4s6h,200|-200,sethi.muskan.1,DeepStack 
f,,,,ThAs2s9c,50|-50,DeepStack,sethi.muskan.1 
r200r300c,r400f,,,AdAs9c2c7s7d5h,300|-300,sethi.muskan.1,DeepStack 
r200f,,,,3d8sAs8d,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,3h7d7hQd,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600c,k,k,2cAd9cJcQh2dKd7dKc,600|-600,DeepStack,sethi.muskan.1 
r300r750c,r2250f,,,QsJd8dJs4h3d7s,750|-750,sethi.muskan.1,DeepStack 
r200c,cr1000f,,,4hKcJsAd9d7s3d,-200|200,DeepStack,sethi.muskan.1 
r200c,k,k,cr400c,6h5dKcQhAdKsTd2d3h,-400|400,sethi.muskan.1,DeepStack 
r200c,cr500f,,,6dTs8cQd5h5cJs,-200|200,DeepStack,sethi.muskan.1 
r300r900c,r2700f,,,Kd8cAh8s5dKh4s,900|-900,sethi.muskan.1,DeepStack 
r200r600f,,,,5c7c6s9c,200|-200,DeepStack,sethi.muskan.1 
r200f,,,,9d3sTc9c,-100|100,sethi.muskan.1,DeepStack 
k,cr200f,,,3h9hKhKsKc5c7c,-100|100,DeepStack,sethi.muskan.1 
r300r600c,r1800c,r5400r10800c,r20000c,7sAsTd6h6d9s4s6c8s,20000|-20000,sethi.muskan.1,DeepStack 
r200c,cr1000f,,,8dAh7d6d9d4hTd,-200|200,DeepStack,sethi.muskan.1 
cr300c,r900f,,,8hAc8c6sKsAd4h,300|-300,sethi.muskan.1,DeepStack 
r200r600c,k,k,r1200f,AcJd2c5cTsKc3h5dQh,600|-600,DeepStack,sethi.muskan.1 
r300r500c,r1500f,,,AsTs6d9h8s3d4d,500|-500,sethi.muskan.1,DeepStack 
f,,,,9d7s3dJh,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900c,r2700c,r8100c,Jc9cAs2c6cAhKc7h2s,-8100|8100,sethi.muskan.1,DeepStack 
r200c,r400f,,,5hKhQdTs4h5cAh,200|-200,DeepStack,sethi.muskan.1 
cr300c,k,k,k,8sQc3s4c9h3d5hJc7d,-300|300,sethi.muskan.1,DeepStack 
f,,,,9hAc5h7s,50|-50,DeepStack,sethi.muskan.1 
r300c,k,r900c,cr2700f,9s2s8cAc5h6d7h9dJh,-900|900,sethi.muskan.1,DeepStack 
f,,,,Ad8c7d4c,50|-50,DeepStack,sethi.muskan.1 
r200f,,,,7c4dAh2s,-100|100,sethi.muskan.1,DeepStack 
f,,,,3sTs3hKc,50|-50,DeepStack,sethi.muskan.1 
r200r600c,cr1200f,,,7hKc7dKh9cJd4h,-600|600,sethi.muskan.1,DeepStack 
r300c,k,k,cr1500f,6s5hJdQcQhJcQd9d3s,-300|300,DeepStack,sethi.muskan.1 
f,,,,Kd7h8d2c,50|-50,sethi.muskan.1,DeepStack 
f,,,,Kd6s5dTs,50|-50,DeepStack,sethi.muskan.1 
r200c,r600f,,,ThQc6c8h9hJcQh,200|-200,sethi.muskan.1,DeepStack 
f,,,,Ah2c6cTs,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Js4d7cAd,-100|100,sethi.muskan.1,DeepStack 
r200c,k,r400r1200f,,Qh8sTdKhTsKc7hJs,-400|400,DeepStack,sethi.muskan.1 
k,cr300f,,,3cJh9h4d9dKs2d,-100|100,sethi.muskan.1,DeepStack 
f,,,,4dAd8s6c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Tc8dKsKh,-100|100,sethi.muskan.1,DeepStack 
f,,,,3h8dJd7h,50|-50,DeepStack,sethi.muskan.1 
cr200c,k,k,k,7h4h3d5d9s9cAc8c3c,-200|200,sethi.muskan.1,DeepStack 
r300r900c,cr2700f,,,JcJs3hKs8dQsKd,-900|900,DeepStack,sethi.muskan.1 
r200f,,,,5dTdKhTh,-100|100,sethi.muskan.1,DeepStack 
r200r600c,r1200f,,,7h7c4sAhKh2c9s,600|-600,DeepStack,sethi.muskan.1 
r300r1500f,,,,QsKd3cJc,300|-300,sethi.muskan.1,DeepStack 
f,,,,KhTs7h2c,50|-50,DeepStack,sethi.muskan.1 
r300r1500f,,,,JhThAh7d,300|-300,sethi.muskan.1,DeepStack 
cr300r900c,cr2700f,,,TcAhKsKc9hJd9c,-900|900,DeepStack,sethi.muskan.1 
r200r300c,r900c,k,cr2700f,4h7h3cTc5h2d4cAdTh,-900|900,sethi.muskan.1,DeepStack 
r200r600c,k,r1200c,r3600c,QcQsJd9s8h7d7h9d2c,3600|-3600,DeepStack,sethi.muskan.1 
r300f,,,,8d7hQc8c,-100|100,sethi.muskan.1,DeepStack 
k,cr300f,,,Qs6dQcQd8s7c4h,-100|100,DeepStack,sethi.muskan.1 
r200f,,,,2cQhTh6c,-100|100,sethi.muskan.1,DeepStack 
f,,,,7c3hQh5c,50|-50,DeepStack,sethi.muskan.1 
r300c,k,r900f,,3hAc7hTd3sQd5s2s,300|-300,sethi.muskan.1,DeepStack 
f,,,,7s2d7d2h,50|-50,DeepStack,sethi.muskan.1 
cr300c,r900f,,,JhKdAc4hKhJcQd,300|-300,sethi.muskan.1,DeepStack 
f,,,,8dKd2d7c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,7h3sJsAc,-100|100,sethi.muskan.1,DeepStack 
r200r600c,r1200r1800f,,,Qh8h5s8s4h7s9s,-1200|1200,DeepStack,sethi.muskan.1 
cr300r900c,k,r2700c,k,8h9h5hAdKh6sAcTs8s,-2700|2700,sethi.muskan.1,DeepStack 
r200c,cr600c,cr1800c,cr20000f,Qh5hTcJdJh3hTd6sAc,-1800|1800,DeepStack,sethi.muskan.1 
k,r300f,,,Ts6d5hJdTd7s2s,100|-100,sethi.muskan.1,DeepStack 
f,,,,5dTh2h8d,50|-50,DeepStack,sethi.muskan.1 
k,k,r300f,,Ts7d5sKhTh3h7c9s,100|-100,sethi.muskan.1,DeepStack 
f,,,,5sKd3h4s,50|-50,DeepStack,sethi.muskan.1 
f,,,,ThTd3s2c,50|-50,sethi.muskan.1,DeepStack 
f,,,,4d5hJc4s,50|-50,DeepStack,sethi.muskan.1 
r200r600f,,,,QcKhKc4d,200|-200,sethi.muskan.1,DeepStack 
r200c,cr600c,cr3000f,,4hJcKhAhJs9c3cAd,-600|600,DeepStack,sethi.muskan.1 
r300r900r20000c,,,,TsTdKhKs9d4hQd9c6d,-20000|20000,sethi.muskan.1,DeepStack 
r20000f,,,,2h4c5h5d,-100|100,DeepStack,sethi.muskan.1 
r200r20000f,,,,5s5d2c6c,200|-200,sethi.muskan.1,DeepStack 
f,,,,Ts7hQc5h,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,5sJcQsAh,-100|100,sethi.muskan.1,DeepStack 
f,,,,Th2d4d7c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,9d5sAcKc,-100|100,sethi.muskan.1,DeepStack 
r200c,cr600c,k,cr3000f,4dKd7h4h7d2c9d5c3c,-600|600,DeepStack,sethi.muskan.1 
r200r600c,r1800c,k,k,AhTcTd3dJd7h3h2s4c,-1800|1800,sethi.muskan.1,DeepStack 
f,,,,JdKd3c4s,50|-50,DeepStack,sethi.muskan.1 
r300c,r900c,cr1800c,k,TdJs9sQsTs4cQdKcKs,-1800|1800,sethi.muskan.1,DeepStack 
r200f,,,,9c2sAsKs,-100|100,DeepStack,sethi.muskan.1 
r300f,,,,Tc7h9dJc,-100|100,sethi.muskan.1,DeepStack 
k,k,k,k,7hJh3h2hKc8c2c5s4s,-100|100,DeepStack,sethi.muskan.1 
r300r20000f,,,,KcQhJc7c,300|-300,sethi.muskan.1,DeepStack 
f,,,,Qd6h2d5h,50|-50,DeepStack,sethi.muskan.1 
r200c,r600f,,,3h8h7d8d2c3c6h,200|-200,sethi.muskan.1,DeepStack 
f,,,,4s8c5d7c,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,Ts5dJd4c,-100|100,sethi.muskan.1,DeepStack 
f,,,,5d9h7s3h,50|-50,DeepStack,sethi.muskan.1 
r300r1500f,,,,Kc8hAh5d,300|-300,sethi.muskan.1,DeepStack 
f,,,,4dTc6d2h,50|-50,DeepStack,sethi.muskan.1 
r300r20000f,,,,QcKhAc5s,300|-300,sethi.muskan.1,DeepStack 
r20000f,,,,4c9cQs4d,-100|100,DeepStack,sethi.muskan.1 
r300r20000f,,,,Tc9dAh4h,300|-300,sethi.muskan.1,DeepStack 
r20000f,,,,6h4s5c4c,-100|100,DeepStack,sethi.muskan.1 
r300r20000f,,,,8hJd2c5c,300|-300,sethi.muskan.1,DeepStack 
f,,,,7h5c3cJc,50|-50,DeepStack,sethi.muskan.1 
r300f,,,,8s9c9sAs,-100|100,sethi.muskan.1,DeepStack 
f,,,,AdJs9h7d,50|-50,DeepStack,sethi.muskan.1 
cr20000f,,,,Jh8c3cQd,100|-100,sethi.muskan.1,DeepStack 
f,,,,7d6cJd3c,50|-50,DeepStack,sethi.muskan.1 
r300c,k,k,cr1500f,9sQc2h7h8sAd4c8c5c,-300|300,sethi.muskan.1,DeepStack 
r20000f,,,,4c4h8dJd,-100|100,DeepStack,sethi.muskan.1 
