PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
f,,,,JdJh7s3c,50|-50,parlavecchio.antonio.3,DeepStack 
r300c,cr900r1800f,,,4sAd6cKsAh4c2h,900|-900,DeepStack,parlavecchio.antonio.3 
r300c,cr900f,,,4h6hJhAs7d4dJc,-300|300,DeepStack,parlavecchio.antonio.4 
cr300c,r900f,,,Jc6sTs8c9c2cKd,300|-300,parlavecchio.antonio.3,DeepStack 
r200c,cr400f,,,5c6s5s4cJsKhQc,-200|200,parlavecchio.antonio.4,DeepStack 
r300c,cr900f,,,4s4h6dKhAh5cQc,-300|300,DeepStack,parlavecchio.antonio.3 
r250c,cr625f,,,Qs8cTc8s2cTh6s,-250|250,DeepStack,parlavecchio.antonio.4 
r200r1000f,,,,6cQd4c5d,200|-200,parlavecchio.antonio.3,DeepStack 
r300r900f,,,,JhJs9s6d,300|-300,parlavecchio.antonio.4,DeepStack 
f,,,,3dKs2hKc,50|-50,DeepStack,parlavecchio.antonio.4 
k,cr300f,,,5d3sAdTs2d7h9c,-100|100,DeepStack,parlavecchio.antonio.3 
r200c,k,r500f,,Kh8s9c7h5cKdAs3d,200|-200,parlavecchio.antonio.4,DeepStack 
k,r200c,cr400f,,7d2h6dQsJhJcQh9d,-200|200,parlavecchio.antonio.3,DeepStack 
r200c,k,r600f,,9dQc9c6sTsKh5d6h,200|-200,DeepStack,parlavecchio.antonio.4 
r300f,,,,6cTdJdQd,-100|100,parlavecchio.antonio.4,DeepStack 
r300f,,,,3d9h7sAh,-100|100,DeepStack,parlavecchio.antonio.4 
r300f,,,,Kc2h3c7s,-100|100,DeepStack,parlavecchio.antonio.3 
k,k,k,k,8c9sJdKs5h2dAcTc3h,-100|100,parlavecchio.antonio.4,DeepStack 
cr300f,,,,2sThTc2h,100|-100,parlavecchio.antonio.3,DeepStack 
r300c,cr750r1500c,r3000c,r9000f,4dTd6hQsQd5d3d2cKh,3000|-3000,DeepStack,parlavecchio.antonio.3 
r300f,,,,7dJcJh9c,-100|100,DeepStack,parlavecchio.antonio.4 
r300c,k,k,k,Jc9s2dKc8s3s8hQh7d,-300|300,parlavecchio.antonio.4,DeepStack 
cr300c,r900c,r2700f,,2s4c7sAs4h8s2d9c,900|-900,parlavecchio.antonio.3,DeepStack 
r200r600f,,,,7d7c3s6s,200|-200,DeepStack,parlavecchio.antonio.4 
r300c,k,k,k,9c5c8d9hKs8s3cAs4d,-300|300,parlavecchio.antonio.4,DeepStack 
f,,,,7s5cTd6h,50|-50,DeepStack,parlavecchio.antonio.4 
r300c,k,r750r1500c,cr7500c,5s4h7hKdQs4c8c5d2s,7500|-7500,parlavecchio.antonio.4,DeepStack 
f,,,,5d9s9d5c,50|-50,DeepStack,parlavecchio.antonio.4 
f,,,,2c7s8c3s,50|-50,parlavecchio.antonio.4,DeepStack 
r300f,,,,5c8hTh8d,-100|100,DeepStack,parlavecchio.antonio.4 
r300c,k,r900c,k,Ts9d7c6s3c8s8hTd7s,900|-900,parlavecchio.antonio.4,DeepStack 
r300c,k,cr750f,,4sQs9sQd2h3h2dKc,-300|300,DeepStack,parlavecchio.antonio.4 
f,,,,8d6d4d2h,50|-50,parlavecchio.antonio.4,DeepStack 
r300c,k,r600f,,Ks3sJhQc7s4hKd6s,300|-300,DeepStack,parlavecchio.antonio.4 
r300f,,,,Jc3h5h8h,-100|100,parlavecchio.antonio.4,DeepStack 
f,,,,2h7h5h9d,50|-50,DeepStack,parlavecchio.antonio.4 
cr300f,,,,Ac7c2hTc,100|-100,parlavecchio.antonio.4,DeepStack 
f,,,,7c2h2c4d,50|-50,DeepStack,parlavecchio.antonio.4 
r300f,,,,6d3c6s3d,-100|100,DeepStack,parlavecchio.antonio.3 
f,,,,7cJd8d2s,50|-50,parlavecchio.antonio.4,DeepStack 
r200r1000c,r3000r9000f,,,TdQcQh9h2dKc7c,-3000|3000,parlavecchio.antonio.3,DeepStack 
r300c,k,k,r900f,6cQcTdKc7h8h8sJc2s,300|-300,DeepStack,parlavecchio.antonio.4 
r300c,cr600f,,,Qs8d3cJc6dAd6c,-300|300,parlavecchio.antonio.4,DeepStack 
r300c,cr750f,,,7dJhJdKc5sAsKd,-300|300,DeepStack,parlavecchio.antonio.4 
r300c,cr900f,,,Qc7d8s5s8c2s6d,-300|300,DeepStack,parlavecchio.antonio.3 
r300f,,,,Qd2h4cAh,-100|100,parlavecchio.antonio.4,DeepStack 
r250c,cr625f,,,Kh5d7hQh9d6c8c,-250|250,DeepStack,parlavecchio.antonio.4 
k,cr200f,,,9d5dThAc7c2d4c,-100|100,parlavecchio.antonio.4,DeepStack 
r300c,cr600c,cr1800c,k,2h2d2cAhJc4sKs8h6s,1800|-1800,parlavecchio.antonio.3,DeepStack 
f,,,,4s4d3sTd,50|-50,DeepStack,parlavecchio.antonio.4 
r300c,cr600f,,,7d8h9cAc3d4cAh,-300|300,parlavecchio.antonio.4,DeepStack 
f,,,,Qh2h2sTc,50|-50,DeepStack,parlavecchio.antonio.4 
r300f,,,,5c2d5h8s,-100|100,DeepStack,parlavecchio.antonio.3 
k,k,k,k,5h6cQd2h9hJh7dAh7c,-100|100,parlavecchio.antonio.4,DeepStack 
cr300c,r900f,,,5h7hAhTc2d9h8c,300|-300,parlavecchio.antonio.3,DeepStack 
r200c,cr500c,cr1250f,,Kc8dTh6d3h8hQh9d,-500|500,DeepStack,parlavecchio.antonio.4 
