PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
cr300c,r900c,r2100f,,8dAhKc7c6s8h9c2h,900|-900,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,r5400r10800r20000c,,JsTs3d3c3hQc4cKs7s,-20000|20000,DeepStack,lesnoy.dmitry.1 
r300f,,,,2hJc2sAd,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,AcAd8h2c,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,cr1500c,Js5sJhAs8h7s5cAd8c,-1500|1500,lesnoy.dmitry.1,DeepStack 
f,,,,5s3dQc3s,50|-50,DeepStack,lesnoy.dmitry.1 
k,r200c,r300c,cr900f,9cQhJcQdTd5d5h3h7d,-300|300,lesnoy.dmitry.1,DeepStack 
r250c,k,cr625f,,4hKd3d7d2dJc9h2s,-250|250,DeepStack,lesnoy.dmitry.1 
k,cr200r300c,k,cr900f,Qd7c6dJh5h5sKh4s9h,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,Ad4hTh5d,50|-50,DeepStack,lesnoy.dmitry.1 
cr300f,,,,9sKd4h7s,100|-100,lesnoy.dmitry.1,DeepStack 
f,,,,AsQd3d2h,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,cr600c,cr1200c,cr6000c,Td9s6sAhTcJsKdQh5c,-6000|6000,lesnoy.dmitry.1,DeepStack 
r300c,cr750f,,,Ad7sAcTh6d3h9h,-300|300,DeepStack,lesnoy.dmitry.1 
r200r600f,,,,8cAsQc5s,200|-200,lesnoy.dmitry.1,DeepStack 
r300c,r900c,r1800f,,7c3cJdKh5c5h8c6s,900|-900,DeepStack,lesnoy.dmitry.1 
r200c,k,cr600r1500f,,2s3h8h7c2dKd2hJs,600|-600,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200c,cr2400f,,6sAs6d4s4dQsKhKd,-1200|1200,DeepStack,lesnoy.dmitry.1 
cr250c,r500c,k,r1000c,QcQd9sKh8hQhKd3h7c,1000|-1000,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,cr3600f,,QsKcJdQc2s6sJc6d,-1800|1800,DeepStack,lesnoy.dmitry.1 
r300c,r900r1800c,cr3600c,k,Qd6sJh9c8d6dQhAh3c,3600|-3600,lesnoy.dmitry.1,DeepStack 
r300c,k,r600c,r1800f,5d6cTsAc5hQh6dKh2s,600|-600,DeepStack,lesnoy.dmitry.1 
r300f,,,,Jc6s9dTs,-100|100,lesnoy.dmitry.1,DeepStack 
r200r600c,k,k,cr1500c,7s6s9c2c7dQc4dTs3s,1500|-1500,DeepStack,lesnoy.dmitry.1 
r200c,k,r400f,,Qc2s4h7cQdKhJhJs,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,5s7hTh6h,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500r1000c,cr20000f,3sAh9h7c6sAd5cJcTs,-1000|1000,lesnoy.dmitry.1,DeepStack 
cr300c,k,k,k,Jd9h8s9c2dKsAhJs7s,300|-300,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,6h7dTcJsKc4h5c,200|-200,lesnoy.dmitry.1,DeepStack 
cr300c,k,cr900f,,9cAsJd6dTd8d8sQd,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,cr400f,,,4d5c7dKc7cQcQs,-200|200,lesnoy.dmitry.1,DeepStack 
k,r300f,,,6sQd7hQsTd3c2d,100|-100,DeepStack,lesnoy.dmitry.1 
f,,,,Qc4d2c7s,50|-50,lesnoy.dmitry.1,DeepStack 
r300r900f,,,,AsJd7sQd,300|-300,DeepStack,lesnoy.dmitry.1 
k,r250r500f,,,Ks5hJsKh8cAcAh,-250|250,lesnoy.dmitry.1,DeepStack 
r300f,,,,2c4dAc9h,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r600c,k,3sQh8s5sKcKh3h8cTs,-600|600,lesnoy.dmitry.1,DeepStack 
f,,,,Qs8cTc3h,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900c,k,r1800c,k,7c7s5h5d2dTdAs6dQd,-1800|1800,lesnoy.dmitry.1,DeepStack 
r300c,k,r600c,r1800r3600f,Ah2c8h7d8s8cQs2d2h,-1800|1800,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,r1200c,cr3600f,Js2s3sKh3h4c3c5hKc,-1200|1200,lesnoy.dmitry.1,DeepStack 
k,cr337f,,,9d3s7sQd7hJh6h,-100|100,DeepStack,lesnoy.dmitry.1 
r200r500r1500c,cr3000c,k,k,QhJhThTd9s8sTsKs2s,0|0,lesnoy.dmitry.1,DeepStack 
f,,,,5sTdQc4d,50|-50,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,Kd2d7d9c5d3c9h,-200|200,lesnoy.dmitry.1,DeepStack 
r300c,cr600r1800f,,,Qd9s7s7dKs6hTs,600|-600,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,Td6d9hKc9cQh2s,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,JdJs6h9d,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,r750c,r1875f,,3s9sKc8sJc6cTs7s,750|-750,lesnoy.dmitry.1,DeepStack 
r300c,k,cr600f,,4sAcKcQh7h7d8hKh,-300|300,DeepStack,lesnoy.dmitry.1 
k,r200c,r600f,,6dQhAh7cKs9sJc5h,200|-200,lesnoy.dmitry.1,DeepStack 
r200c,r400c,r800c,r1600c,4c2c8dJs4d4s8h2dAd,1600|-1600,DeepStack,lesnoy.dmitry.1 
k,r200f,,,7c8h3hJcTdKs6h,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,k,QsTc4h3cJs9cKc8h3d,750|-750,DeepStack,lesnoy.dmitry.1 
cr300c,r750f,,,5d5s7c8s6h6c3d,300|-300,lesnoy.dmitry.1,DeepStack 
r250f,,,,6h3s6s7h,-100|100,DeepStack,lesnoy.dmitry.1 
k,cr300f,,,Js8h2cAs3c6d5s,-100|100,lesnoy.dmitry.1,DeepStack 
k,cr200c,cr500f,,5s3d2dKsAd5c8cKc,-200|200,DeepStack,lesnoy.dmitry.1 
k,r250f,,,Kd7d3h6d9hKsJs,100|-100,lesnoy.dmitry.1,DeepStack 
f,,,,7hTc2c5s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,5d9d2d3c,50|-50,lesnoy.dmitry.1,DeepStack 
r300f,,,,4s3hTc8s,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,7s4hQs7h,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,Js4s6hKs,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,9h4d4h3s,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr400c,k,r800f,QsJd4d6cAhQcKs6sJc,400|-400,DeepStack,lesnoy.dmitry.1 
r300r500c,k,cr1500r4500f,,JhJc3d5d7sQhKc4h,1500|-1500,lesnoy.dmitry.1,DeepStack 
r200c,k,cr300c,r600c,Ac4s6c4cTs8c5s6s7s,600|-600,DeepStack,lesnoy.dmitry.1 
r300r500c,r1000c,k,r2000f,QcKcAc7s2hTd8s8cKs,1000|-1000,lesnoy.dmitry.1,DeepStack 
r200c,cr400r800c,r1600r2400c,k,Ts8hJdKsJc9c7s8d3s,2400|-2400,DeepStack,lesnoy.dmitry.1 
r200r300c,r400c,r500c,k,7d6dJdQsAh6cAs3c5d,500|-500,lesnoy.dmitry.1,DeepStack 
r200r600f,,,,7h5hKs5d,200|-200,DeepStack,lesnoy.dmitry.1 
r200c,cr600c,cr1800c,cr3600c,Ks4dAdQcKhAh3s7s2c,-3600|3600,lesnoy.dmitry.1,DeepStack 
f,,,,9c3d2d7s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,r600c,r1500f,4c5d8c8sTs9hKsAdJc,600|-600,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200c,k,cr1500r4500c,7c7h8hTc6s7s2c8sQd,4500|-4500,DeepStack,lesnoy.dmitry.1 
f,,,,2dJh2c7h,50|-50,lesnoy.dmitry.1,DeepStack 
f,,,,Td6s3c6h,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,r1500c,cr4500f,7cQc2hKc9h9d7h2cTh,-1500|1500,lesnoy.dmitry.1,DeepStack 
r200c,cr400r800r2000r4000f,,,3hJd2s2c3sJcAc,2000|-2000,DeepStack,lesnoy.dmitry.1 
k,cr300c,cr900f,,8s6cQh9sTh4d6hAh,-300|300,lesnoy.dmitry.1,DeepStack 
r250c,k,cr625f,,9sTdTc4c6dJd3s5s,-250|250,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,k,KdJh3dAcTcQcQd2h6d,-400|400,lesnoy.dmitry.1,DeepStack 
r300c,k,k,k,Tc8d2cAc3h6sQd4s3c,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,r400c,r1200c,cr2400f,6dJd2c2hKc8dKd2s5s,-1200|1200,lesnoy.dmitry.1,DeepStack 
r500f,,,,7hTdQhQd,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,5d2c2h8d,50|-50,lesnoy.dmitry.1,DeepStack 
k,cr200c,r400c,k,7sQc9d8hTsQhAd7dTh,400|-400,DeepStack,lesnoy.dmitry.1 
r300f,,,,2cJs2hAd,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr600r1200c,r2400f,,Ac9hKcKhAd6c4s6s,1200|-1200,DeepStack,lesnoy.dmitry.1 
r200r500c,r1000c,r3000c,cr6000f,QsTc5sAcAh9d2dQh5d,-3000|3000,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,Ah9h9c7hTsAs4c,300|-300,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250c,r5625f,,JhTh3c4c5h3h8d8c,2250|-2250,lesnoy.dmitry.1,DeepStack 
f,,,,5s3c4d9c,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300f,,,Th5hKs3hTc7c4h,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Ac6d6c7d3cQd4h,-200|200,DeepStack,lesnoy.dmitry.1 
r300r900c,k,r2250c,r5625c,2h2sQdAsAhQsKhTd2d,5625|-5625,lesnoy.dmitry.1,DeepStack 
r200f,,,,3h8dKd5s,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200c,cr400r1200f,,6s9d3dQhKc7sTc4d,400|-400,lesnoy.dmitry.1,DeepStack 
r200f,,,,4d9h9sTs,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900c,r2700c,r5400r20000c,,Td8dTcAdKs5d6d7dQs,20000|-20000,lesnoy.dmitry.1,DeepStack 
r200c,k,k,k,2sAs9d6hJd4c8s4h3h,200|-200,DeepStack,lesnoy.dmitry.1 
r300c,k,r900f,,3c3dAhKh7d8s6d8c,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,Td5c2dJc,50|-50,DeepStack,lesnoy.dmitry.1 
k,cr200c,cr600f,,9s8c3cKh5hKc7h2s,-200|200,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1800r3600c,k,k,8h8d6dQd7c4c5h5cJd,3600|-3600,DeepStack,lesnoy.dmitry.1 
r300c,k,r900f,,Kc2dAh8s7c5c7s2s,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,k,cr600f,,8d6hAsAhTc9cThJd,-200|200,DeepStack,lesnoy.dmitry.1 
k,k,cr200f,,4sKd3c9sTh5dQh2h,-100|100,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1500c,cr3000c,cr7500c,3s5sTs2s8sKs9s9d7c,-7500|7500,DeepStack,lesnoy.dmitry.1 
k,k,r300f,,7d8sJd4d8c6hQh7s,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,JcTs3d6cKs5s4d,-200|200,DeepStack,lesnoy.dmitry.1 
r200c,r400f,,,9h6s7dTcAd3hKd,200|-200,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,7c4dKsTsJhKd8d,-200|200,DeepStack,lesnoy.dmitry.1 
r200c,r400c,r1200c,r6000c,Qs3s2s9s3dKs8s7s2d,6000|-6000,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,Js4d9d9h7d9s2c,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,r750f,,,7d8c5s4s8h3h8d,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,Kh6h2c3h,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,QsJc7d7hKd8h2s,-300|300,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,k,r1000c,8cJh7hJsTh9sJc7c5d,1000|-1000,DeepStack,lesnoy.dmitry.1 
cr250c,cr750f,,,5h6hJdKhTsKd4d,-250|250,lesnoy.dmitry.1,DeepStack 
r200f,,,,2d6sAdKd,-100|100,DeepStack,lesnoy.dmitry.1 
r200f,,,,2d9c6c4c,-100|100,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200c,k,r2400f,JcQh5hKh3d8h4dTdQs,1200|-1200,DeepStack,lesnoy.dmitry.1 
r300f,,,,5d9h8h8d,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,5d3s5s8d8hQc6c,-200|200,DeepStack,lesnoy.dmitry.1 
r300f,,,,Td7s8d9s,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,Qh7d5dQc9sAd4d,-200|200,DeepStack,lesnoy.dmitry.1 
r300r900c,k,k,r2700c,Ad6dAcQdTc8d6c7hAs,2700|-2700,lesnoy.dmitry.1,DeepStack 
r200c,cr300c,k,k,5s6h6cJcKdKc6s8d7d,-300|300,DeepStack,lesnoy.dmitry.1 
