PreFlop,Flop,Turn,River,Cards,Chips Won/Lost,Big,Small
r300c,cr600f,,,5s7cTcKcKs4s9h,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,AcTc2h8s,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,5dKs6c5cJd8hQc,-300|300,lesnoy.dmitry.1,DeepStack 
r360r1080c,r2160f,,,8sAs4dAc7s5sJd,1080|-1080,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,4c3h4h8cKs9d7h,-100|100,lesnoy.dmitry.1,DeepStack 
k,cr300c,cr990c,cr2475r12375f,Td5cQd6s5sQc2s9h9c,2475|-2475,DeepStack,lesnoy.dmitry.1 
r300c,k,cr600r1800f,,3c9c8cKhKsAc5h7c,600|-600,lesnoy.dmitry.1,DeepStack 
k,cr250r500c,k,cr1500c,2cKdJh5d2hAc9c3cTc,1500|-1500,DeepStack,lesnoy.dmitry.1 
r200r300c,r900c,cr1800f,,2d8dTcAh7c3c7sTd,-900|900,lesnoy.dmitry.1,DeepStack 
r300f,,,,Th3c9s8d,-100|100,DeepStack,lesnoy.dmitry.1 
cr390c,k,r1179f,,9dAcTd9hKcAd9s4s,390|-390,lesnoy.dmitry.1,DeepStack 
r300r900r4500c,cr20000c,,,7d7c9s9d3sTd6c9hAs,-20000|20000,DeepStack,lesnoy.dmitry.1 
cr300r900c,cr2700c,k,k,AhQhAcQcTh8c3d6d4s,0|0,lesnoy.dmitry.1,DeepStack 
r300c,k,r600c,r1200c,8sKdAdJhKs9s7hQcAh,-1200|1200,DeepStack,lesnoy.dmitry.1 
r200r600c,r1500r3000f,,,8d8sJs9sTh6sQs,-1500|1500,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,2cQh6d3h4c6s9h,-100|100,DeepStack,lesnoy.dmitry.1 
k,cr200c,cr600c,k,6dKh9c5d6s8dTdTs8h,600|-600,lesnoy.dmitry.1,DeepStack 
r300f,,,,6d2h8dKc,-100|100,DeepStack,lesnoy.dmitry.1 
cr300f,,,,JhTh2dQh,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,5s6d5c4cQh4d9d,-200|200,DeepStack,lesnoy.dmitry.1 
r200r300c,r600c,r1800f,,TdJcKd8h5hTsTc6d,600|-600,lesnoy.dmitry.1,DeepStack 
r200c,r600f,,,Ks4hKd2s4c6c9d,200|-200,DeepStack,lesnoy.dmitry.1 
r300f,,,,4c8sKdJs,-100|100,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800f,,,TcQcKc9c3sAc3h,900|-900,DeepStack,lesnoy.dmitry.1 
k,cr200c,k,r300r900c,Kd3c4c2c4sQdQcJhJc,900|-900,lesnoy.dmitry.1,DeepStack 
r200c,k,k,r600c,Jh9cAh6d8h3hTd7d2h,600|-600,DeepStack,lesnoy.dmitry.1 
r300r900c,r2700c,k,cr8100f,3hAhAcJdJc9cKd8dJh,-2700|2700,lesnoy.dmitry.1,DeepStack 
r200f,,,,9h4dAc4s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr900c,k,k,2sQs5cQcKsAhTh9s7d,0|0,lesnoy.dmitry.1,DeepStack 
cr300c,r600c,r1800f,,6d5dQs7h2h3h4sJd,600|-600,DeepStack,lesnoy.dmitry.1 
k,r300c,r900f,,3cTh4d7h7dTs5h8s,300|-300,lesnoy.dmitry.1,DeepStack 
k,cr300c,cr750c,cr2250c,Ac8d5c3d8cJd3h2d5h,-2250|2250,DeepStack,lesnoy.dmitry.1 
r300c,cr900c,cr2700f,,TdJcKh8h7d6h6d4d,-900|900,lesnoy.dmitry.1,DeepStack 
r200c,k,cr600f,,4c5h5c6s9hQcJs2s,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,r900f,,,Qc5d8cQd2h4hJh,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,8s3h4d9c,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,8d2s7s2h,50|-50,lesnoy.dmitry.1,DeepStack 
r200c,k,r400f,,5c3c4s5s2sJh7c2c,200|-200,DeepStack,lesnoy.dmitry.1 
r300f,,,,3h9c5h5c,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,7cQh3sTc,50|-50,DeepStack,lesnoy.dmitry.1 
r300c,k,r750f,,KhJd9c5s6sAhTcTh,300|-300,lesnoy.dmitry.1,DeepStack 
r200r600c,r1200f,,,9h9dKd9s4s5s3d,600|-600,DeepStack,lesnoy.dmitry.1 
r200c,k,r600c,r1500f,4hTd5s7d7c3sTh6dQs,600|-600,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,Qs3c8s5d9c8c5c,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200r400c,cr1200c,cr2400f,Ks9d9h8sQs7cTh6c4d,-1200|1200,lesnoy.dmitry.1,DeepStack 
r300f,,,,2cJsQc6s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,k,k,7d9dAs7hKsQc2h3hQh,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,QdQh5s9d,50|-50,DeepStack,lesnoy.dmitry.1 
cr300f,,,,Ah4d9c4s,100|-100,lesnoy.dmitry.1,DeepStack 
k,cr300c,cr750c,k,Ks3s6c3h6sJdAdJs2s,750|-750,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,k,k,QhTc4hAdAh5h6s7s7d,-900|900,lesnoy.dmitry.1,DeepStack 
k,k,cr500f,,3cKc4h2sJc6s8h4d,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,cr900f,,,Kd3cKsAh2h5c9h,-300|300,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,3s8dKd7sKs4sAh,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr600c,k,r1500f,As4sQs6c6s7d8dAd3s,600|-600,lesnoy.dmitry.1,DeepStack 
r200c,k,cr600c,k,6s4d2hQs7s3c8c4sKh,600|-600,DeepStack,lesnoy.dmitry.1 
r200c,k,cr600r1500f,,7c4c5cJh9c4dQh4s,600|-600,lesnoy.dmitry.1,DeepStack 
r300r900c,cr2700f,,,JsTsAhQs6h2h5c,-900|900,DeepStack,lesnoy.dmitry.1 
r300f,,,,5c3sJc9s,-100|100,lesnoy.dmitry.1,DeepStack 
r200r600r1800c,cr4500c,k,cr13500f,QsQhTcTs7h2cKs2dTh,-4500|4500,DeepStack,lesnoy.dmitry.1 
f,,,,KdTc7h3c,50|-50,lesnoy.dmitry.1,DeepStack 
cr300c,cr750f,,,2d5d9sKd6c6sQd,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,k,QsJc2cQcKsQh5h8s5d,0|0,lesnoy.dmitry.1,DeepStack 
r200c,cr600r1200c,r2400c,k,6c7sJs9c9s6s8dQdQc,-2400|2400,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,5h9h6cQs3cJsJh,-300|300,lesnoy.dmitry.1,DeepStack 
cr300c,r600c,k,r1200f,AcKc7hTdQsTc6d4hJc,600|-600,DeepStack,lesnoy.dmitry.1 
cr300c,r900f,,,JhTcQs5dKd3c9s,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,k,r400c,k,4cQsQc9d8h5d4s8c6h,400|-400,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,Ad8sAcKcQc6sTc,-200|200,lesnoy.dmitry.1,DeepStack 
r400f,,,,8s4d7d7h,-100|100,DeepStack,lesnoy.dmitry.1 
k,r300c,r750c,cr2250c,7c3c5c2h7d2d4s2cQc,-2250|2250,lesnoy.dmitry.1,DeepStack 
r4500f,,,,3s9h2c2s,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,r1500f,2c7c4s9sKs6s5h3d6c,500|-500,lesnoy.dmitry.1,DeepStack 
r200c,cr400f,,,2cJd7d5h3d6c6h,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,8h7d3cAcKhJs4d,-300|300,lesnoy.dmitry.1,DeepStack 
r300r600c,k,cr1500c,k,JcJhThTc8cAs6d7hQd,1500|-1500,DeepStack,lesnoy.dmitry.1 
cr300c,cr900c,cr2700f,,AhJsQsTc9s2c4hKc,-900|900,lesnoy.dmitry.1,DeepStack 
r200f,,,,3h7d5hAc,-100|100,DeepStack,lesnoy.dmitry.1 
k,k,r300r600c,k,3d8d4hJd2cKh5c3sKd,600|-600,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,k,cr1250f,TdQs4h5s8h7hQh5hJc,-500|500,DeepStack,lesnoy.dmitry.1 
k,k,r250c,k,2c7hJc2s7dJs9h9dKs,-250|250,lesnoy.dmitry.1,DeepStack 
cr300c,cr900f,,,Js5s3s6c9d2h6s,-300|300,DeepStack,lesnoy.dmitry.1 
k,r250r500c,cr1500f,,4s5s5d2cJhAs3h4h,-500|500,lesnoy.dmitry.1,DeepStack 
r300f,,,,3dJsKhAh,-100|100,DeepStack,lesnoy.dmitry.1 
r200r900f,,,,3d3h5h7d,200|-200,lesnoy.dmitry.1,DeepStack 
r200c,k,k,k,Qh9c6dKd9dQs4c3h7d,200|-200,DeepStack,lesnoy.dmitry.1 
r300c,k,r600f,,QhTc6sQs3hJdAcAd,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,r1800f,JhTdJdKh7hAh3hQc6s,900|-900,DeepStack,lesnoy.dmitry.1 
r200c,r500c,r1250f,,5d5h2cKhTc4d4c3s,500|-500,lesnoy.dmitry.1,DeepStack 
cr300c,k,cr750f,,JdKh9c4c3dAs7h9h,-300|300,DeepStack,lesnoy.dmitry.1 
r200c,k,k,k,Js4dQd6h7dAdKsQhKd,-200|200,lesnoy.dmitry.1,DeepStack 
r300r900c,cr2250c,k,k,AcKcAs5s8hJc5dKd4c,2250|-2250,DeepStack,lesnoy.dmitry.1 
cr300f,,,,9cKc4h8s,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,k,8s9h4d4hJh9sAs6dKh,750|-750,DeepStack,lesnoy.dmitry.1 
k,k,k,cr300f,9d7cThQc8s3d2sQs5c,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,3cJh3d5d,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,k,r900f,5s2s6hJdAh7c9c3h4c,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr600r1200c,r3600c,r7200f,9d8cKd9sTcJd5c7dAh,3600|-3600,DeepStack,lesnoy.dmitry.1 
cr300f,,,,4hAc3sJh,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,r600f,,,8c9dAc2hJdQd7s,200|-200,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,r1500f,,Jc5c6dQhKh4dKd4s,600|-600,lesnoy.dmitry.1,DeepStack 
f,,,,4dAsTc6d,50|-50,DeepStack,lesnoy.dmitry.1 
r300f,,,,2c8dJcTc,-100|100,lesnoy.dmitry.1,DeepStack 
k,k,cr300f,,2sJh2d5cKh7d4c3d,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,9h8h7c5h,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,Kh5dQd8d,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r600c,k,ThAd6h6cJsKcJh5h2s,-600|600,lesnoy.dmitry.1,DeepStack 
r300f,,,,Js3dQsQd,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200r400f,,,3sThTc8c7s9h7d,-200|200,lesnoy.dmitry.1,DeepStack 
r300f,,,,4s5c9dAh,-100|100,DeepStack,lesnoy.dmitry.1 
cr300r900c,cr2700f,,,3sAhThAsKs6hJs,-900|900,lesnoy.dmitry.1,DeepStack 
r200c,k,cr600f,,Ks8d5s4hTd6s2s2d,-200|200,DeepStack,lesnoy.dmitry.1 
r300f,,,,2dJs4sJd,-100|100,lesnoy.dmitry.1,DeepStack 
r200c,cr600c,k,k,5sQc5c4h7c7d5hTc4d,600|-600,DeepStack,lesnoy.dmitry.1 
k,k,r300c,r750f,6cTcQd4dAs2h3c6s7d,300|-300,lesnoy.dmitry.1,DeepStack 
f,,,,KhAd2c6s,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300c,r900f,,2s6c5hQcAh6h4c2h,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,5hKcTd8cQd4d9d,-200|200,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,6c2h6h9hAhKdTc,-200|200,lesnoy.dmitry.1,DeepStack 
r300f,,,,5c3sKd7s,-100|100,DeepStack,lesnoy.dmitry.1 
k,cr300f,,,Jc4d6cTc8s3sTs,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr750c,k,r1500f,4dAcAh7d5hKs2s5c3h,750|-750,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,8s5c8h3hJhAhJd,-300|300,lesnoy.dmitry.1,DeepStack 
f,,,,4h8s6s9c,50|-50,DeepStack,lesnoy.dmitry.1 
k,k,r300f,,Qc3c2dTsAsJs3d6c,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,7cJsJdTh,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,k,9cJcAhQd6dTd9d3sTh,500|-500,lesnoy.dmitry.1,DeepStack 
f,,,,4s2hTs6c,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300c,k,cr600f,5hJdTh5s8h9d7c7h3c,-300|300,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,8cKs9sQc6c2h7c,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,k,6h8c7sTc7c9dJsAh2c,-750|750,lesnoy.dmitry.1,DeepStack 
f,,,,6s8h6c2s,50|-50,DeepStack,lesnoy.dmitry.1 
cr300f,,,,3sAhTd4s,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,cr750f,,,6c4cQc6hQh8hAc,-300|300,DeepStack,lesnoy.dmitry.1 
r200r600f,,,,QdAhAs3c,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,7sQc9sQd,-100|100,DeepStack,lesnoy.dmitry.1 
k,r250c,k,r750r2250r5625f,3d3c9sQh3sKhAsKs6c,2250|-2250,lesnoy.dmitry.1,DeepStack 
r300f,,,,2h6s8hAs,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r900f,,7c5hQs8d7dKh3d4s,300|-300,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,Ad3s9s4s8sQs9c,-200|200,DeepStack,lesnoy.dmitry.1 
k,k,r300c,r600c,Qc6cTsKh2cQhTd3s8h,600|-600,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,5sQh2dJc8hAcTc,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,r600f,,,6cQdQc5c6h5d7s,200|-200,lesnoy.dmitry.1,DeepStack 
r200f,,,,2hTd9s5s,-100|100,DeepStack,lesnoy.dmitry.1 
k,k,r300c,r900c,7hTc3cJs9dKc3sJd5s,-900|900,lesnoy.dmitry.1,DeepStack 
cr300c,k,k,k,JdKd4c6h7d2cAhKh7c,300|-300,DeepStack,lesnoy.dmitry.1 
r300c,cr600c,cr1200f,,8cTc4h5sAsAh7dKc,-600|600,lesnoy.dmitry.1,DeepStack 
f,,,,Tc7d2hQs,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250c,r6750c,r20000f,5sAc4d5d2dAhQsKsKc,6750|-6750,lesnoy.dmitry.1,DeepStack 
r300f,,,,9s3d3hAs,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,KdKc6h4s,300|-300,lesnoy.dmitry.1,DeepStack 
k,cr300r600f,,,Jh8d8c6h3hQd9c,300|-300,DeepStack,lesnoy.dmitry.1 
r300c,k,k,cr900f,7c9s7s6sJd2d8hAc3s,-300|300,lesnoy.dmitry.1,DeepStack 
r300r900c,r1800c,r3600c,r7200r10800r20000c,9h7hQhJs6c8hJd5dQs,20000|-20000,DeepStack,lesnoy.dmitry.1 
f,,,,6d6s2s3c,50|-50,lesnoy.dmitry.1,DeepStack 
r300r900c,cr2700f,,,9sKs2c8c3h5c7c,-900|900,DeepStack,lesnoy.dmitry.1 
r300f,,,,Jc3hJh6h,-100|100,lesnoy.dmitry.1,DeepStack 
r300f,,,,2d3c4cQc,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200f,,,Ts5h9h5cJsAcQc,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,6c2dJs2s,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,cr800r2400f,,2dQc7dJs6s9c4cQs,800|-800,lesnoy.dmitry.1,DeepStack 
cr300c,r600r1500f,,,TsAc7dJhKsJd8d,-600|600,DeepStack,lesnoy.dmitry.1 
r300c,r900f,,,2dTsKs2hQc7h3d,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,3d9h3s2s,-100|100,DeepStack,lesnoy.dmitry.1 
k,cr200r500c,r2500f,,Ts6hTc4d5dAhTh6s,500|-500,lesnoy.dmitry.1,DeepStack 
f,,,,3h5c9c2s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,3cQc4d2c,50|-50,lesnoy.dmitry.1,DeepStack 
r300c,k,r600r1800c,cr5400c,9dAsKd6h7d9h3s4cQs,5400|-5400,DeepStack,lesnoy.dmitry.1 
r200c,cr400r1200f,,,5h8s9cQd5d7dKh,400|-400,lesnoy.dmitry.1,DeepStack 
f,,,,Ac4s9s2c,50|-50,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,4h4s6d9s,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,k,JcTh3c6d8cAhQcTs2h,900|-900,DeepStack,lesnoy.dmitry.1 
k,r300f,,,4cQdTc3s7c4h3d,100|-100,lesnoy.dmitry.1,DeepStack 
r300f,,,,Kd2cTs3s,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,8h3c2d5c,50|-50,lesnoy.dmitry.1,DeepStack 
r300f,,,,Jd2hThAs,-100|100,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,Jc8hThKdAc8d5c,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,cr750f,,,TcQsJcJh3d7d7c,-300|300,DeepStack,lesnoy.dmitry.1 
r200r600c,r1800c,r4500f,,JsKc9h8h6c7sJd6d,1800|-1800,lesnoy.dmitry.1,DeepStack 
r300c,k,cr750f,,7s6dJc9d2c9h9sTh,-300|300,DeepStack,lesnoy.dmitry.1 
r300f,,,,Tc3h6hQs,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,2hAc2s3c,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300r600c,r1800r3600c,k,7c3cQh4hAc6h7h9c6s,3600|-3600,lesnoy.dmitry.1,DeepStack 
cr300c,r600c,r1200c,r2400c,7h4h8s5c8c2cTs6dTd,-2400|2400,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,r1875f,2hKhJcJs2sQh2dTc9h,750|-750,lesnoy.dmitry.1,DeepStack 
k,k,cr250c,k,9h8sTh5s6sAh8dAc5d,250|-250,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,k,6sKd7sAhQc3hTd2cKh,400|-400,lesnoy.dmitry.1,DeepStack 
r200c,cr500c,k,k,6h5sJh5h9h6d7hQsAc,500|-500,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,2s6d9cQsQc8d7c,-200|200,lesnoy.dmitry.1,DeepStack 
k,cr250c,k,r750f,4c2d8c9d5c2cQc3hAd,250|-250,DeepStack,lesnoy.dmitry.1 
r300c,r900c,r2700c,r8100c,5d8hQc2c7cTh9c4sQd,-8100|8100,lesnoy.dmitry.1,DeepStack 
r300c,cr600c,cr1800c,cr5400c,AhTsAd6s3c8cQdAs6d,-5400|5400,DeepStack,lesnoy.dmitry.1 
r300c,k,cr900f,,7d9h9sTs4cQh5hKs,-300|300,lesnoy.dmitry.1,DeepStack 
r300r900f,,,,AsKh3hKd,300|-300,DeepStack,lesnoy.dmitry.1 
f,,,,Ad2c3s7h,50|-50,lesnoy.dmitry.1,DeepStack 
r300f,,,,4hKs8cAs,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,cr600f,,,9sQc4h5d6dKsAs,-200|200,lesnoy.dmitry.1,DeepStack 
r300f,,,,2sKd3c3d,-100|100,DeepStack,lesnoy.dmitry.1 
f,,,,Ts3h3d8s,50|-50,lesnoy.dmitry.1,DeepStack 
r300c,k,cr900f,,Kh2hTh3hQd6d8sAc,-300|300,DeepStack,lesnoy.dmitry.1 
k,k,r250c,cr500f,3sKc9dQsTsQdAh8d9c,-250|250,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,3hKsQc5h5c7d7c,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,k,cr600c,7d4cJcAd5cJh9cQc4s,-600|600,lesnoy.dmitry.1,DeepStack 
r300c,cr750f,,,6cQc4s6sKh4hAh,-300|300,DeepStack,lesnoy.dmitry.1 
r300c,k,r900c,r2250f,2sAh3s3c2hAsTd7h8h,900|-900,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,r2700c,Ad6cJsQs6dQcTcAs3h,2700|-2700,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,cr800f,,Qd3h4h5c5d4c7c8c,-400|400,lesnoy.dmitry.1,DeepStack 
f,,,,9d5h6h3s,50|-50,DeepStack,lesnoy.dmitry.1 
f,,,,Jc4d2h9c,50|-50,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,Qd3d7h8s6sAd5h,-300|300,DeepStack,lesnoy.dmitry.1 
k,cr200f,,,8dKdKs2dQsJh2s,-100|100,lesnoy.dmitry.1,DeepStack 
r300c,k,cr900f,,3hAcQcJh6d2d8dJc,-300|300,DeepStack,lesnoy.dmitry.1 
k,k,r300c,k,6dTsQh4hQcAs2sKs6c,-300|300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,cr2700f,,8s7cQhTh2h6h7h3s,-900|900,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,k,3dAd4dJc9d8cJh3s7s,-750|750,lesnoy.dmitry.1,DeepStack 
cr300c,r600c,cr1500f,,4s5d4cQs3s3dTs9c,-600|600,DeepStack,lesnoy.dmitry.1 
k,cr200c,k,cr400c,4s7dQd6h6s3cKd8c4d,-400|400,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,k,k,7cKdAh9dKhJs9cQs8h,900|-900,DeepStack,lesnoy.dmitry.1 
cr300f,,,,5s5dTd5h,100|-100,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,4hJh8s7s2s8dKc,-300|300,DeepStack,lesnoy.dmitry.1 
r200r600c,r1500c,k,cr3000c,3cAd7hTh9c2c8c8sAc,3000|-3000,lesnoy.dmitry.1,DeepStack 
k,cr250f,,,2d9c5c4d6h7c4s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,k,r750c,r1500f,KhKc6sJs4s9s2hAd4d,750|-750,lesnoy.dmitry.1,DeepStack 
r200f,,,,Td2h7h9s,-100|100,DeepStack,lesnoy.dmitry.1 
k,k,r200c,k,Ks6dAs3h9dTc4h4cQs,-200|200,lesnoy.dmitry.1,DeepStack 
r200r600c,cr1500f,,,8dAdJh3h7c6c8c,-600|600,DeepStack,lesnoy.dmitry.1 
r200c,cr400c,k,k,6dKs4dAc3hTc4hJh6c,400|-400,lesnoy.dmitry.1,DeepStack 
r200c,cr600c,k,k,3d4dQh6d7d3h2s5s6s,600|-600,DeepStack,lesnoy.dmitry.1 
cr300c,k,r750f,,QdQs5d3sKhKs7hAh,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,k,r600c,cr1500c,Ts5sAs2sAdAh5dKhQs,-1500|1500,DeepStack,lesnoy.dmitry.1 
k,k,r250f,,3hQd8s4hKdTdQs6d,100|-100,lesnoy.dmitry.1,DeepStack 
r200c,k,r600c,r3000f,9s7dQd6hJd4hKdTh6s,600|-600,DeepStack,lesnoy.dmitry.1 
k,r250c,r625c,r3125r20000c,3cJhQc3dTcAdQhJcKh,0|0,lesnoy.dmitry.1,DeepStack 
cr300c,k,r900f,,Jc2c3cQs5c9h6sJh,300|-300,DeepStack,lesnoy.dmitry.1 
r300r900f,,,,QhQs7sJd,300|-300,lesnoy.dmitry.1,DeepStack 
cr300c,r600f,,,7c6dTd6h2dAcJd,300|-300,DeepStack,lesnoy.dmitry.1 
r300c,r750c,r2250c,r6750c,7s8sTsKsTh4d6cTd9d,6750|-6750,lesnoy.dmitry.1,DeepStack 
f,,,,AsQs6s2h,50|-50,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,k,k,KhThKd2cAs3h2dQs9d,-900|900,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,Kh8cKs3c6h3dTd,-200|200,DeepStack,lesnoy.dmitry.1 
k,r300r600c,cr1800c,k,Jh3c7h4dJd3dQd8dTs,-1800|1800,lesnoy.dmitry.1,DeepStack 
r200c,cr600f,,,7d8c4s6s9dAcKc,-200|200,DeepStack,lesnoy.dmitry.1 
r200c,cr400r1200f,,,AdTsJd7cTdQc2s,400|-400,lesnoy.dmitry.1,DeepStack 
f,,,,Ac9d2h5d,50|-50,DeepStack,lesnoy.dmitry.1 
k,r300c,r900f,,6d5cKd5sAh4c6hAd,300|-300,lesnoy.dmitry.1,DeepStack 
k,cr250f,,,8h5c8cQs6sKc2h,-100|100,DeepStack,lesnoy.dmitry.1 
r200c,k,r500c,cr1500f,8c2dAd6sJhTdAh2s5h,-500|500,lesnoy.dmitry.1,DeepStack 
r300f,,,,4sJd5d6h,-100|100,DeepStack,lesnoy.dmitry.1 
r300r900c,r2250c,r5625f,,9s9c4h5h4d6sJsJd,2250|-2250,lesnoy.dmitry.1,DeepStack 
r300r900c,k,r1800c,cr4500c,Ac9c9sAh5cAd8sTd2s,0|0,DeepStack,lesnoy.dmitry.1 
r300c,cr600f,,,Jc7c7hTh5hKhKs,-300|300,lesnoy.dmitry.1,DeepStack 
r200c,cr500f,,,Td6h7cQsAs5d3s,-200|200,DeepStack,lesnoy.dmitry.1 
r300c,k,cr600r900f,,ThKh9h6dTcTsKd3s,600|-600,lesnoy.dmitry.1,DeepStack 
r300f,,,,3s8h7d7s,-100|100,DeepStack,lesnoy.dmitry.1 
r300c,r750f,,,Js8h6dQs4s8cKd,300|-300,lesnoy.dmitry.1,DeepStack 
r300f,,,,5hTsJs2s,-100|100,DeepStack,lesnoy.dmitry.1 
cr300c,r900c,k,k,TsTh8h6sAh5d4s8d2h,900|-900,lesnoy.dmitry.1,DeepStack 
k,cr300f,,,2h5c7c9sKh8cTs,-100|100,DeepStack,lesnoy.dmitry.1 
k,r300c,r900f,,6dTd5hJcTh5d7cQh,300|-300,lesnoy.dmitry.1,DeepStack 
r300c,cr900c,r2700c,r5400f,Js2s5s6s6hKs7s5c4c,2700|-2700,DeepStack,lesnoy.dmitry.1 
r200c,r500f,,,Kc6dJh9c4c5s4h,200|-200,lesnoy.dmitry.1,DeepStack 
r300f,,,,2dQc9hTh,-100|100,DeepStack,lesnoy.dmitry.1 
r300f,,,,9h5d8d4d,-100|100,lesnoy.dmitry.1,DeepStack 
f,,,,6h8d7s4d,50|-50,DeepStack,lesnoy.dmitry.1 
k,k,r300c,r600c,5hTc5sTh6h5dQdAc3h,0|0,lesnoy.dmitry.1,DeepStack 
r300f,,,,Th2sAs8d,-100|100,DeepStack,lesnoy.dmitry.1 
k,r200c,r500f,,Kd8cJh9s4dAcAh6c,200|-200,lesnoy.dmitry.1,DeepStack 
r300c,cr900f,,,4d6d7d6h7c2c3c,-300|300,DeepStack,lesnoy.dmitry.1 
k,k,r250f,,2c4cJh3sTsTc7c7h,100|-100,lesnoy.dmitry.1,DeepStack 
r300r900r2700r20000c,,,,KcAdKdKh6c4d7hQh3c,-20000|20000,DeepStack,lesnoy.dmitry.1 
