"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"39",-3.92,3.92,393.96,-393.96,980,1020
"40",-2.2,2.2,436.1,-436.1,980,1020
"41",-1.25,1.25,0,0,1010,990
"42",-3.16,3.16,412.58,-412.58,980,1020
"43",18.56,-18.56,944.72,-944.72,980,1020
"44",3.64,-3.64,579.18,-579.18,980,1020
"45",0.0400000000000027,-0.0400000000000009,0,0,1010,990
"46",3.04,-3.04,564.48,-564.48,980,1020
"47",-5.08,5.08,365.54,-365.54,980,1020
"48",0.560000000000002,-0.560000000000002,503.72,-503.72,980,1020
"49",3.4,-3.4,573.3,-573.3,980,1020
"50",-6.12,6.12,340.06,-340.06,980,1020
"51",-7.36,7.36,309.68,-309.68,980,1020
"52",-6.76,6.76,324.38,-324.38,980,1020
"53",1.39,-1.39,0,0,1010,990
"54",-1.85,1.85,0,0,1010,990
"55",-4.01,4.01,0,0,1010,990
"56",-7.84,7.84,297.92,-297.92,980,1020
"57",-9.2,9.2,0,0,1010,990
"58",-1.73,1.73,0,0,1010,990
"59",2.16,-2.16,542.92,-542.92,980,1020
"60",-2.39,2.39,0,0,1010,990
"61",-2.2,2.2,436.1,-436.1,980,1020
"62",-9.23,9.23,0,0,1010,990
"63",-8.16,8.16,290.08,-290.08,980,1020
"64",-1.34,1.34,0,0,1010,990
"65",-3.92,3.92,0,0,1010,990
"66",9.72,-9.72,728.14,-728.14,980,1020
"67",-6.29,6.29,0,0,1010,990
"68",-2.68,2.68,424.34,-424.34,980,1020
"69",-6.5,6.5,0,0,1010,990
"70",-1.16,1.16,0,0,1010,990
"71",-4.92,4.92,369.46,-369.46,980,1020
"72",-10.2,10.2,240.1,-240.1,980,1020
"73",6.28,-6.28,643.86,-643.86,980,1020
"74",-6.64,6.64,327.32,-327.32,980,1020
"75",-3.89,3.89,0,0,1010,990
"76",-6.84,6.84,322.42,-322.42,980,1020
"77",-6.28,6.28,336.14,-336.14,980,1020
"78",4.9,-4.9,0,0,1010,990
"79",-1.24,1.24,459.62,-459.62,980,1020
"80",-6.71,6.71,0,0,1010,990
"81",-1.25,1.25,0,0,1010,990
"82",1.88,-1.88,536.06,-536.06,980,1020
"83",-7.88,7.88,296.94,-296.94,980,1020
"84",-1.16,1.16,461.58,-461.58,980,1020
"85",-1.28,1.28,458.64,-458.64,980,1020
"86",-4.96,4.96,368.48,-368.48,980,1020
"87",0.399999999999999,-0.399999999999999,499.8,-499.8,980,1020
"88",1.16,-1.16,518.42,-518.42,980,1020
"89",9.76,-9.76,729.12,-729.12,980,1020
"90",-8.52,8.52,281.26,-281.26,980,1020
"91",-5.32,5.32,359.66,-359.66,980,1020
"92",-7.64,7.64,302.82,-302.82,980,1020
"93",-1.44,1.44,454.72,-454.72,980,1020
"94",-4.24,4.24,386.12,-386.12,980,1020
"95",-6.41,6.41,0,0,1010,990
"96",-9.36,9.36,260.68,-260.68,980,1020
"97",-7.82,7.82,0,0,1010,990
"98",-6.96,6.96,319.48,-319.48,980,1020
"99",-7.32,7.32,310.66,-310.66,980,1020
"100",7.76,-7.76,680.12,-680.12,980,1020
"101",1.45,-1.45,0,0,1010,990
"102",0.359999999999999,-0.359999999999999,498.82,-498.82,980,1020
"103",-3,3,416.5,-416.5,980,1020
"104",-5.18,5.18,0,0,1010,990
"105",-8.51,8.51,0,0,1010,990
"106",-2.64,2.64,425.32,-425.32,980,1020
"107",3.56,-3.56,577.22,-577.22,980,1020
"108",-4.64,4.64,376.32,-376.32,980,1020
"109",0.550000000000001,-0.550000000000001,0,0,1010,990
"110",3.08,-3.08,565.46,-565.46,980,1020
"111",2.2,-2.2,543.9,-543.9,980,1020
"112",-4.72,4.72,374.36,-374.36,980,1020
"113",-4.48,4.48,380.24,-380.24,980,1020
"114",-3.17,3.17,0,0,1010,990
"115",-2.75,2.75,0,0,1010,990
"116",-8.92,8.92,271.46,-271.46,980,1020
"117",1.54,-1.54,0,0,1010,990
"118",-3.32,3.32,408.66,-408.66,980,1020
"119",-0.649999999999999,0.649999999999999,0,0,1010,990
"120",-6.08,6.08,341.04,-341.04,980,1020
"121",4.08,-4.08,589.96,-589.96,980,1020
"122",-3.71,3.71,0,0,1010,990
"123",-0.16,0.16,486.08,-486.08,980,1020
"124",7.24,-7.24,667.38,-667.38,980,1020
"125",0.0399999999999991,-0.0399999999999991,490.98,-490.98,980,1020
"126",-13.32,13.32,163.66,-163.66,980,1020
