"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"128",-0.399999999999999,0.399999999999999,480.2,-480.2,980,1020
"129",-9.47,9.47,0,0,1010,990
"130",-3.65,3.65,0,0,1010,990
"131",-3.92,3.92,0,0,1010,990
"132",0.879999999999999,-0.879999999999999,0,0,1010,990
"133",-9.74,9.74,0,0,1010,990
"134",-11.21,11.21,0,0,1010,990
"135",-7.37,7.37,0,0,1010,990
"136",-9.2,9.2,0,0,1010,990
"137",2.5,-2.5,0,0,1010,990
"138",0.43,-0.430000000000001,0,0,1010,990
"139",-8.36,8.36,0,0,1010,990
"140",-1.91,1.91,0,0,1010,990
"141",-6.41,6.41,0,0,1010,990
"142",-6.17,6.17,0,0,1010,990
"143",-4.16,4.16,0,0,1010,990
"144",-1.85,1.85,0,0,1010,990
"145",-6.62,6.62,0,0,1010,990
"146",-8.24,8.24,0,0,1010,990
"147",-8.9,8.9,0,0,1010,990
"148",0.580000000000002,-0.580000000000002,0,0,1010,990
"149",-5.9,5.9,0,0,1010,990
"150",2.11,-2.11,0,0,1010,990
"151",-6.23,6.23,0,0,1010,990
"152",-0.379999999999999,0.379999999999999,0,0,1010,990
"153",-3.71,3.71,0,0,1010,990
"154",-6.65,6.65,0,0,1010,990
"155",9.34,-9.34,0,0,1010,990
"156",-1.91,1.91,0,0,1010,990
"157",-1.28,1.28,0,0,1010,990
"158",-5.36,5.36,0,0,1010,990
"159",-4.25,4.25,0,0,1010,990
"160",0.699999999999999,-0.699999999999999,0,0,1010,990
"161",-6.41,6.41,0,0,1010,990
"162",2.53,-2.53,0,0,1010,990
"163",-3.86,3.86,0,0,1010,990
"164",-0.919999999999998,0.92,0,0,1010,990
"165",-0.649999999999999,0.649999999999999,0,0,1010,990
"166",-11.16,11.16,216.58,-216.58,980,1020
"167",-1.19,1.19,0,0,1010,990
"168",-0.559999999999999,0.559999999999999,0,0,1010,990
"169",-9.24,9.24,263.62,-263.62,980,1020
"170",-0.379999999999999,0.379999999999999,0,0,1010,990
"171",-6.02,6.02,0,0,1010,990
