"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"216",-4.52,4.52,0,0,1010,990
"217",-14.48,14.48,32.844,-32.844,980,1020
"218",-3.47,3.47,0,0,1010,990
"219",-9.89,9.89,0,0,1010,990
"220",-0.0499999999999972,0.0499999999999989,0,0,1010,990
"221",-1.91,1.91,0,0,1010,990
"222",-6.62,6.62,0,0,1010,990
"223",-11.87,11.87,0,0,1010,990
"224",4.18,-4.18,0,0,1010,990
"225",-3.95,3.95,0,0,1010,990
"226",3.07,-3.07,0,0,1010,990
"227",-6.83,6.83,0,0,1010,990
"228",-10.04,10.04,0,0,1010,990
"229",0.100000000000001,-0.100000000000001,0,0,1010,990
"230",-1.58,1.58,0,0,1010,990
"231",-1.61,1.61,0,0,1010,990
"232",1.57,-1.57,0,0,1010,990
"233",-8.51,8.51,0,0,1010,990
"234",-8.81,8.81,0,0,1010,990
"235",-0.710000000000001,0.709999999999999,0,0,1010,990
"236",-8.48,8.48,0,0,1010,990
"237",-2.36,2.36,0,0,1010,990
"238",-1.01,1.01,0,0,1010,990
"239",2.26,-2.26,0,0,1010,990
"240",-2.72,2.72,0,0,1010,990
"241",-10.64,10.64,0,0,1010,990
"242",-6.56,6.56,0,0,1010,990
"243",-8.57,8.57,0,0,1010,990
"244",1.87,-1.87,0,0,1010,990
"245",-7.64,7.64,-677.18,677.18,1020,980
"246",-6.89,6.89,0,0,1010,990
"247",-2.54,2.54,0,0,1010,990
"248",-8.18,8.18,0,0,1010,990
"249",-0.919999999999998,0.92,0,0,1010,990
"250",-6.35,6.35,0,0,1010,990
"251",-2.36,2.36,0,0,1010,990
"252",1.06,-1.06,0,0,1010,990
"253",-0.0799999999999983,0.0799999999999983,0,0,1010,990
"254",-0.739999999999998,0.74,0,0,1010,990
"255",-1.55,1.55,0,0,1010,990
"256",-5.57,5.57,0,0,1010,990
"257",0.550000000000001,-0.550000000000001,0,0,1010,990
"258",-3.92,3.92,-586.04,586.04,1020,980
"259",-1.16,1.16,0,0,1010,990
"260",-2.45,2.45,0,0,1010,990
"261",-7.55,7.55,0,0,1010,990
"262",-2.99,2.99,0,0,1010,990
"263",2.23,-2.23,0,0,1010,990
"264",-5.78,5.78,0,0,1010,990
"265",-0.559999999999999,0.559999999999999,0,0,1010,990
"266",2.89,-2.89,0,0,1010,990
"267",-2.68,2.68,-555.66,555.66,1020,980
"268",-4.13,4.13,0,0,1010,990
"269",0.0100000000000016,-0.0100000000000016,0,0,1010,990
"270",4.21,-4.21,0,0,1010,990
"271",-3.14,3.14,0,0,1010,990
"272",-8.63,8.63,0,0,1010,990
"273",-4.48,4.48,-599.76,599.76,1020,980
"274",-2.48,2.48,0,0,1010,990
"275",-0.890000000000001,0.890000000000001,0,0,1010,990
"276",2.8,-2.8,0,0,1010,990
"277",-6.2,6.2,-641.9,641.9,1020,980
"278",-6.92,6.92,0,0,1010,990
"279",-10.82,10.82,0,0,1010,990
"280",3.67,-3.67,0,0,1010,990
"281",-4.28,4.28,0,0,1010,990
"282",-2.15,2.15,0,0,1010,990
"283",-3.44,3.44,-574.28,574.28,1020,980
"284",-8.32,8.32,-407.68,407.68,0,2000
"285",-2.06,2.06,0,0,1010,990
"286",-1.64,1.64,0,0,1010,990
"287",-0.349999999999998,0.35,0,0,1010,990
"288",-7.4,7.4,-362.6,362.6,0,2000
"289",-2.68,2.68,-555.66,555.66,1020,980
"290",-3.26,3.26,0,0,1010,990
"291",3.43,-3.43,0,0,1010,990
"292",-9.56,9.56,-468.44,468.44,0,2000
"293",2.68,-2.68,0,0,1010,990
"294",-9.83,9.83,0,0,1010,990
"295",-9.26,9.26,0,0,1010,990
"296",2.2,-2.2,-436.1,436.1,1020,980
"297",-4.25,4.25,0,0,1010,990
"298",-3.62,3.62,0,0,1010,990
"299",-9.14,9.14,0,0,1010,990
"300",-9.89,9.89,0,0,1010,990
"301",-8.24,8.24,0,0,1010,990
"302",-7.85,7.85,0,0,1010,990
"303",8,-8,-294,294,1020,980
"304",4,-4,0,0,1010,990
"305",-2.57,2.57,0,0,1010,990
"306",-8.54,8.54,0,0,1010,990
"307",-5.66,5.66,0,0,1010,990
"308",-6.35,6.35,0,0,1010,990
"309",0.580000000000002,-0.580000000000002,0,0,1010,990
"310",-9.68,9.68,-474.32,474.32,0,2000
"311",-1.37,1.37,0,0,1010,990
"312",-5.18,5.18,0,0,1010,990
"313",-1.34,1.34,0,0,1010,990
"314",-6.64,6.64,-652.68,652.68,1020,980
"315",-7.32,7.32,12.68,-12.68,980,1020
"316",-5.9,5.9,0,0,1010,990
"317",1.66,-1.66,0,0,1010,990
"318",-8.36,8.36,0,0,1010,990
"319",-6.44,6.44,0,0,1010,990
"320",-1.52,1.52,0,0,1010,990
"321",-3.98,3.98,0,0,1010,990
"322",-4.64,4.64,0,0,1010,990
"323",-0.240000000000002,0.240000000000002,-495.88,495.88,1020,980
"324",-6.05,6.05,0,0,1010,990
"325",-6.98,6.98,0,0,1010,990
"326",-2.12,2.12,0,0,1010,990
"327",-5.27,5.27,0,0,1010,990
"328",-0.399999999999999,0.399999999999999,-499.8,499.8,1020,980
"329",-7.28,7.28,0,0,1010,990
"330",1.27,-1.27,0,0,1010,990
"331",-1.16,1.16,0,0,1010,990
"332",-3.11,3.11,0,0,1010,990
"333",-3.71,3.71,0,0,1010,990
"334",1.16,-1.16,168.56,-168.56,980,1020
"335",-5.06,5.06,0,0,1010,990
"336",-8.03,8.03,0,0,1010,990
"337",-0.949999999999999,0.949999999999999,0,0,1010,990
"338",-2.33,2.33,0,0,1010,990
"339",-8.69,8.69,0,0,1010,990
"340",-2.24,2.24,0,0,1010,990
"341",-5.24,5.24,0,0,1010,990
"342",-8.27,8.27,0,0,1010,990
"343",2.56,-2.56,0,0,1010,990
"344",3.07,-3.07,0,0,1010,990
"345",-6.8,6.8,0,0,1010,990
"346",-6.23,6.23,0,0,1010,990
"347",2.56,-2.56,0,0,1010,990
"348",-9.14,9.14,0,0,1010,990
"349",-3.26,3.26,0,0,1010,990
"350",-9.74,9.74,0,0,1010,990
"351",-7.85,7.85,0,0,1010,990
"352",-8.57,8.57,0,0,1010,990
"353",-4.01,4.01,0,0,1010,990
"354",-0.98,0.98,0,0,1010,990
"355",-9.86,9.86,0,0,1010,990
"356",-1.82,1.82,0,0,1010,990
"357",-0.140000000000001,0.139999999999999,0,0,1010,990
"358",-1.46,1.46,0,0,1010,990
"359",1.69,-1.69,0,0,1010,990
"360",0.460000000000001,-0.460000000000001,0,0,1010,990
"361",-0.620000000000001,0.619999999999999,0,0,1010,990
"362",-32.24,32.24,0,0,980,1020
"363",-9.08,9.08,0,0,1010,990
"364",-0.199999999999999,0.199999999999999,0,0,1010,990
"365",-1.46,1.46,0,0,1010,990
"366",-0.98,0.98,0,0,1010,990
"367",-3.77,3.77,0,0,1010,990
"368",-1.97,1.97,0,0,1010,990
"369",0.82,-0.819999999999999,0,0,1010,990
"370",-3.12,3.12,-536.478,536.478,1091,909
"371",-3.05,3.05,0,0,1010,990
"372",0.759999999999998,-0.759999999999998,0,0,1010,990
"373",4.08,-4.08,-390.04,390.04,1020,980
"374",-8.06,8.06,0,0,1010,990
"375",-1.76,1.76,-533.12,533.12,1020,980
"376",-8.75,8.75,0,0,1010,990
"377",-2.09,2.09,0,0,1010,990
"378",-0.829999999999998,0.83,0,0,1010,990
"379",-10.91,10.91,0,0,1010,990
"380",-8.27,8.27,0,0,1010,990
"381",-6.74,6.74,0,0,1010,990
"382",-10.25,10.25,0,0,1010,990
"383",-0.349999999999998,0.35,0,0,1010,990
"384",2.8,-2.8,0,0,1010,990
"385",1.54,-1.54,0,0,1010,990
"386",60.12,-60.12,0,0,1020,980
"387",1.36,-1.36,0,0,1010,990
"388",-2.36,2.36,0,0,1010,990
"389",-8.45,8.45,0,0,1010,990
"390",2.5,-2.5,0,0,1010,990
"391",-5.2,5.2,-617.4,617.4,1020,980
"392",-6.98,6.98,0,0,1010,990
