"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"103",-4.13,4.13,0,0,1010,990
"104",-2.21,2.21,0,0,1010,990
"105",-8.81,8.81,0,0,1010,990
"106",-5.06,5.06,0,0,1010,990
"107",-29.36,29.36,0,0,980,1020
"108",-7.94,7.94,0,0,1010,990
"109",-6.74,6.74,0,0,1010,990
"110",-5.33,5.33,0,0,1010,990
"111",-34.36,34.36,0,0,980,1020
"112",-8,8,0,0,1010,990
"113",-7.34,7.34,0,0,1010,990
"114",-6.23,6.23,0,0,1010,990
"115",-1.22,1.22,0,0,1010,990
"116",-24.56,24.56,0,0,980,1020
"117",-4.2,4.2,94.01,-94.01,980,1020
"118",1.39,-1.39,0,0,1010,990
"119",-7.84,7.84,21.584,-21.584,980,1020
"120",-4.76,4.76,0,0,1010,990
"121",-2.72,2.72,0,0,1010,990
"122",4.32,-4.32,211.68,-211.68,2000,0
"123",-0.0199999999999996,0.0199999999999996,0,0,1010,990
"124",-2.45,2.45,0,0,1010,990
"125",-8,8,0,0,1010,990
"126",-0.859999999999999,0.859999999999999,0,0,1010,990
"127",-8.39,8.39,0,0,1010,990
"128",-22.32,22.32,0,0,980,1020
"129",-0.530000000000001,0.529999999999999,0,0,1010,990
"130",-2.87,2.87,0,0,1010,990
"131",-9.41,9.41,0,0,1010,990
"132",-5.88,5.88,84.014,-84.014,980,1020
"133",-2.51,2.51,0,0,1010,990
"134",-1.55,1.55,0,0,1010,990
"135",45.2,-45.2,0,0,1020,980
"136",-3.44,3.44,0,0,1010,990
"137",-0.0499999999999972,0.0499999999999989,0,0,1010,990
"138",-7.61,7.61,0,0,1010,990
"139",-1.91,1.91,0,0,1010,990
"140",-1.25,1.25,0,0,1010,990
"141",-1.01,1.01,0,0,1010,990
"142",-5.39,5.39,0,0,1010,990
"143",-0.559999999999999,0.559999999999999,0,0,1010,990
"144",-10.28,10.28,0,0,1010,990
"145",-1.19,1.19,0,0,1010,990
"146",1.63,-1.63,0,0,1010,990
"147",0.310000000000002,-0.310000000000002,0,0,1010,990
"148",-0.890000000000001,0.890000000000001,0,0,1010,990
"149",-1.25,1.25,0,0,1010,990
"150",4.21,-4.21,0,0,1010,990
"151",-32.08,32.08,0,0,980,1020
"152",-6.68,6.68,0,0,1010,990
"153",-1.01,1.01,0,0,1010,990
"154",-8.52,8.52,-417.48,417.48,0,2000
"155",-10.88,10.88,0,0,1010,990
"156",36.76,-36.76,0,0,1020,980
"157",-21.84,21.84,0,0,980,1020
"158",-3.47,3.47,0,0,1010,990
"159",1.45,-1.45,0,0,1010,990
"160",-11.09,11.09,0,0,1010,990
"161",29.6,-29.6,0,0,1020,980
"162",-1.28,1.28,0,0,1010,990
"163",-18.44,18.44,1.56,-1.56,980,1020
"164",69.08,-69.08,0,0,1020,980
"165",-11.92,11.92,-584.08,584.08,0,2000
"166",-8.54,8.54,0,0,1010,990
"167",-1.01,1.01,0,0,1010,990
"168",-6.5,6.5,0,0,1010,990
"169",11.32,-11.32,-197,197,1040,960
"170",-6.74,6.74,0,0,1010,990
"171",-10.28,10.28,0,0,1010,990
"172",-8.66,8.66,0,0,1010,990
"173",-29.88,29.88,0,0,980,1020
"174",-1.22,1.22,0,0,1010,990
"175",-8.06,8.06,0,0,1010,990
"176",-8.78,8.78,0,0,1010,990
"177",-9.98,9.98,0,0,1010,990
"178",-0.41,0.41,0,0,1010,990
"179",-4.52,4.52,0,0,1010,990
"180",-6.53,6.53,0,0,1010,990
