"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"119",-7.58,7.58,0,0,1010,990
"120",-0.5,0.5,0,0,1010,990
"121",5.2,-5.2,0,0,1010,990
"122",-0.199999999999999,0.199999999999999,0,0,1010,990
"123",-0.169999999999998,0.169999999999998,0,0,1010,990
"124",-7.88,7.88,296.94,-296.94,980,1020
"125",-5.63,5.63,0,0,1010,990
"126",-0.890000000000001,0.890000000000001,0,0,1010,990
"127",-4.04,4.04,0,0,1010,990
"128",7.56,-7.56,370.44,-370.44,2000,0
"129",-8.2,8.2,289.1,-289.1,980,1020
"130",-8.93,8.93,0,0,1010,990
"131",-1.55,1.55,0,0,1010,990
"132",-10.88,10.88,-533.12,533.12,0,2000
"133",-10.13,10.13,0,0,1010,990
"134",-6.11,6.11,0,0,1010,990
"135",0.759999999999998,-0.759999999999998,0,0,1010,990
"136",-8.99,8.99,0,0,1010,990
"137",-9.92,9.92,0,0,1010,990
"138",3.91,-3.91,0,0,1010,990
"139",0.100000000000001,-0.100000000000001,0,0,1010,990
"140",-4.37,4.37,0,0,1010,990
"141",-10.31,10.31,0,0,1010,990
"142",-7.55,7.55,0,0,1010,990
"143",-4.61,4.61,0,0,1010,990
"144",-6.5,6.5,0,0,1010,990
"145",2.05,-2.05,0,0,1010,990
"146",-1.76,1.76,0,0,1010,990
"147",-0.349999999999998,0.35,0,0,1010,990
"148",-5.24,5.24,0,0,1010,990
"149",-8.66,8.66,0,0,1010,990
"150",-6.14,6.14,0,0,1010,990
"151",-10.73,10.73,0,0,1010,990
"152",-2.42,2.42,0,0,1010,990
"153",-9.05,9.05,0,0,1010,990
"154",4.6,-4.6,0,0,1010,990
"155",-1.73,1.73,0,0,1010,990
"156",-5.21,5.21,0,0,1010,990
"157",-3.68,3.68,0,0,1010,990
"158",-7.37,7.37,0,0,1010,990
"159",0.100000000000001,-0.100000000000001,0,0,1010,990
"160",-4.1,4.1,0,0,1010,990
"161",3.64,-3.64,0,0,1010,990
"162",-2.54,2.54,0,0,1010,990
"163",-8.81,8.81,0,0,1010,990
"164",1.42,-1.42,0,0,1010,990
"165",-2.03,2.03,0,0,1010,990
"166",-10.7,10.7,0,0,1010,990
"167",-2.24,2.24,0,0,1010,990
"168",2.77,-2.77,0,0,1010,990
"169",2.95,-2.95,0,0,1010,990
"170",4.45,-4.45,0,0,1010,990
"171",-3.98,3.98,0,0,1010,990
"172",-5.99,5.99,0,0,1010,990
"173",-6.11,6.11,0,0,1010,990
"174",-5.18,5.18,0,0,1010,990
"175",-9.41,9.41,0,0,1010,990
"176",-12.44,12.44,185.22,-185.22,980,1020
"177",1.45,-1.45,0,0,1010,990
"178",-10.85,10.85,0,0,1010,990
"179",-2.6,2.6,0,0,1010,990
"180",-3.8,3.8,0,0,1010,990
"181",-2.78,2.78,0,0,1010,990
"182",-9.17,9.17,0,0,1010,990
"183",-5.87,5.87,0,0,1010,990
"184",-11.99,11.99,0,0,1010,990
"185",-3.2,3.2,0,0,1010,990
"186",4.63,-4.63,0,0,1010,990
"187",-3.5,3.5,0,0,1010,990
"188",-4.31,4.31,0,0,1010,990
"189",-4.7,4.7,0,0,1010,990
"190",-0.23,0.229999999999999,0,0,1010,990
"191",-0.919999999999998,0.92,0,0,1010,990
"192",-10.34,10.34,0,0,1010,990
"193",-7.82,7.82,0,0,1010,990
"194",-2.87,2.87,0,0,1010,990
"195",4.27,-4.27,0,0,1010,990
"196",-12.89,12.89,0,0,1010,990
"197",-0.739999999999998,0.74,0,0,1010,990
"198",-7.97,7.97,0,0,1010,990
"199",-5.27,5.27,0,0,1010,990
"200",-8.33,8.33,0,0,1010,990
"201",-5.92,5.92,-290.08,290.08,0,2000
"202",-3.68,3.68,0,0,1010,990
"203",-4.58,4.58,0,0,1010,990
"204",-6.35,6.35,0,0,1010,990
"205",-3.65,3.65,0,0,1010,990
"206",-4.85,4.85,0,0,1010,990
"207",-3.41,3.41,0,0,1010,990
"208",-3.98,3.98,0,0,1010,990
"209",-0.739999999999998,0.74,0,0,1010,990
"210",-2.42,2.42,0,0,1010,990
"211",-1.88,1.88,0,0,1010,990
"212",-4.6,4.6,-225.4,225.4,0,2000
"213",-1.79,1.79,0,0,1010,990
"214",-9.62,9.62,0,0,1010,990
"215",-4.16,4.16,0,0,1010,990
"216",-6.05,6.05,0,0,1010,990
"217",0.580000000000002,-0.580000000000002,0,0,1010,990
"218",1.93,-1.93,0,0,1010,990
"219",-8.24,8.24,0,0,1010,990
"220",-10.13,10.13,0,0,1010,990
"221",-2.15,2.15,0,0,1010,990
"222",-2.99,2.99,0,0,1010,990
"223",-7.61,7.61,0,0,1010,990
"224",-4.73,4.73,0,0,1010,990
"225",-2.36,2.36,0,0,1010,990
"226",2.2,-2.2,0,0,1010,990
"227",-1.8,1.8,445.9,-445.9,980,1020
"228",-3.11,3.11,0,0,1010,990
"229",0.34,-0.340000000000002,0,0,1010,990
"230",-6.17,6.17,0,0,1010,990
"231",-4.85,4.85,0,0,1010,990
"232",2.47,-2.47,0,0,1010,990
"233",-11.09,11.09,0,0,1010,990
"234",-1.13,1.13,0,0,1010,990
"235",2.95,-2.95,0,0,1010,990
"236",-10.52,10.52,0,0,1010,990
"237",-4.1,4.1,0,0,1010,990
"238",2.65,-2.65,0,0,1010,990
"239",-2.57,2.57,0,0,1010,990
"240",-11.57,11.57,0,0,1010,990
"241",-11.4,11.4,210.7,-210.7,980,1020
"242",-10.4,10.4,0,0,1010,990
"243",-9.29,9.29,0,0,1010,990
"244",-2.57,2.57,0,0,1010,990
"245",-3.29,3.29,0,0,1010,990
"246",-7.04,7.04,0,0,1010,990
"247",-8.96,8.96,0,0,1010,990
"248",-9.56,9.56,0,0,1010,990
"249",-8.09,8.09,0,0,1010,990
"250",-6.71,6.71,0,0,1010,990
"251",-0.649999999999999,0.649999999999999,0,0,1010,990
"252",-5.12,5.12,0,0,1010,990
"253",-11.66,11.66,0,0,1010,990
"254",-13.6,13.6,156.8,-156.8,980,1020
"255",-1.82,1.82,0,0,1010,990
"256",2.95,-2.95,0,0,1010,990
"257",-10.28,10.28,0,0,1010,990
"258",-10.19,10.19,0,0,1010,990
"259",-0.0499999999999972,0.0499999999999989,0,0,1010,990
"260",-9.41,9.41,0,0,1010,990
"261",-2.12,2.12,0,0,1010,990
"262",6.34,-6.34,0,0,1010,990
"263",-1.96,1.96,-96.04,96.04,0,2000
"264",-9.14,9.14,0,0,1010,990
"265",-3.83,3.83,0,0,1010,990
"266",-6.83,6.83,0,0,1010,990
"267",-2,2,0,0,1010,990
"268",-10.73,10.73,0,0,1010,990
"269",3.1,-3.1,0,0,1010,990
"270",-2.96,2.96,0,0,1010,990
"271",-6.71,6.71,0,0,1010,990
"272",-1.28,1.28,-62.7199999999999,62.72,0,2000
"273",-1.97,1.97,0,0,1010,990
"274",-6.89,6.89,0,0,1010,990
"275",-9.71,9.71,0,0,1010,990
"276",-4.7,4.7,0,0,1010,990
"277",-7.22,7.22,0,0,1010,990
"278",-7.76,7.76,0,0,1010,990
"279",-4.85,4.85,0,0,1010,990
"280",-9.56,9.56,0,0,1010,990
"281",-3.35,3.35,0,0,1010,990
"282",1.36,-1.36,0,0,1010,990
"283",-10.19,10.19,0,0,1010,990
"284",-6.89,6.89,0,0,1010,990
"285",-1.37,1.37,0,0,1010,990
"286",-8.42,8.42,0,0,1010,990
"287",-0.259999999999998,0.26,0,0,1010,990
"288",-9.98,9.98,0,0,1010,990
"289",-1.7,1.7,0,0,1010,990
"290",-2.27,2.27,0,0,1010,990
"291",-5.9,5.9,0,0,1010,990
"292",-4.49,4.49,0,0,1010,990
"293",2.86,-2.86,0,0,1010,990
"294",-5.15,5.15,0,0,1010,990
"295",-6.98,6.98,0,0,1010,990
"296",-3.35,3.35,0,0,1010,990
"297",-5.69,5.69,0,0,1010,990
"298",-4.73,4.73,0,0,1010,990
"299",-6.92,6.92,0,0,1010,990
"300",-2.75,2.75,0,0,1010,990
"301",-2.33,2.33,0,0,1010,990
"302",-0.379999999999999,0.379999999999999,0,0,1010,990
"303",-4.88,4.88,0,0,1010,990
