"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"68",-1.34,1.34,0,0,1010,990
"69",-9.89,9.89,0,0,1010,990
"70",-10.96,10.96,221.48,-221.48,980,1020
"71",-10.79,10.79,0,0,1010,990
"72",-2.24,2.24,0,0,1010,990
"73",-3.71,3.71,0,0,1010,990
"74",0.0700000000000003,-0.0700000000000003,0,0,1010,990
"75",-12.83,12.83,0,0,1010,990
"76",3.37,-3.37,0,0,1010,990
"77",-8.3,8.3,0,0,1010,990
"78",-4.52,4.52,0,0,1010,990
"79",3.79,-3.79,0,0,1010,990
"80",-5.48,5.48,0,0,1010,990
"81",-2.68,2.68,424.34,-424.34,980,1020
"82",-13.8,13.8,151.9,-151.9,980,1020
"83",-6.17,6.17,0,0,1010,990
"84",1.9,-1.9,0,0,1010,990
"85",-3.83,3.83,0,0,1010,990
"86",-7.13,7.13,0,0,1010,990
"87",-7.31,7.31,0,0,1010,990
"88",-0.41,0.41,0,0,1010,990
"89",-2.28,2.28,434.14,-434.14,980,1020
"90",-8.06,8.06,0,0,1010,990
"91",-2.36,2.36,0,0,1010,990
"92",-10.82,10.82,0,0,1010,990
"93",-2.57,2.57,0,0,1010,990
"94",-0.68,0.68,0,0,1010,990
"95",-0.68,0.68,473.34,-473.34,980,1020
"96",2.44,-2.44,0,0,1010,990
"97",-3.92,3.92,0,0,1010,990
"98",-9.08,9.08,0,0,1010,990
"99",-7.34,7.34,0,0,1010,990
"100",-9.35,9.35,0,0,1010,990
"101",-6.47,6.47,0,0,1010,990
"102",-10.19,10.19,0,0,1010,990
"103",-7.4,7.4,0,0,1010,990
"104",2.32,-2.32,0,0,1010,990
"105",-7.97,7.97,0,0,1010,990
"106",-2.57,2.57,0,0,1010,990
"107",-0.289999999999999,0.289999999999999,0,0,1010,990
"108",2.23,-2.23,0,0,1010,990
"109",-9.08,9.08,0,0,1010,990
"110",-5.99,5.99,0,0,1010,990
"111",-8.54,8.54,0,0,1010,990
"112",-0.710000000000001,0.709999999999999,0,0,1010,990
"113",-2.24,2.24,0,0,1010,990
"114",-6.62,6.62,0,0,1010,990
"115",-7.13,7.13,0,0,1010,990
"116",-0.559999999999999,0.559999999999999,0,0,1010,990
"117",-0.140000000000001,0.139999999999999,0,0,1010,990
"118",-10.37,10.37,0,0,1010,990
"119",-0.949999999999999,0.949999999999999,0,0,1010,990
"120",-4.7,4.7,0,0,1010,990
"121",-9.83,9.83,0,0,1010,990
"122",-7.67,7.67,0,0,1010,990
"123",-0.530000000000001,0.529999999999999,0,0,1010,990
"124",-0.59,0.59,0,0,1010,990
"125",-2.99,2.99,0,0,1010,990
"126",2.38,-2.38,0,0,1010,990
"127",-3.77,3.77,0,0,1010,990
"128",-2.06,2.06,0,0,1010,990
"129",-10.28,10.28,0,0,1010,990
"130",-1.91,1.91,0,0,1010,990
"131",-1.85,1.85,0,0,1010,990
"132",-6.65,6.65,0,0,1010,990
"133",-10.34,10.34,0,0,1010,990
"134",-0.919999999999998,0.92,0,0,1010,990
"135",-3.86,3.86,0,0,1010,990
"136",-9.59,9.59,0,0,1010,990
"137",-3.83,3.83,0,0,1010,990
"138",-1.43,1.43,0,0,1010,990
"139",-2.84,2.84,0,0,1010,990
"140",-7.31,7.31,0,0,1010,990
"141",-5.36,5.36,0,0,1010,990
"142",-6.41,6.41,0,0,1010,990
"143",2.05,-2.05,0,0,1010,990
"144",-6.53,6.53,0,0,1010,990
"145",0.84,-0.84,510.58,-510.58,980,1020
"146",5.59,-5.59,0,0,1010,990
"147",1.48,-1.48,0,0,1010,990
"148",6.43,-6.43,0,0,1010,990
"149",3.82,-3.82,0,0,1010,990
