"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"100",-6.35,6.35,0,0,1010,990
"101",2.02,-2.02,0,0,1010,990
"102",-8.15,8.15,0,0,1010,990
"103",-3.08,3.08,0,0,1010,990
"104",-6.59,6.59,0,0,1010,990
"105",0.669999999999998,-0.669999999999998,0,0,1010,990
"106",-20.76,20.76,95.06,-95.0599999999999,980,1020
"107",-7.88,7.88,0,0,1010,990
"108",-2.9,2.9,0,0,1010,990
"109",-4.43,4.43,0,0,1010,990
"110",-15.44,15.44,4.56,-4.56,980,1020
"111",-6.68,6.68,0,0,1010,990
"112",-1.1,1.1,0,0,1010,990
"113",-1.64,1.64,0,0,1010,990
"114",-1.67,1.67,0,0,1010,990
"115",-24.24,24.24,0,0,980,1020
"116",-8.81,8.81,0,0,1010,990
"117",-8.21,8.21,0,0,1010,990
"118",0.100000000000001,-0.100000000000001,0,0,1010,990
"119",9.4,-9.4,0,0,1010,990
"120",-3.8,3.8,0,0,1010,990
"121",-32.68,32.68,0,0,980,1020
"122",-5.99,5.99,0,0,1010,990
"123",-6.83,6.83,0,0,1010,990
"124",-8.24,8.24,0,0,1010,990
"125",-7.28,7.28,0,0,1010,990
"126",0.969999999999999,-0.969999999999999,0,0,1010,990
"127",-2.54,2.54,0,0,1010,990
"128",-10.46,10.46,0,0,1010,990
"129",-4.64,4.64,0,0,1010,990
"130",-2.93,2.93,0,0,1010,990
"131",-2.66,2.66,0,0,1010,990
"132",-0.349999999999998,0.35,0,0,1010,990
"133",-3.14,3.14,0,0,1010,990
"134",-9.29,9.29,0,0,1010,990
"135",-6.26,6.26,0,0,1010,990
"136",-1.13,1.13,0,0,1010,990
"137",-3.77,3.77,0,0,1010,990
"138",-1.7,1.7,0,0,1010,990
"139",-8.9,8.9,0,0,1010,990
"140",-8.99,8.99,0,0,1010,990
"141",-7.1,7.1,0,0,1010,990
"142",3.61,-3.61,0,0,1010,990
"143",-7.4,7.4,0,0,1010,990
