"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"105",0.199999999999999,-0.199999999999999,494.9,-494.9,980,1020
"106",0.920000000000002,-0.920000000000002,512.54,-512.54,980,1020
"107",9.96,-9.96,734.02,-734.02,980,1020
"108",-6.08,6.08,341.04,-341.04,980,1020
"109",-3.96,3.96,392.98,-392.98,980,1020
"110",6.68,-6.68,653.66,-653.66,980,1020
"111",-0.469999999999999,0.469999999999999,0,0,1010,990
"112",4.2,-4.2,592.9,-592.9,980,1020
"113",-5.18,5.18,0,0,1010,990
"114",-2.48,2.48,429.24,-429.24,980,1020
"115",-0.359999999999999,0.359999999999999,481.18,-481.18,980,1020
"116",-3.32,3.32,408.66,-408.66,980,1020
"117",-3.64,3.64,400.82,-400.82,980,1020
"118",9.12,-9.12,713.44,-713.44,980,1020
"119",-7.61,7.61,0,0,1010,990
"120",3.04,-3.04,564.48,-564.48,980,1020
"121",-3.86,3.86,0,0,1010,990
"122",6,-6,637,-637,980,1020
"123",-6.41,6.41,0,0,1010,990
"124",7.56,-7.56,675.22,-675.22,980,1020
"125",4,-4,0,0,1010,990
"126",-4.4,4.4,382.2,-382.2,980,1020
"127",-3.29,3.29,0,0,1010,990
"128",-4.48,4.48,380.24,-380.24,980,1020
"129",17.24,-17.24,844.76,-844.76,2000,0
"130",-6.32,6.32,335.16,-335.16,980,1020
"131",-0.739999999999998,0.74,0,0,1010,990
"132",7.72,-7.72,679.14,-679.14,980,1020
"133",3.64,-3.64,0,0,1010,990
"134",15.28,-15.28,864.36,-864.36,980,1020
"135",-7.46,7.46,0,0,1010,990
"136",-10.56,10.56,-517.44,517.44,0,2000
"137",-7.6,7.6,303.8,-303.8,980,1020
"138",-1.32,1.32,457.66,-457.66,980,1020
"139",0.849999999999998,-0.849999999999998,0,0,1010,990
"140",6.16,-6.16,640.92,-640.92,980,1020
"141",0.52,-0.52,25.48,-25.48,2000,0
"142",-8.18,8.18,0,0,1010,990
"143",-2.56,2.56,427.28,-427.28,980,1020
"144",-7.92,7.92,295.96,-295.96,980,1020
"145",-8.03,8.03,0,0,1010,990
"146",12.56,-12.56,797.72,-797.72,980,1020
"147",-0.919999999999998,0.92,0,0,1010,990
"148",7,-7,661.5,-661.5,980,1020
"149",-4.8,4.8,372.4,-372.4,980,1020
"150",-1.73,1.73,0,0,1010,990
"151",-1.1,1.1,0,0,1010,990
"152",-2.08,2.08,439.04,-439.04,980,1020
"153",10.64,-10.64,750.68,-750.68,980,1020
"154",-0.59,0.59,0,0,1010,990
"155",0.34,-0.340000000000002,0,0,1010,990
"156",-6.64,6.64,327.32,-327.32,980,1020
"157",-8.04,8.04,293.02,-293.02,980,1020
"158",-0.0399999999999991,0.0399999999999991,489.02,-489.02,980,1020
"159",-1.88,1.88,0,0,1010,990
"160",1.84,-1.84,535.08,-535.08,980,1020
"161",-0.32,0.32,482.16,-482.16,980,1020
"162",-7.7,7.7,0,0,1010,990
"163",-5.36,5.36,358.68,-358.68,980,1020
"164",-6.44,6.44,0,0,1010,990
"165",-5.84,5.84,0,0,1010,990
"166",7.48,-7.48,673.26,-673.26,980,1020
"167",1.76,-1.76,533.12,-533.12,980,1020
"168",4.56,-4.56,601.72,-601.72,980,1020
"169",-4.58,4.58,0,0,1010,990
"170",-6.98,6.98,0,0,1010,990
"171",7.04,-7.04,662.48,-662.48,980,1020
"172",-1.73,1.73,0,0,1010,990
"173",2.2,-2.2,543.9,-543.9,980,1020
"174",6.4,-6.4,646.8,-646.8,980,1020
"175",-4.96,4.96,368.48,-368.48,980,1020
"176",-6,6,343,-343,980,1020
"177",-6.53,6.53,0,0,1010,990
"178",8.36,-8.36,694.82,-694.82,980,1020
"179",0.52,-0.52,502.74,-502.74,980,1020
"180",-0.649999999999999,0.649999999999999,0,0,1010,990
"181",0.0700000000000003,-0.0700000000000003,0,0,1010,990
"182",-1.79,1.79,0,0,1010,990
"183",-5.24,5.24,361.62,-361.62,980,1020
"184",-7.46,7.46,0,0,1010,990
"185",-2,2,0,0,1010,990
"186",-4.32,4.32,384.16,-384.16,980,1020
"187",-0.829999999999998,0.83,0,0,1010,990
"188",-7.08,7.08,316.54,-316.54,980,1020
"189",-7.37,7.37,0,0,1010,990
"190",10.04,-10.04,735.98,-735.98,980,1020
"191",7,-7,661.5,-661.5,980,1020
"192",-3.8,3.8,396.9,-396.9,980,1020
"193",1.18,-1.18,0,0,1010,990
"194",-2.48,2.48,429.24,-429.24,980,1020
"195",-0.859999999999999,0.859999999999999,0,0,1010,990
"196",-4.84,4.84,371.42,-371.42,980,1020
"197",6.52,-6.52,649.74,-649.74,980,1020
"198",4.08,-4.08,589.96,-589.96,980,1020
"199",9.28,-9.28,454.72,-454.72,2000,0
"200",-4.01,4.01,0,0,1010,990
"201",11.12,-11.12,762.44,-762.44,980,1020
"202",1.04,-1.04,515.48,-515.48,980,1020
"203",-1.92,1.92,442.96,-442.96,980,1020
"204",8.8,-8.8,0,0,1010,990
"205",4.56,-4.56,601.72,-601.72,980,1020
"206",10.48,-10.48,746.76,-746.76,980,1020
"207",-0.640000000000001,0.640000000000001,474.32,-474.32,980,1020
"208",2.04,-2.04,539.98,-539.98,980,1020
"209",-8.32,8.32,286.16,-286.16,980,1020
"210",2.72,-2.72,556.64,-556.64,980,1020
"211",-5.45,5.45,0,0,1010,990
"212",3.72,-3.72,581.14,-581.14,980,1020
"213",-7.28,7.28,0,0,1010,990
"214",-5.87,5.87,0,0,1010,990
"215",-0.5,0.5,0,0,1010,990
"216",6.24,-6.24,642.88,-642.88,980,1020
"217",-0.48,0.48,478.24,-478.24,980,1020
"218",-3.77,3.77,0,0,1010,990
"219",1.04,-1.04,515.48,-515.48,980,1020
"220",-9.44,9.44,0,0,1010,990
"221",-4.4,4.4,382.2,-382.2,980,1020
"222",-1.25,1.25,0,0,1010,990
"223",10.32,-10.32,742.84,-742.84,980,1020
"224",-6.96,6.96,319.48,-319.48,980,1020
"225",-2.44,2.44,430.22,-430.22,980,1020
"226",-3.41,3.41,0,0,1010,990
"227",18.8,-18.8,950.6,-950.6,980,1020
"228",4.6,-4.6,602.7,-602.7,980,1020
"229",-0.52,0.52,477.26,-477.26,980,1020
"230",9.28,-9.28,717.36,-717.36,980,1020
"231",-3.72,3.72,398.86,-398.86,980,1020
"232",-7.68,7.68,301.84,-301.84,980,1020
