marlon_luck,marty_luck,marlon_skill,marty_skill,marlon_chip,marty_chip,marlon_gain,marty_gain
-68.18181818,68.18181818,168.1818182,-168.1818182,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
54.24242424,-54.24242424,45.75757576,-45.75757576,20100,19900,100,-100
1.42E-14,0,0,0,20000,20000,0,0
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
-83.53535354,83.53535354,183.5353535,-183.5353535,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-75.15151515,75.15151515,175.1515152,-175.1515152,20100,19900,100,-100
-68.4,68.4,-31.6,31.6,19900,20100,-100,100
-65.90909091,65.90909091,165.9090909,-165.9090909,20100,19900,100,-100
0,3.55E-15,0,0,20000,20000,0,0
-27.17171717,27.17171717,127.1717172,-127.1717172,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-54.54545455,54.54545455,154.5454545,-154.5454545,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
54.84848485,-54.84848485,45.15151515,-45.15151515,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-91.81818182,91.81818182,191.8181818,-191.8181818,20100,19900,100,-100
100,-95.76666667,0,-4.233333333,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
36.36363636,-36.36363636,63.63636364,-63.63636364,20100,19900,100,-100
81.21212121,-81.21212121,18.78787879,-18.78787879,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
-54.44444444,54.44444444,154.4444444,-154.4444444,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
93.18181818,-93.18181818,6.818181818,-6.818181818,20100,19900,100,-100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
-39.26666667,39.26666667,-60.73333333,60.73333333,19900,20100,-100,100
-3.7,3.7,103.7,-103.7,20100,19900,100,-100
-86.36363636,86.36363636,186.3636364,-186.3636364,20100,19900,100,-100
-77.27272727,77.27272727,177.2727273,-177.2727273,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
63.23232323,-63.23232323,36.76767677,-36.76767677,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
0,0,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
44.64646465,-44.64646465,55.35353535,-55.35353535,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-40.90909091,40.90909091,140.9090909,-140.9090909,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
50,-50,50,-50,20100,19900,100,-100
90,-90,10,-10,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
25.45454545,-25.45454545,74.54545455,-74.54545455,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-11.31313131,11.31313131,111.3131313,-111.3131313,20100,19900,100,-100
-36.36363636,36.36363636,136.3636364,-136.3636364,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
72.72727273,-72.72727273,27.27272727,-27.27272727,20100,19900,100,-100
77.27272727,-77.27272727,22.72727273,-22.72727273,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
1.42E-14,-1.42E-14,100,-100,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
75,-75,25,-25,20100,19900,100,-100
-100,100,0,0,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
29.39393939,-29.39393939,70.60606061,-70.60606061,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-100,100,-19900,19900,0,40000,-20000,20000
-100,100,200,-200,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-3.55E-15,3.55E-15,0,0,20000,20000,0,0
-45.05050505,45.05050505,145.0505051,-145.0505051,20100,19900,100,-100
41.91919192,-41.91919192,58.08080808,-58.08080808,20100,19900,100,-100
81.81818182,-81.81818182,18.18181818,-18.18181818,20100,19900,100,-100
-68.18181818,68.18181818,168.1818182,-168.1818182,20100,19900,100,-100
59.09090909,-59.09090909,40.90909091,-40.90909091,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
86.36363636,-86.36363636,13.63636364,-13.63636364,20100,19900,100,-100
99.39393939,-99.39393939,0.606060606,-0.606060606,20100,19900,100,-100
-72.72727273,72.72727273,172.7272727,-172.7272727,20100,19900,100,-100
-81.81818182,81.81818182,181.8181818,-181.8181818,20100,19900,100,-100
47.67676768,-47.67676768,52.32323232,-52.32323232,20100,19900,100,-100
59.49494949,-59.49494949,40.50505051,-40.50505051,20100,19900,100,-100
96.16161616,-93.99494949,3.838383838,-6.005050505,20100,19900,100,-100
59.7979798,-59.7979798,40.2020202,-40.2020202,20100,19900,100,-100
-30.83333333,30.83333333,-69.16666667,69.16666667,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
93.53535354,-93.53535354,6.464646465,-6.464646465,20100,19900,100,-100
-50,74.2,-50,25.8,19900,20100,-100,100
100,-100,0,0,20100,19900,100,-100
-90.90909091,90.90909091,190.9090909,-190.9090909,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
50.90909091,-50.90909091,49.09090909,-49.09090909,20100,19900,100,-100
63.23232323,-63.23232323,36.76767677,-36.76767677,20100,19900,100,-100
100,-100,0,0,20100,19900,100,-100
-99.6969697,99.6969697,199.6969697,-199.6969697,20100,19900,100,-100
-95.45454545,95.45454545,195.4545455,-195.4545455,20100,19900,100,-100
-56.26262626,56.26262626,156.2626263,-156.2626263,20100,19900,100,-100
-100,100,200,-200,20100,19900,100,-100
-90.90909091,90.90909091,190.9090909,-190.9090909,20100,19900,100,-100
65.90909091,-65.90909091,34.09090909,-34.09090909,20100,19900,100,-100
87.27272727,-87.27272727,12.72727273,-12.72727273,20100,19900,100,-100
7.11E-15,0,0,0,20000,20000,0,0
58.58585859,-58.58585859,41.41414141,-41.41414141,20100,19900,100,-100
-65.90909091,65.90909091,165.9090909,-165.9090909,20100,19900,100,-100
61.21212121,-61.21212121,38.78787879,-38.78787879,20100,19900,100,-100
-60,60,160,-160,20100,19900,100,-100
58.18181818,-58.18181818,41.81818182,-41.81818182,20100,19900,100,-100
