marlon_luck,marly_luck,marlon_skill,marly_skill,marlon_chip,marly_chip,marlon_gain,marly_gain
-127.2727273,127.2727273,-772.7272727,772.7272727,19100,20900,-900,900
100,-100,200,-200,20300,19700,300,-300
117.3737374,-117.3737374,1682.626263,-1682.626263,21800,18200,1800,-1800
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
235.4545455,-235.4545455,1564.545455,-1564.545455,21800,18200,1800,-1800
141.3131313,-141.3131313,458.6868687,-458.6868687,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
267.6,-267.6,932.4,-932.4,21200,18800,1200,-1200
-100,100,0,0,19900,20100,-100,100
154.5454545,-154.5454545,745.4545455,-745.4545455,20900,19100,900,-900
100,-100,0,0,20100,19900,100,-100
-154.5454545,154.5454545,-145.4545455,145.4545455,19700,20300,-300,300
109.4949495,-109.4949495,90.50505051,-90.50505051,20200,19800,200,-200
-209.0909091,209.0909091,-90.90909091,90.90909091,19700,20300,-300,300
167.4747475,-167.4747475,32.52525253,-32.52525253,20200,19800,200,-200
-154.5454545,154.5454545,-745.4545455,745.4545455,19100,20900,-900,900
133.3333333,-133.3333333,66.66666667,-66.66666667,20200,19800,200,-200
-100,100,0,0,19900,20100,-100,100
107.4747475,-107.4747475,92.52525253,-92.52525253,20200,19800,200,-200
-100,100,-200,200,19700,20300,-300,300
-172.7272727,172.7272727,-127.2727273,127.2727273,19700,20300,-300,300
100,-100,200,-200,20300,19700,300,-300
100.6060606,-100.6060606,499.3939394,-499.3939394,20600,19400,600,-600
500.8080808,-500.8080808,2199.191919,-2199.191919,22700,17300,2700,-2700
100,-100,200,-200,20300,19700,300,-300
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
-100,100,-200,200,19700,20300,-300,300
-172.7272727,172.7272727,-727.2727273,727.2727273,19100,20900,-900,900
-100,100,0,0,19900,20100,-100,100
129.7979798,-129.7979798,470.2020202,-470.2020202,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
134.8727273,-107.2727273,2565.127273,-2592.727273,22700,17300,2700,-2700
195.3535354,-195.3535354,2504.646465,-2504.646465,22700,17300,2700,-2700
-100,100,-200,200,19700,20300,-300,300
181.4141414,-181.4141414,1618.585859,-1618.585859,21800,18200,1800,-1800
-218.1818182,218.1818182,-81.81818182,81.81818182,19700,20300,-300,300
-256.0606061,256.0606061,-343.9393939,343.9393939,19400,20600,-600,600
127.2727273,-127.2727273,772.7272727,-772.7272727,20900,19100,900,-900
155.3535354,-155.3535354,444.6464646,-444.6464646,20600,19400,600,-600
108.6868687,-108.6868687,491.3131313,-491.3131313,20600,19400,600,-600
353.5353535,-353.5353535,-353.5353535,353.5353535,20000,20000,0,0
-144.040404,144.040404,-455.959596,455.959596,19400,20600,-600,600
-949.0909091,949.0909091,349.0909091,-349.0909091,19400,20600,-600,600
-100,100,-200,200,19700,20300,-300,300
-100,100,0,0,19900,20100,-100,100
-126.2626263,126.2626263,-1673.737374,1673.737374,18200,21800,-1800,1800
1.78E-15,1.24E-14,0,0,20000,20000,0,0
-100,100,0,0,19900,20100,-100,100
-100,101.4333333,-800,798.5666667,19100,20900,-900,900
100,-100,800,-800,20900,19100,900,-900
-481.8181818,481.8181818,-418.1818182,418.1818182,19100,20900,-900,900
-136.3636364,136.3636364,-763.6363636,763.6363636,19100,20900,-900,900
-100,100,-200,200,19700,20300,-300,300
-257.8787879,257.8787879,57.87878788,-57.87878788,19800,20200,-200,200
-144.040404,144.040404,-455.959596,455.959596,19400,20600,-600,600
-100,100,-800,800,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
140.9090909,-140.9090909,759.0909091,-759.0909091,20900,19100,900,-900
-191.1111111,191.1111111,-8.888888889,8.888888889,19800,20200,-200,200
-167.4747475,167.4747475,-432.5252525,432.5252525,19400,20600,-600,600
-454.5454545,454.5454545,-445.4545455,445.4545455,19100,20900,-900,900
387.8787879,-387.8787879,1412.121212,-1412.121212,21800,18200,1800,-1800
-100,100,-200,200,19700,20300,-300,300
115.959596,-115.959596,2584.040404,-2584.040404,22700,17300,2700,-2700
-100,100,-200,200,19700,20300,-300,300
-181.8181818,181.8181818,-118.1818182,118.1818182,19700,20300,-300,300
128.6868687,-128.6868687,471.3131313,-471.3131313,20600,19400,600,-600
-225.6565657,225.6565657,-1574.343434,1574.343434,18200,21800,-1800,1800
-100,100,-800,800,19100,20900,-900,900
100,-100,0,0,20100,19900,100,-100
100,-97.53333333,200,-202.4666667,20300,19700,300,-300
100,-100,200,-200,20300,19700,300,-300
154.9494949,-154.9494949,445.0505051,-445.0505051,20600,19400,600,-600
-100,100,0,0,19900,20100,-100,100
-100,100,0,0,19900,20100,-100,100
103.030303,-103.030303,1696.969697,-1696.969697,21800,18200,1800,-1800
100,-100,200,-200,20300,19700,300,-300
-1511.901515,1511.901515,461.9015152,-461.9015152,18950,21050,-1050,1050
123.6363636,-123.6363636,76.36363636,-76.36363636,20200,19800,200,-200
187.6767677,-187.6767677,2512.323232,-2512.323232,22700,17300,2700,-2700
-100,100,0,0,19900,20100,-100,100
132.9292929,-132.9292929,467.0707071,-467.0707071,20600,19400,600,-600
