"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"123",-100,100,-200,200,19700,20300,10
"124",276.767676767677,-276.767676767677,1523.23232323232,-1523.23232323232,21800,18200,10
"125",159.79797979798,-159.79797979798,440.20202020202,-440.20202020202,20600,19400,10
"126",-100,100,0,0,19900,20100,10
"127",100,-100,0,0,20100,19900,10
"128",-100,100,0,0,19900,20100,10
"129",100,-100,800,-800,20900,19100,10
"130",472.727272727273,-472.727272727273,427.272727272727,-427.272727272727,20900,19100,10
"131",140.10101010101,-140.10101010101,1659.89898989899,-1659.89898989899,21800,18200,10
"132",100,-100,200,-200,20300,19700,10
"133",100,-100,0,0,20100,19900,10
"134",100,-100,200,-200,20300,19700,10
"135",100,-100,800,-800,20900,19100,10
"136",100,-100,0,0,20100,19900,10
"137",-100,100,-200,200,19700,20300,10
"138",100,-100,800,-800,20900,19100,10
"139",100,-100,800,-800,20900,19100,10
"140",100,-100,0,0,20100,19900,10
"141",-100,100,100,-100,20000,20000,10
"142",-100,100,0,0,19900,20100,10
"143",-100,100,-200,200,19700,20300,10
"144",-100,100,0,0,19900,20100,10
"145",-100,100,-200,200,19700,20300,10
"146",-100,100,0,0,19900,20100,10
"147",123.636363636364,-123.636363636364,476.363636363636,-476.363636363636,20600,19400,10
"148",100,-100,200,-200,20300,19700,10
"149",-100,100,-200,200,19700,20300,10
"150",-258.686868686869,258.686868686869,-341.313131313131,341.313131313131,19400,20600,10
"151",127.272727272727,-127.272727272727,772.727272727273,-772.727272727273,20900,19100,10
"152",126.464646464646,-126.464646464646,473.535353535354,-473.535353535354,20600,19400,10
"153",115.151515151515,-87.1515151515151,784.848484848485,-812.848484848485,20900,19100,10
"154",-100,100,0,0,19900,20100,10
"155",100,-100,0,0,20100,19900,10
"156",168.181818181818,-168.181818181818,131.818181818182,-131.818181818182,20300,19700,10
"157",163.636363636364,-163.636363636364,736.363636363636,-736.363636363636,20900,19100,10
"158",161.010101010101,-161.010101010101,38.989898989899,-38.989898989899,20200,19800,10
"159",-100,100,0,0,19900,20100,10
"160",100,-100,200,-200,20300,19700,10
"161",181.414141414141,-181.414141414141,1618.58585858586,-1618.58585858586,21800,18200,10
"162",-190.909090909091,190.909090909091,-109.090909090909,109.090909090909,19700,20300,10
"163",147.575757575758,-147.575757575758,52.4242424242424,-52.4242424242424,20200,19800,10
"164",-100,100,-200,200,19700,20300,10
"165",100,-100,200,-200,20300,19700,10
"166",-100,100,0,0,19900,20100,10
"167",136.363636363636,-136.363636363636,763.636363636364,-763.636363636364,20900,19100,10
"168",-149.59595959596,149.59595959596,-50.4040404040404,50.4040404040404,19800,20200,10
"169",187.878787878788,-187.878787878788,12.1212121212121,-12.1212121212121,20200,19800,10
"170",-431.818181818182,431.818181818182,131.818181818182,-131.818181818182,19700,20300,10
"171",218.181818181818,-218.181818181818,81.8181818181818,-81.8181818181818,20300,19700,10
"172",181.414141414141,-181.414141414141,1618.58585858586,-1618.58585858586,21800,18200,10
"173",150,-150,450,-450,20600,19400,10
"174",254.848484848485,-254.848484848485,345.151515151515,-345.151515151515,20600,19400,10
"175",181.818181818182,-181.818181818182,718.181818181818,-718.181818181818,20900,19100,10
"176",100,-100,200,-200,20300,19700,10
"177",-100,100,0,0,19900,20100,10
"178",102.424242424242,-102.424242424242,2597.57575757576,-2597.57575757576,22700,17300,10
"179",-100,100,-200,200,19700,20300,10
"180",-409.090909090909,409.090909090909,109.090909090909,-109.090909090909,19700,20300,10
