"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","pff"
"291",4673.6,-4673.6,-24673.6,24673.6,0,40000,9
"292",-749.141414141414,749.141414141414,-1950.85858585859,1950.85858585859,17300,22700,10
"293",-54.5454545454545,54.5454545454545,154.545454545455,-154.545454545455,20100,19900,6
"294",27.8787878787879,-27.8787878787879,-20027.8787878788,20027.8787878788,0,40000,5
"295",-657.727272727273,657.727272727273,-19342.2727272727,19342.2727272727,0,40000,9
"296",-100,100,-100,100,19800,20200,10
"297",159.090909090909,-131.290909090909,-20159.0909090909,20131.2909090909,0,40000,9
"298",-100,100,0,0,19900,20100,9
"299",68.6868686868687,-68.6868686868687,-20068.6868686869,20068.6868686869,0,40000,7
"300",100,-100,0,0,20100,19900,8
"301",-90.5050505050505,90.5050505050505,-9.49494949494949,9.49494949494949,19900,20100,5
"302",-26.2626262626263,26.2626262626263,-73.7373737373737,73.7373737373737,19900,20100,5
"303",100,-100,200,-200,20300,19700,10
"304",68.1818181818182,-68.1818181818182,31.8181818181818,-31.8181818181818,20100,19900,6
"305",100,-100,0,0,20100,19900,10
"306",13.3333333333333,-13.3333333333333,86.6666666666667,-86.6666666666667,20100,19900,2
"307",184.848484848485,-184.848484848485,15.1515151515152,-15.1515151515152,20200,19800,10
"308",100,-77.0666666666667,200,-222.933333333333,20300,19700,10
"309",100,-100,0,0,20100,19900,8
"310",-100,100,0,0,19900,20100,10
"311",100,-100,200,-200,20300,19700,10
"312",100,-100,0,0,20100,19900,10
"313",100,-100,0,0,20100,19900,8
"314",-100,100,0,0,19900,20100,10
"315",-140.909090909091,140.909090909091,-759.090909090909,759.090909090909,19100,20900,10
"316",100,-100,200,-200,20300,19700,10
"317",-108.686868686869,108.686868686869,-91.3131313131313,91.3131313131313,19800,20200,10
"318",135.151515151515,-119.451515151515,64.8484848484848,-80.5484848484848,20200,19800,10
"319",32.020202020202,-32.020202020202,67.979797979798,-67.979797979798,20100,19900,4
"320",-181.6,181.6,-568.4,568.4,19250,20750,10
"321",79.5959595959596,-79.5959595959596,-20079.595959596,20079.595959596,0,40000,5
"322",1588.67878787879,-1588.67878787879,1447.32121212121,-1447.32121212121,23036,16964,10
